,mgv600GLB_cluster1,mgv600GLB_cluster2,mgv600GLB_cluster3,mgv600GLB_cluster4,mgv600GLB_cluster5,mgv600GLB_cluster6,mgv600GLB_cluster7,mgv600GLB_cluster8,mgv600GLB_cluster9,mgv600GLB_cluster10,mgv600GLB_cluster11,mgv600GLB_cluster12,mgv600GLB_cluster13,mgv600GLB_cluster14,mgv600GLB_cluster15,mgv600GLB_cluster16,mgv600GLB_cluster17,mgv600GLB_cluster18
1983-04-01,-0.4343403,-0.40536648,0.043997418,0.08920208,0.16914861,-0.2088536,0.0383636,0.27270353,0.13051674,0.10918872,-0.29000735,0.12434635,-0.3594911,0.39315987,-0.031522542,0.2967143,-0.2095243,-0.8220005
1983-05-01,0.07256893,-0.1467475,0.1338702,0.13896744,0.10959113,-0.1397723,0.069081314,0.34567484,0.20965843,-0.14138193,-0.051643312,-0.13950396,-0.12568775,0.52877384,0.07820273,0.17786762,-0.28853184,-0.4807523
1983-06-01,0.16217342,-0.13547985,0.10757905,0.21153636,0.18698902,-0.45432702,-0.05539919,0.09537245,0.4214631,-0.10865216,-0.18068452,-0.11482253,0.076861344,0.58980685,-0.05499677,-0.024681473,-0.31696922,-0.5077141
1983-07-01,-0.27028894,-0.12582189,0.122200154,0.17585555,0.19932978,-0.5026169,-0.12863877,-0.024010789,0.38859916,-0.106371805,-0.23433991,-0.23474233,0.26197243,0.89135015,-0.1652586,0.18068448,-0.24842444,-0.80134326
1983-08-01,-0.6312556,-0.1436623,0.13588227,0.08464138,-0.12152946,-0.22454779,-0.06519129,0.122200154,0.41690236,0.040107403,-0.04533881,-0.32099336,0.19704941,0.716836,-0.020657325,-0.018376922,-0.32327372,-0.4584853
1983-09-01,-0.1350774,-0.39718404,0.0029510497,0.08383654,-0.05513091,-0.3385655,-0.22669402,0.21998708,0.4527174,0.05566746,-0.17625795,-0.18108693,0.109993555,0.75962627,-0.26344794,-0.17773348,-0.16820964,-0.9112026
1983-10-01,-0.091884896,-0.44171795,0.11589565,0.25244862,0.069752,-0.3281027,0.07337375,0.21636537,0.19369595,-0.0930921,-0.24909516,0.2272306,-0.0075117587,0.6763262,-0.25928968,-0.29792154,-0.29470226,-1.3000702
1983-11-01,0.45553428,-0.40751266,0.040375687,0.17531899,0.18095279,-0.0442657,0.183099,0.2977874,0.06841062,-0.055265058,-0.21797502,0.024279062,-0.04721674,0.71468973,0.007109332,-0.2413151,-0.25915554,-1.0010755
1983-12-01,0.35104036,-0.5729054,-0.0073776008,0.23219368,0.20026875,-0.11374943,0.10261593,0.53145665,-0.10275008,-0.087458275,-0.15157649,0.17880659,-0.18350144,0.7864539,-0.08826311,-0.40925646,-0.33279756,-1.0709615
1984-01-01,0.63819444,-0.59309244,0.066989854,0.2668982,0.3068268,-0.17311239,0.14074504,0.49612293,-0.11169399,-0.014591861,-0.34012276,-0.16090833,-0.1371634,0.7226946,-0.23346964,-0.22020431,-0.35352072,-1.1266235
1984-02-01,0.3913269,-0.55117404,-0.037275553,0.15653077,0.06924498,-0.12548995,0.13000013,0.69351083,0.022816349,0.015918374,0.02255106,0.47755146,-0.37010235,0.7502864,-0.35643917,-0.22895941,-0.259337,-0.84234774
1984-03-01,0.7051844,-0.5290209,-0.10068377,0.35100034,0.10214295,-0.16992874,0.100020505,0.7008068,-0.027857184,-0.19261244,-0.18186752,0.17603078,-0.47476578,0.6481435,0.07083678,-0.44796976,-0.17072468,-1.2873992
1984-04-01,0.2875921,-0.31651053,-0.09789804,0.026000023,0.111959316,-0.30457175,0.060224533,0.34861258,0.12270419,-0.042581677,-0.13795932,0.18398997,-0.32977584,0.4932046,-0.10479601,0.12243889,-0.23426552,-0.7571844
1984-05-01,0.16568384,-0.18292876,-0.034755133,-0.08622458,0.2414288,-0.19672468,0.06340823,0.4106943,0.2875921,-0.025469422,0.19314305,-0.147643,0.06738782,0.577572,0.20123489,0.24129614,-0.34755135,-0.28308192
1984-06-01,-0.12628584,-0.40737796,0.1887655,0.083836816,0.1623675,-0.49996987,0.16303077,0.07189803,0.39000037,-0.014326548,0.03395922,-0.33441868,0.03303063,0.6045006,-0.07455109,-0.4244902,-0.27605128,-0.78398037
1984-07-01,-0.019765317,-0.14923482,0.10996948,0.041122485,0.16926546,-0.6205516,0.016846966,-0.14857158,0.20348997,0.04921434,0.04642862,-0.2958166,0.21038797,0.5444087,-0.08489803,-0.3394595,-0.21901043,-0.84274566
