,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5
1997-02-01,29.08554,27.291534,28.097229,15.1067505,11.135193
1997-03-01,29.200989,27.99295,27.61502,14.894653,10.250153
1997-04-01,29.179626,29.221863,27.841888,15.164246,11.144867
1997-05-01,29.207611,29.855133,28.685211,16.91043,14.471954
1997-06-01,29.586548,29.968567,29.232025,17.952667,19.087463
1997-07-01,29.317993,29.480743,29.495514,22.476105,23.098206
1997-08-01,29.082977,29.128784,29.366302,24.219757,26.075348
1997-09-01,29.066193,28.766602,29.173035,23.831146,24.324036
1997-10-01,28.740173,29.197937,29.432434,20.578827,20.382507
1997-11-01,28.79663,29.456848,28.532135,19.258392,17.785828
1997-12-01,28.711182,28.572296,27.930908,18.77362,15.174927
1998-01-01,28.444122,28.301453,27.572693,15.791504,12.219269
1998-02-01,28.442017,28.38208,27.10965,14.800171,10.357056
1998-03-01,28.460571,29.17926,27.344604,14.872833,9.905151
1998-04-01,28.519989,29.708588,27.678223,15.717255,12.277618
1998-05-01,28.525269,30.516388,28.077087,18.013336,16.503815
1998-06-01,28.87268,30.551392,28.644623,20.042114,19.72757
1998-07-01,28.911407,30.18277,29.134705,24.294312,23.392609
1998-08-01,28.937408,29.724518,29.356415,25.70993,26.145386
1998-09-01,29.224335,29.39618,29.330963,25.855255,25.590576
1998-10-01,28.944824,29.72293,29.298065,23.74057,22.433136
1998-11-01,28.161957,29.402039,29.150085,20.700317,19.017365
1998-12-01,27.78061,28.41336,28.522614,19.10382,15.473785
1999-01-01,27.527985,27.20465,28.088776,16.738068,12.66684
1999-02-01,27.321106,27.581177,28.031036,15.926758,10.969849
1999-03-01,27.505371,28.633514,28.430176,15.772095,10.22229
1999-04-01,27.567139,29.700897,28.365906,16.652222,11.278107
1999-05-01,27.827698,29.611542,28.938782,17.901855,15.208282
1999-06-01,28.123413,29.773712,29.347961,20.484985,19.90561
1999-07-01,28.45929,29.25357,29.554321,23.327698,23.001343
1999-08-01,28.704315,28.869476,29.559845,25.701447,26.988739
1999-09-01,28.97342,29.460938,29.573395,25.610077,25.495117
1999-10-01,28.975922,29.381104,29.414246,25.194366,22.024323
1999-11-01,28.706818,28.955841,29.39215,23.285004,19.188171
1999-12-01,28.204742,27.777008,28.449768,20.364502,15.913696
2000-01-01,28.021362,27.025421,28.093384,17.036072,13.262451
2000-02-01,28.026276,26.80658,28.09665,14.911072,11.053375
2000-03-01,27.918213,28.090118,28.120667,14.458649,10.242462
2000-04-01,27.894745,29.299957,28.547974,14.535065,10.696503
2000-05-01,27.996796,30.333557,28.89505,16.371948,15.078033
2000-06-01,28.318237,29.797668,29.46585,20.088806,19.889618
2000-07-01,28.443726,29.323425,29.577179,24.714844,24.744324
2000-08-01,29.01239,29.040741,30.02414,26.533722,27.738129
2000-09-01,29.585388,29.263947,29.577728,26.35965,26.254333
2000-10-01,29.155914,29.23993,29.301605,24.538055,22.383545
2000-11-01,28.994354,29.030396,29.189728,21.00888,18.955353
