,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7
1977-03-01,19.660313,25.86918,59.364906,62.482334,61.41828,61.59373,19.622948
1977-04-01,17.524086,40.5726,36.566566,52.080612,42.336815,60.102432,19.952724
1977-05-01,23.450289,63.166252,22.032093,36.17343,62.890087,60.71162,33.827644
1977-06-01,13.3182335,71.24655,22.12794,44.884045,48.76499,50.870354,22.12794
1977-07-01,27.154165,62.39786,46.31361,47.648956,38.21544,65.92629,22.938568
1977-08-01,30.983131,68.03003,50.379753,38.412003,31.641056,70.68772,15.418724
1977-09-01,38.89773,68.29807,48.696762,40.510868,38.160206,63.499275,21.125618
1977-10-01,31.8295,65.18714,48.49695,42.236095,43.42686,68.47027,20.86407
1977-11-01,25.895172,51.37395,40.45401,42.970375,28.638966,61.798416,20.31174
1977-12-01,11.903286,47.236332,34.758484,67.209656,17.671913,53.00658,24.47048
1978-01-01,11.7066345,23.320763,33.1386,43.51877,34.687782,39.56027,40.634243
1978-02-01,6.5078354,32.70774,28.131472,51.48962,48.300964,24.036745,35.752254
1978-03-01,11.480118,31.570406,33.485504,52.306984,57.665768,43.2178,30.547121
1978-04-01,11.766827,45.375256,31.998096,44.27752,48.308884,62.57627,22.313318
1978-05-01,25.221603,53.99081,30.588306,36.14351,43.81815,57.0575,20.62157
1978-06-01,34.830345,72.02661,33.781715,34.50087,39.948357,60.751465,23.647074
1978-07-01,24.597494,73.75004,54.456516,30.677011,37.771896,58.56708,17.024231
1978-08-01,37.60557,68.24711,42.862976,43.44115,27.836842,66.69792,29.774113
1978-09-01,31.717722,75.920166,17.501026,30.464752,34.54839,62.20085,17.021065
1978-10-01,35.78235,64.93331,24.410578,23.726274,36.439724,63.167114,24.39157
1978-11-01,19.290981,51.88088,44.074764,26.32092,29.67432,54.78758,17.222237
1978-12-01,24.605413,37.980988,43.647076,59.80738,18.464119,76.78346,26.76445
1979-01-01,17.153748,13.165485,50.334793,51.29262,27.66399,47.883587,40.14005
1979-02-01,26.89708,33.6569,25.769363,49.182808,63.19107,66.29755,29.796457
1979-03-01,13.20108,23.704853,41.38426,55.16439,54.031822,43.547466,28.864513
1979-04-01,11.53944,45.540787,26.812946,46.207386,56.703068,59.220608,25.738623
1979-05-01,21.095089,61.611946,10.110786,44.74475,40.97815,58.431046,17.393204
1979-06-01,22.14676,75.41635,26.780586,47.377167,41.526638,62.15396,13.455101
1979-07-01,19.388145,68.35235,40.793705,45.919388,36.282845,70.80356,19.888092
