,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7
1979-01-01,-0.34494814,0.4149234,1.0133903,-0.86762047,0.7272083,0.24627961,0.17311159
1979-02-01,-0.10329483,0.7927434,0.9203123,-1.1065129,0.62322634,0.3008927,0.106834196
1979-03-01,-0.14284483,0.2008529,0.8032377,-0.8594487,0.6644435,0.40419215,0.07751984
1979-04-01,-0.07559498,0.78638774,0.5451793,-1.0317811,0.43101472,0.20168851,0.08338912
1979-05-01,-0.039867327,0.70512813,0.9312082,-0.884646,0.3507998,0.019428806,0.27400756
1979-06-01,0.14039196,0.8926243,0.5309146,-0.95773023,0.25570586,-0.12645581,0.55445397
1979-07-01,0.08587497,0.8054151,0.63618565,-1.303637,0.33538067,-0.3271947,0.5886398
1979-08-01,0.16797057,0.28422573,0.62550044,-1.4054903,0.40932006,-0.38954243,0.6728689
1979-09-01,0.2613908,0.90720624,0.54036045,-0.2561896,0.10823752,-0.30486444,0.5821768
1979-10-01,0.020733388,0.7446932,0.74285066,-0.8411658,0.37586644,-0.06852583,0.44252107
1979-11-01,-0.021584013,0.7207238,0.7123011,-0.9942781,0.5344047,0.09792574,0.4134899
1979-12-01,-0.15111725,0.116354495,0.817442,-1.1468855,0.7229256,0.2754907,0.2539535
1980-01-01,-0.11812499,-1.1050007,0.35389563,-1.0617486,0.7561088,0.5692025,0.26657584
1980-02-01,-0.2099728,-0.7610095,0.8478484,-0.99110514,0.8352088,0.59906113,0.15874992
1980-03-01,-0.27220628,1.0793695,1.2833433,-1.1360652,0.6347932,0.041740514,0.12362074
1980-04-01,-0.25205624,1.3881389,1.2136446,-0.8945687,0.55418134,0.009189933,0.06292532
1980-05-01,-0.10651836,1.2232538,0.790205,-0.9104984,0.40042645,-0.09630997,0.36807144
1980-06-01,0.0063939057,0.6854931,0.6762138,-1.4926353,0.44311327,-0.24328344,0.5542095
1980-07-01,0.10851605,1.0157936,0.5936649,-1.5805424,0.2889532,-0.3072122,0.74540734
1980-08-01,0.26337925,0.81838006,0.31269172,-1.2416896,0.06912132,-0.1434515,0.84332734
1980-09-01,0.21412274,0.85872686,0.50280666,-1.0937247,0.15774451,-0.20965295,0.7536061
1980-10-01,0.13267021,1.0273155,1.0275128,-1.113903,0.32650286,-0.2556952,0.74085027
1980-11-01,0.0071348045,0.58759546,1.117089,-1.1824172,0.5369304,-0.039177407,0.5303929
1980-12-01,-0.11194334,-0.928001,0.72359955,-0.9634926,0.8013389,0.5447881,0.31271246
1981-01-01,-0.1156102,-0.87118185,0.9504805,-0.5846694,0.85048646,0.49319,0.39098758
1981-02-01,-0.17312881,-0.0817665,0.89687794,-1.146874,0.8683412,0.3438488,0.26569894
1981-03-01,-0.3319945,0.6915125,1.1193933,-0.72185665,0.6603403,0.20308605,-0.024290733
1981-04-01,-0.09899885,0.72914726,0.80937386,-1.305065,0.5924658,0.19529179,0.30541113
1981-05-01,-0.027511649,0.51937973,0.94247884,-0.8319013,0.3636057,-0.051153056,0.38590786
1981-06-01,0.2044469,0.42574736,1.1464577,-0.88767135,0.17315498,-0.27217078,0.627762
1981-07-01,0.13511384,0.9151448,0.5388495,-1.3612655,0.22531609,-0.20593032,0.67640305
1981-08-01,0.22384919,0.6883603,0.5268192,-1.0064179,0.1738174,-0.34319162,0.6117105
1981-09-01,0.24459912,0.80197716,0.8019459,-0.96471804,0.26113865,-0.2556074,0.8218995
1981-10-01,0.16026701,0.5530784,0.5459074,-0.96531284,0.28672677,-0.13317691,0.49486083
1981-11-01,-0.10405488,0.9795408,0.92625,-1.0087589,0.6126953,0.008704845,0.43152818
1981-12-01,-0.06614364,-0.082234934,1.1762533,-1.118415,0.74126655,0.0797817,0.40326893
1982-01-01,-0.08793651,0.20619689,0.671961,-1.116645,0.66616493,0.35827222,0.32703066
1982-02-01,-0.067160286,-0.72509027,0.30882818,-1.0757078,0.7438855,0.4857185,0.17531677
1982-03-01,-0.09171751,0.7731025,0.63625455,-0.977119,0.47116905,0.3723373,0.23843086
1982-04-01,-0.046617307,0.77396804,0.46404162,-0.9656775,0.3651144,0.29768917,0.123969704
1982-05-01,0.07586425,0.8095249,0.54593873,-0.6028589,0.13840844,-0.1138093,0.519182
1982-06-01,0.05423582,0.62388396,0.6382607,-1.0713941,0.3546042,-0.06765247,0.4250912
1982-07-01,0.10368992,0.9200327,0.8425388,-1.7061085,0.39474776,-0.4115371,0.51767606
1982-08-01,0.033660848,0.89221185,0.72342056,-1.590605,0.47407338,-0.3739525,0.54033446
1982-09-01,0.17960994,0.9167571,0.54618067,-0.9833683,0.089466594,-0.46254495,0.60087985
1982-10-01,0.102595925,0.5002552,0.39770412,-0.99361503,0.29014775,-0.18773206,0.3360979
