,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1983-02-01,1.4972725,6.309376,6.1685944,7.840355,4.8727837,4.9767685,3.2826157
1983-03-01,1.6828461,5.487095,5.5398865,5.903034,3.9849129,4.637619,2.6299095
1983-04-01,1.7852325,4.6280174,4.244076,4.957573,3.0826454,4.19928,2.0603905
1983-05-01,1.4636803,3.9241219,3.013855,3.212223,2.4747314,3.6057663,1.8684196
1983-06-01,1.3612938,3.0778427,2.6315079,2.6299095,2.1259842,3.2714157,1.7916298
1983-07-01,1.1869202,3.234623,2.6555061,2.770687,2.0987854,3.2026253,1.7228394
1983-08-01,1.1757202,3.09544,2.477932,2.6283112,2.0539932,3.2170258,1.7612343
1983-09-01,1.8140259,3.4521904,2.7290955,2.9386635,2.1803741,3.781742,1.7900314
1983-10-01,1.6892471,3.9481163,3.0538483,3.1786308,2.6667023,4.5896263,2.5371246
1983-11-01,2.477932,5.392708,3.6297646,4.0648994,2.9818573,6.5301437,2.8938713
1983-12-01,2.129181,5.8054466,3.8489342,5.3415146,4.178486,7.320427,3.4089966
1984-01-01,1.9818764,6.74395,4.631302,5.0761566,3.9681244,8.296833,3.0899086
1984-02-01,1.4270401,7.0755386,5.4093857,5.0072136,3.3344955,8.853313,2.293766
1984-03-01,2.4726944,8.401894,6.588005,6.3253593,4.6986046,9.6987,3.4297028
1984-04-01,1.8456306,5.7179947,3.8893318,3.9418602,3.1785507,6.7094765,2.5104485
1984-05-01,1.4401703,4.5705643,3.1243782,3.6972733,2.5958061,5.5784645,2.131256
1984-06-01,1.571495,4.4031296,2.997982,3.1998901,2.3610687,5.223896,1.9966507
1984-07-01,1.3515282,3.895897,2.7730942,3.0078316,2.31839,4.719944,1.947403
1984-08-01,1.3449631,4.0255775,2.8568115,3.0899086,2.338089,4.7412834,1.9588966
1984-09-01,1.6962509,4.312847,3.0685692,3.2589836,2.5531273,5.159874,2.1805
1984-10-01,3.2195892,5.0942154,3.4494019,3.7087631,2.4989586,6.435341,2.3151054
1984-11-01,3.3624,5.7163544,4.046917,4.4474525,3.620121,6.801403,2.90934
1984-12-01,3.1588516,6.341774,6.2646217,4.977665,6.5896454,7.5844116,5.237026
1985-01-01,4.350029,7.6885796,7.836231,6.737053,8.072472,8.3284,7.303047
1985-02-01,5.475456,6.6796303,7.206253,6.8568115,5.890518,5.905285,4.9865685
1985-03-01,3.0195274,5.3327255,8.069191,5.1506233,5.8921585,4.492756,4.2827644
1985-04-01,2.6257935,4.131832,5.2096863,4.135113,3.9743385,3.3082695,3.2639732
1985-05-01,1.7431679,3.1278076,3.209835,2.9473457,3.022812,2.6044655,2.7225876
1985-06-01,1.3740425,2.4584541,2.6422005,2.5618095,2.3042412,2.3436165,2.069641
1985-07-01,1.2706871,2.3436165,2.399395,2.4026756,2.218933,2.1287003,1.9482384
1985-08-01,1.2526398,2.5339203,2.5667343,2.5454063,2.2008858,2.409237,1.7726974
1985-09-01,1.6627808,2.7521172,2.686493,2.7291489,2.0630798,2.655323,1.6184845
1985-10-01,2.410881,3.4099846,2.7931328,3.086792,2.4896278,3.3755302,2.0384712
1985-11-01,3.0523415,4.1974564,3.5199013,3.6232567,2.681572,4.082615,2.5027504
1985-12-01,2.0565186,4.7568893,5.910206,4.3204994,4.3303413,4.743763,3.7676277
1986-01-01,1.3342781,7.050495,7.043934,6.8389053,4.9099884,5.9548187,3.282875
