,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7
1990-02-01,0.094104216,-0.13672929,-0.20635405,0.07759595,-0.1506644,-0.044621445,0.36757702
1990-03-01,0.060038563,-0.19297118,-0.3230302,-0.21378091,-0.091096655,0.022149814,0.29267743
1990-04-01,0.021161381,-0.3024699,0.14388868,-0.3794462,-0.104565,0.05454101,0.32060853
1990-05-01,-0.06998331,0.06789768,-0.22110192,-0.008806221,-0.009702968,0.076760426,0.14150782
1990-06-01,-0.0057095373,0.15916987,-0.23960358,-0.02693919,0.08659775,-0.11366882,-0.18863133
1990-07-01,0.04611923,0.039688066,0.056581575,-0.0031117683,0.02925853,-0.14006579,0.018726071
1990-08-01,0.015405384,0.19567733,-0.0074639944,0.06260227,0.016980467,-0.13023828,-0.0068769716
1990-09-01,0.03486991,-0.086930946,-0.34575525,0.05309009,0.07509738,-0.06787109,0.032489073
1990-10-01,-0.031035937,-0.08171847,0.12206612,0.08521807,0.0048674,0.026700815,0.09622908
1990-11-01,0.0014934537,-0.14300863,0.12433559,-0.012331046,-0.071945526,0.04779536,0.3338689
1990-12-01,0.078576915,-0.3297361,-0.54486454,0.26422155,-0.18971987,0.11191086,0.41820595
1991-01-01,0.22695108,-0.5917369,-0.3395039,-0.123345904,-0.21347418,-0.05391042,0.54754305
1991-02-01,0.21206135,-0.5845155,-0.19845094,-0.49467614,-0.101059586,-0.116962776,0.43708068
1991-03-01,-0.042107414,0.21518743,-0.49452025,0.2877919,-0.12314905,0.17246003,0.25258082
1991-04-01,0.022014368,-0.14256984,-0.14553462,-0.08883724,-0.19307065,0.23715243,0.22866026
1991-05-01,-0.0377748,-0.14963862,-0.23511678,0.08509084,-0.03305752,0.12976801,-0.050003577
1991-06-01,-0.036544017,0.028976772,-0.27723926,0.17773111,0.061327443,-0.03598763,-0.17676117
