,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1971-11-01,-18.945252895355225,-0.9711645277483122,-19.55328694096318,-7.836636900901794,-6.240785121917725,-3.4494961777778523,0.4215759177540624
1971-12-01,-22.649857997894287,-2.618698137147086,-22.17559461240415,-10.036294162273407,-6.359576660653819,-5.105023188133762,0.28358724228171417
1972-01-01,-26.70785665512085,-3.783360123634338,-24.572683263708043,-12.322703003883362,-5.237891363060992,-6.6919927727686215,-0.005608805736830068
1972-02-01,-28.69976043701172,-4.263488522597721,-26.15755752280906,-13.356280326843262,-2.8045294077500054,-7.263707461422437,-0.10802221852679586
1972-03-01,-28.892617225646973,-4.0741389351231705,-26.771243413289387,-13.840313255786896,-1.14207721274832,-7.336698819513191,-0.15384411395982256
1972-04-01,-28.89251470565796,-3.938860020467213,-26.991701126098633,-13.973988592624664,-0.3256774790908979,-7.412945734311457,0.5483617572936901
1972-05-01,-26.73680305480957,-2.8622950826372415,-25.404621053625036,-12.161044776439667,-0.031197129789253937,-6.236959483525524,1.3048109342885572
1972-06-01,-21.96017026901245,-0.9780179177011762,-21.238180443092627,-9.39621552824974,0.5628315003021903,-4.429860964213332,1.7801698418550713
1972-07-01,-15.955121517181396,0.8242589554616382,-15.674924850463865,-6.212898716330528,1.1579908754514612,-2.62278628675905,2.788691077121469
1972-08-01,-11.512552499771118,1.9704104534217288,-12.12629477183024,-3.953016921877861,1.1496056681093962,-1.1039350130786634,3.0714375473732174
1972-09-01,-12.17495083808899,1.9039657499108993,-12.577500166716398,-4.303046315908432,-0.4447355218555616,-1.1971769267565584,2.7631109814311183
1972-10-01,-16.431117057800293,0.8443164772221019,-16.43907935531051,-6.406105309724808,-1.1593454557916392,-2.2439937068991465,2.5081391112748967
1972-11-01,-20.70514678955078,-1.0090756363102367,-20.793812363236036,-8.839153498411179,-1.428659325060637,-3.944886220644598,1.952516090038211
1972-12-01,-24.331519603729248,-2.8367542794772556,-23.780151649757666,-11.264384537935257,-0.8400120812913645,-5.761672372687353,1.3818368939466255
1973-01-01,-27.816596031188965,-4.162694088050297,-26.80947692305953,-13.31101506948471,-0.17441825374313022,-6.982758273817089,0.8794300639352134
1973-02-01,-29.89147663116455,-4.826609364577702,-27.943796581692165,-14.451204240322113,-0.7603507974873418,-7.652444055635636,0.44677225656287617
1973-03-01,-30.8009934425354,-4.976398391383034,-28.616048671581126,-14.342279732227325,-0.9905090798502383,-7.789759439964818,0.36008635232614916
1973-04-01,-30.383520126342773,-5.149405130318232,-28.45060207225658,-14.039912819862366,-2.247439260068147,-7.792762207658324,0.001760093105393787
1973-05-01,-27.6682710647583,-3.4299724868365695,-26.102664735582138,-12.334343045949936,-3.0476738577303677,-6.349717754207245,0.6189510850019233
1973-06-01,-21.41437292098999,-1.1732423411948338,-21.851152843899197,-8.67861956357956,-3.8323114747586455,-4.246770519099823,0.5201662557069645
1973-07-01,-15.502303838729858,0.9600090129034858,-16.4232748526114,-5.971638858318329,-5.072280635004458,-2.3979884304412424,1.4389797698619755
1973-08-01,-12.21890926361084,2.181176096200943,-12.021949556138779,-4.082263633608818,-7.047182062397832,-0.9918881605749261,1.0630260442578516
1973-09-01,-12.358068227767944,1.9144970923662183,-12.230619677790889,-4.04140017926693,-7.1327100629391875,-0.7366460480102122,0.5754508805829426
