,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1973-06-01,24.387878,17.09378,12.371979,28.65628,23.910217,18.199585,26.742218,22.285461,27.063568,20.300049,15.414185
1973-07-01,23.179626,16.375336,12.331207,28.294128,22.127228,16.924866,25.667969,20.925781,26.34076,18.95929,14.857391
1973-08-01,23.239838,15.541382,11.367645,27.878113,20.974792,16.410767,25.102905,20.674316,26.06018,18.548126,13.87439
1973-09-01,23.210205,15.6409,10.688995,27.694641,20.513153,17.007385,24.513123,20.50055,26.007263,18.707367,14.214203
1973-10-01,23.549042,16.337982,10.595795,28.19461,20.784515,16.664185,24.515533,20.619476,26.617462,18.688416,14.760803
1973-11-01,24.408752,17.706879,12.290436,27.982971,21.457825,17.884552,24.59903,21.551514,26.824738,19.62967,15.790894
1973-12-01,25.002441,19.096191,14.630707,27.998505,21.826752,19.153961,24.767487,22.55246,27.143188,20.693268,17.168549
1974-01-01,25.710663,20.184021,16.657837,28.73413,22.54181,20.7146,24.677368,23.97351,27.439972,22.174683,18.592255
1974-02-01,26.37143,21.494324,17.346039,28.793365,24.65387,21.355804,25.343048,24.582428,27.59024,22.699402,19.800262
1974-03-01,26.38565,21.100311,17.174225,28.775238,26.495758,21.100311,26.393951,24.330841,28.040558,22.349426,18.84726
1974-04-01,25.986237,20.108154,15.253052,28.810486,26.950012,20.607391,27.220673,23.946106,28.130615,22.145325,18.157104
1974-05-01,25.08316,18.522736,14.030334,28.710144,26.108582,19.28534,27.528564,22.884918,27.677856,20.9794,16.405273
1974-06-01,23.727295,17.347504,12.748901,28.406189,24.91867,17.385681,26.719452,21.292664,26.771332,18.977448,15.347534
1974-07-01,22.983307,16.34262,12.738129,27.882446,23.276978,16.651001,26.05719,20.649017,26.016083,18.4263,14.162018
1974-08-01,23.378815,15.540863,12.440552,27.848663,22.202118,15.956909,25.51242,20.265747,25.470825,17.869293,13.789032
1974-09-01,23.292175,15.382751,12.015686,27.54715,21.677887,15.987274,25.346008,19.972076,25.399353,17.793915,13.816437
1974-10-01,23.21286,15.744476,11.351959,27.602478,21.071411,16.678894,25.226562,20.411133,26.468842,18.606445,14.32843
1974-11-01,23.924072,17.15857,12.312775,28.01117,21.6539,17.489471,25.273071,21.06311,27.29361,19.384216,15.342133
1974-12-01,24.806122,19.140442,14.37738,28.029785,21.925568,18.706787,25.085602,22.101288,27.371918,20.325958,17.173248
1975-01-01,26.08374,20.767456,15.593567,28.43164,22.873962,20.568024,25.54013,23.695282,27.553772,22.113037,19.400208
1975-02-01,26.509003,20.99469,16.56668,28.979004,24.962097,21.462402,26.433075,24.08847,27.937073,22.9758,19.633087
1975-03-01,26.552856,20.871185,16.11502,28.713593,26.331726,21.212982,27.277008,24.53778,28.466522,22.722626,19.297882
1975-04-01,26.07901,19.658081,14.703888,28.60138,26.80838,20.736328,27.542938,23.719788,28.248718,22.153107,17.865082
1975-05-01,25.10495,18.250275,13.077332,29.028534,24.790497,18.894775,26.944641,22.294556,27.644775,20.364807,16.546387
1975-06-01,24.418518,16.880676,12.690247,28.674438,23.668396,17.519043,26.032806,21.028168,26.855988,19.223389,15.289459
1975-07-01,23.402954,15.96933,11.563934,27.690979,22.705658,16.582245,25.884308,20.352081,26.494385,18.120636,14.411591
1975-08-01,23.016815,15.608643,11.547882,27.799866,21.719818,16.044281,25.301086,20.099854,25.635834,17.876892,14.380005
1975-09-01,22.54065,15.346527,11.056152,27.607056,20.47232,15.97403,24.700928,19.760406,25.980957,17.876404,14.400269
1975-10-01,22.93808,15.726044,10.993439,27.67212,20.168213,16.32669,24.397766,20.285614,26.02008,18.34787,14.107025
1975-11-01,23.944214,16.751953,13.001892,28.220428,20.871185,16.777405,24.865936,21.360077,26.518433,18.899506,14.823181
1975-12-01,24.964935,18.70337,14.803864,28.177979,21.183746,17.974945,24.605682,22.375153,27.476929,19.988586,16.744415
1976-01-01,25.60376,19.706299,16.349823,28.233734,22.33728,20.277649,24.491394,24.323822,27.248688,22.227875,17.697876
1976-02-01,26.242737,19.551147,17.2807,28.540558,24.699738,20.76892,25.599274,24.901642,27.375488,22.82956,17.719269
1976-03-01,26.513245,19.76596,16.970886,28.518158,26.347137,20.55014,26.47992,23.88028,27.921478,22.02948,17.98877
1976-04-01,26.139801,19.281158,15.705872,28.911987,26.710632,19.85846,27.002045,23.681366,27.889648,21.611298,17.09671
1976-05-01,25.501831,17.575073,14.188263,29.038788,26.157684,18.937042,27.29245,22.424286,27.780731,20.575989,15.644226
1976-06-01,24.431213,16.436829,13.438873,28.494293,25.720123,17.43982,27.134308,21.80722,26.968231,19.349274,14.471191
1976-07-01,23.863861,15.608917,12.648254,28.21933,24.768372,16.9003,26.662903,21.257233,26.509247,18.757538,13.981903
1976-08-01,22.948395,14.759094,11.305664,27.846863,23.790253,17.057922,26.310852,20.675934,25.966766,18.583008,13.129089
1976-09-01,22.758942,14.7034,10.978455,27.750916,23.252228,16.834137,26.244232,20.58197,25.798187,18.322449,12.933685
1976-10-01,23.433716,15.040039,11.507538,28.601715,22.714691,17.06836,26.375,21.259735,26.026428,18.70285,13.514465
1976-11-01,24.447144,15.71283,12.273315,29.121826,23.200012,17.823181,26.314331,21.807709,27.197968,19.449219,14.19223
1976-12-01,25.588348,17.891327,13.779022,28.980133,23.491913,19.51236,26.013489,22.935974,28.094513,21.13443,15.792389
1977-01-01,26.607178,18.819916,15.966278,29.282745,24.733948,21.41858,26.399902,24.449799,28.41571,23.168701,16.419739
1977-02-01,26.956024,19.92096,16.626038,29.44815,26.043274,22.177124,26.801788,25.098877,28.726593,23.995361,17.906158
1977-03-01,26.958466,20.445465,15.839294,29.244293,27.122437,22.44571,27.47226,24.87555,29.003448,23.985626,18.175232
1977-04-01,26.497711,19.318634,14.991699,29.411682,26.137177,21.51004,27.388092,24.442017,28.517883,23.29715,17.08728
1977-05-01,25.52362,17.258087,13.781158,29.550812,25.67398,20.364227,27.593903,23.680084,28.05371,22.078339,15.228668
1977-06-01,24.136963,16.139984,11.742523,28.92804,24.66925,19.650452,27.365234,23.064606,27.088867,21.34317,14.180634
1977-07-01,23.553589,15.375122,10.748962,28.547546,23.622192,17.979645,26.376068,21.900269,25.899261,19.871826,13.497986
1977-08-01,23.496643,15.240814,9.915497,28.30429,22.05841,17.294556,25.5932,21.238068,25.641388,19.50351,13.805481
1977-09-01,23.508331,15.102142,9.75058,28.386505,21.734833,17.004578,25.5932,20.873657,25.784912,19.167786,13.423553
1977-10-01,24.2659,15.617432,10.816589,28.758728,22.78238,17.460968,25.643799,21.786407,26.674805,19.981781,13.705261
1977-11-01,24.883331,16.057251,12.677185,29.49002,22.87677,18.006378,26.405762,22.366882,27.070862,20.094177,14.508575
1977-12-01,25.165527,17.75534,14.125153,29.383453,22.671448,19.799347,26.053986,23.21933,27.105896,21.318848,15.689911
1978-01-01,26.471893,19.264862,16.014648,29.602722,23.989655,21.052124,26.355408,24.052002,27.777283,22.687622,17.281372
1978-02-01,26.822784,20.117401,16.605713,29.07254,25.335175,21.427155,27.001587,24.495667,28.017975,22.785736,18.746277
1978-03-01,26.501373,20.055542,16.265472,29.316132,26.062042,20.920654,27.178497,24.158813,28.302155,22.429535,18.358185
1978-04-01,26.39505,19.248444,14.9808655,29.459198,25.637238,20.511292,27.888947,24.329407,28.355804,22.315948,17.382385
1978-05-01,25.01184,18.171143,13.630981,29.141663,24.691406,20.038147,27.774384,23.561432,27.882172,21.705078,16.107422
1978-06-01,24.495667,16.964325,12.459473,28.52304,23.6987,19.32962,27.15866,22.401978,26.691803,20.866547,15.003082
1978-07-01,23.520844,15.421143,12.139038,28.231598,23.356506,17.763733,26.636688,21.601624,26.581116,19.572235,13.89389
1978-08-01,23.617981,14.873077,11.577911,28.237396,21.569244,16.503754,25.631897,20.89264,25.947021,18.388641,13.830109
1978-09-01,22.769287,14.878876,10.998901,28.172638,21.125092,16.70288,25.246246,20.202942,26.10556,18.493988,13.4313965
1978-10-01,23.180603,15.244263,11.408264,28.454895,21.371094,17.223389,25.173737,20.494873,26.42453,18.964722,13.757599
1978-11-01,23.991577,16.438019,12.460419,29.090424,22.14389,18.373657,25.351105,21.680908,26.874481,20.187958,14.924316
1978-12-01,25.415863,18.004395,13.971222,29.243652,22.888184,20.21939,25.358856,23.575928,27.39209,22.155975,16.366974
1979-01-01,25.826996,19.543518,16.185394,29.40512,23.681091,21.7547,26.04654,25.036926,27.790619,23.797607,17.437256
1979-02-01,26.516022,19.836517,16.75064,29.275055,25.075592,22.385223,26.431427,25.435333,28.32492,24.0065,18.281006
1979-03-01,26.521362,19.890198,17.084747,29.513458,26.251556,21.5961,27.209412,25.57605,28.430328,23.421448,18.165436
1979-04-01,26.028137,19.173615,15.53891,29.661896,26.631592,20.842285,28.02417,24.428131,27.955505,22.796722,17.61084
1979-05-01,25.149567,17.482697,13.75708,29.443329,25.584259,20.05606,28.261108,23.541351,27.25293,21.918121,15.920898
1979-06-01,24.179596,16.423767,12.555511,28.901306,24.627838,19.219543,27.018433,22.553497,26.987946,21.092743,14.761383
1979-07-01,23.427246,16.111877,11.143127,28.25238,23.55246,18.32309,26.088593,21.645905,26.463318,20.277039,14.112976
1979-08-01,23.319885,15.285065,10.840424,27.748566,22.834412,17.400024,25.89035,21.465546,25.974487,19.5672,13.413788
1979-09-01,22.948547,14.993469,10.935211,28.162445,22.819916,17.009338,26.076508,21.5961,25.94159,19.937103,13.16333
1979-10-01,23.64917,15.427704,11.263519,28.700134,22.683563,17.704163,25.813477,21.539032,26.25299,19.535278,13.714539
1979-11-01,24.759857,16.642822,12.672058,29.018799,22.909363,18.765015,26.370483,22.437439,26.463806,20.669159,15.118225
1979-12-01,25.964325,18.477814,13.875549,29.395935,23.014313,20.69867,26.593414,23.831482,26.998596,22.409393,16.300964
1980-01-01,26.903809,19.734863,15.671356,29.430206,24.114624,22.413696,26.980011,25.330566,28.251373,23.962189,17.40445
1980-02-01,27.141357,20.634583,16.128632,29.471771,25.700226,23.193146,27.059692,25.667084,28.281067,24.499146,18.740143
1980-03-01,27.286835,19.621063,16.593842,29.587585,27.195282,23.203033,27.582794,26.140686,28.745758,24.889618,17.745941
1980-04-01,26.35202,18.735199,15.452637,29.669708,27.426392,22.132599,28.400848,25.359253,28.579987,24.124512,16.707642
1980-05-01,25.784363,17.94339,14.189667,29.497986,26.05011,20.509857,28.312744,24.101746,28.18753,22.585907,16.015808
1980-06-01,25.056885,16.42508,12.8905945,29.027374,25.17517,19.611664,27.659485,23.300049,27.256165,21.499146,14.511841
1980-07-01,23.816711,15.556061,11.472748,28.610657,23.58609,18.279419,26.418304,21.882202,26.307953,20.064484,13.994202
1980-08-01,23.447998,14.650909,11.0347595,28.380554,22.758636,17.369812,25.962524,21.272003,26.104065,19.462677,13.082611
1980-09-01,23.453949,15.236847,10.986755,28.500793,22.174683,16.793762,25.5112,21.080963,26.160004,18.772308,13.525055
1980-10-01,24.198761,15.563965,11.51828,28.870972,21.877747,17.269348,25.299377,21.648102,26.367828,19.413696,14.258453
1980-11-01,24.741638,16.79425,13.037567,29.064972,22.277618,17.729095,25.547333,21.576355,27.269043,19.616608,14.804321
1980-12-01,25.382507,17.849365,14.976044,29.204529,22.928375,19.756653,25.768036,23.545502,27.729279,21.835663,16.065308
1981-01-01,26.561798,19.625092,16.457397,29.17685,23.058838,21.309662,25.506744,24.936676,27.96698,23.309021,17.639069
1981-02-01,26.801208,20.716003,17.118713,29.32962,24.83722,21.272766,26.1409,24.75827,28.0531,22.861969,18.68283
1981-03-01,26.807861,20.9057,16.415375,29.210175,26.102966,21.375275,26.990875,25.28836,28.20279,23.266968,18.551086
1981-04-01,26.489502,19.849121,15.276764,29.323456,25.862549,20.821625,27.402557,24.686005,28.23767,22.957336,17.607788
1981-05-01,25.397552,18.189148,14.967621,29.611053,25.817413,19.751709,27.706024,23.735016,27.849579,21.871033,16.049835
1981-06-01,24.148743,16.937744,13.315338,28.93283,24.879272,18.366516,27.048828,22.35086,26.577179,20.25821,15.021454
1981-07-01,23.595581,15.948853,12.579681,28.635468,23.7294,17.28894,26.440308,21.450653,25.89331,19.35492,14.235046
