,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1971-05-01,0.00043559074,0.030425668,1.5561289,0.026776314,-0.004430175,-0.12242538,-0.38162184,-0.04864329
1971-06-01,-0.004430175,0.020740867,1.6941954,0.03856647,-0.015144289,-0.3834933,-0.41034865,-0.08139378
1971-07-01,0.015734732,0.0330925,2.1302443,0.036367536,-0.04026854,-0.13196981,-0.38906085,-0.054678738
1971-08-01,-0.0034944415,0.01755941,1.3576611,0.02158302,-0.016735017,-0.2551583,-0.25740403,-0.04761398
1971-09-01,0.0011373758,0.024998426,1.0158868,0.032109976,-0.052386224,-0.31523198,-0.49334764,-0.049157977
1971-10-01,-0.019448638,0.03014493,0.89171576,0.01755941,-0.022489727,-0.09907901,-0.52768886,-0.09065747
1971-11-01,-0.046444356,0.014237583,0.60271645,0.021302283,0.028507411,0.057795644,-0.24687713,-0.08387345
1971-12-01,-0.054772317,0.023922324,1.9143721,0.025138795,-0.021132946,0.038285732,-0.21651274,-0.061790287
1972-01-01,-0.08446401,0.026762247,0.34708357,0.049829483,0.015408397,0.08091116,-0.19728291,-0.049991608
1972-02-01,-0.12350881,0.03251618,0.15874386,0.01849091,0.018850505,0.06323826,-0.3301893,-0.08117604
1972-03-01,-0.040641427,-0.0075047016,0.6441835,0.02260089,0.04458928,-0.052663088,-0.3074817,-0.08867675
1972-04-01,-0.02435559,0.0032325983,0.2842009,0.023422897,0.011401176,-0.19188857,-0.23463231,-0.03231871
1972-05-01,0.011555314,0.041455388,2.420002,0.017052412,0.022909105,-0.1536144,-0.10085255,-0.037250638
1972-06-01,0.023114622,0.026505351,1.9596331,0.03862977,0.04068476,-0.4103852,-0.12237859,-0.03499019
1972-07-01,0.012120426,0.026402593,1.915194,0.012017667,-0.05245757,-0.38403004,-0.1454972,-0.039254308
1972-08-01,0.02188164,0.029587865,1.4986992,0.05142212,-0.021427274,-0.5653828,-0.039613903,-0.05256033
1972-09-01,0.010733306,0.02183026,1.6784593,0.017925799,-0.04372388,-0.5290608,-0.10008192,-0.0318563
1972-10-01,0.014226794,0.027995229,1.7022457,0.01787442,0.03539318,-0.35192078,-0.0960747,0.0030784607
1972-11-01,-0.016649425,0.022189856,0.97477984,0.034108818,0.014072657,-0.25775093,-0.24413663,-0.048655868
1972-12-01,-0.020913482,0.029741943,0.76707184,0.023576975,0.016846895,0.052963316,-0.3151365,-0.06201327
1973-01-01,-0.052520096,0.014887214,1.0249022,0.032895625,0.00802213,0.04314357,-0.43427926,-0.062967
1973-02-01,-0.07818961,0.023443699,0.61792135,0.027721941,-0.013767123,-0.049286544,-0.26225382,-0.031178594
1973-03-01,-0.0870446,0.0059327483,0.5893665,0.028119922,0.014936924,-0.011876702,-0.378861,-0.12763822
1973-04-01,-0.06057912,0.022697508,0.9489384,0.04314357,-0.003220737,-0.1742512,-0.5268585,-0.066996515
1973-05-01,0.0008585453,0.023543179,1.5662003,0.02627927,-0.0077477098,-0.34747058,-0.40786356,-0.054758728
1973-06-01,0.005186498,0.030308783,2.3756847,0.027920961,0.020359397,-0.31518465,-0.22733134,-0.04023254
1973-07-01,0.0010077357,0.02687627,1.3853695,0.04115367,-0.023418069,-0.535415,-0.13375705,-0.051773906
1973-08-01,-0.00028568506,0.0254336,1.2337404,0.031801224,-0.038242698,-0.26086086,-0.36453384,-0.034909606
1973-09-01,-0.001529336,0.020060897,1.0914141,0.02548331,-0.023219049,-0.4381097,-0.39627248,-0.02471149
1973-10-01,-0.014364064,0.018369496,1.3858173,0.026925981,-0.029437423,-0.2728997,-0.34468466,-0.023368299
1973-11-01,-0.06973261,0.013046563,0.7154754,0.02404064,0.021603048,-0.14087093,-0.5311865,-0.07371235
1973-12-01,-0.05848974,0.020359397,0.41982844,0.03951198,0.0041915774,-0.00809598,-0.3717969,-0.052321136
1974-01-01,-0.056472123,0.011474073,1.2125158,0.024970233,0.01845485,0.06526482,-0.32317632,-0.06120348
1974-02-01,-0.10502726,0.02632761,0.38339406,0.017252624,0.033114493,-0.063375294,-0.4123363,-0.084589064
1974-03-01,-0.06996822,0.027568638,0.47844887,0.026094913,0.016089141,0.047231138,-0.19306254,-0.04646635
1974-04-01,-0.04689294,0.028964758,0.39483476,0.021906435,0.009069562,-0.10382497,-0.35621864,-0.0884673
1974-05-01,0.008720577,0.029391408,0.93937373,0.029507756,0.017368972,-0.22156733,-0.35664523,-0.02017206
1974-06-01,0.008992016,0.023884356,1.9001217,0.02085936,-0.0154019,-0.43738955,-0.1781314,-0.066051245
1974-07-01,0.009806454,0.016864777,1.7618248,0.02365166,-0.032621145,-0.44565004,-0.231767,-0.052826583
1974-08-01,0.0034074187,0.011939466,1.2480013,0.043546855,-0.014354765,-0.30618978,-0.26694232,-0.017496109
1974-09-01,-0.002448678,0.01915294,0.84587014,0.031485617,-0.0077230334,-0.44611543,-0.35707188,-0.0006259084
1974-10-01,-0.03521955,0.017679214,0.8031711,0.027684987,-0.009468257,-0.25813884,-0.44782192,-0.11957049
1974-11-01,-0.03072083,0.031291723,1.2857363,0.018532395,0.022061586,-0.056472123,-0.23847634,-0.07791859
1974-12-01,-0.02439934,0.012094617,0.59014124,0.028383076,-0.030216634,-0.011678815,-0.29808432,-0.084046125
1975-01-01,-0.07533467,0.033914864,0.14945737,0.031426907,0.020633698,0.07445353,-0.47124523,-0.04584533
1975-02-01,-0.08748162,0.025316834,0.80693007,0.03395146,0.03164643,0.020889819,-0.356471,-0.07734692
1975-03-01,-0.060407043,0.01924336,0.49674344,0.02714622,0.010279477,-0.065273166,-0.31044424,-0.05250418
1975-04-01,-0.03110069,0.023487508,1.0856516,0.028609693,0.011267364,-0.12904471,-0.29262626,-0.07050514
1975-05-01,0.0026693344,0.020780027,1.3871305,0.0068036914,-0.0582484,-0.35683686,-0.43897527,-0.043723285
1975-06-01,0.0031815767,0.029560983,1.7942734,0.024511933,0.02469486,-0.2976387,-0.37564272,-0.09318924
1975-07-01,0.0068402886,0.040354192,1.6094346,0.031609833,-0.060004592,-0.3092003,-0.24974602,-0.03249097
1975-08-01,0.006913483,0.005413413,1.3757153,0.0197922,-0.0041724443,-0.46235448,-0.38808239,-0.045918524
1975-09-01,-0.0029284954,0.02429241,0.9305949,0.028024316,-0.020929396,-0.40787607,-0.41215676,-0.038637638
1975-10-01,-0.007026255,0.012877166,1.113275,0.026377857,-0.017892659,-0.26701522,-0.33085996,-0.01609993
1975-11-01,-0.053418875,0.024768054,1.1595945,0.03109765,-0.033515453,-0.12220287,-0.53212637,-0.04858935
1975-12-01,-0.051113904,0.018036008,0.94980323,0.016023695,0.018767715,0.06519693,-0.3530684,-0.03984505
