,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1971-06-01,-4.994932e-05,-1.014087e-05,-9.643241e-05,-5.774897e-05,2.7773967e-06,-7.953008e-05,-3.694875e-05,-2.8440332e-05
1971-07-01,-4.0562845e-05,-1.1484164e-05,-9.895317e-05,-5.088324e-05,1.8818682e-06,-9.139585e-05,-3.075467e-05,-1.7868108e-05
1971-08-01,-4.8390437e-05,-9.15413e-06,-9.444235e-05,-4.536081e-05,7.462342e-06,-8.54754e-05,-2.7553982e-05,-3.096937e-05
1971-09-01,-5.340706e-05,-1.2620159e-05,-9.232791e-05,-5.795627e-05,1.9067411e-06,-8.021831e-05,-4.0041643e-05,-2.9825085e-05
1971-10-01,-4.6557918e-05,-1.5936934e-05,-9.78835e-05,-5.7856767e-05,4.3362816e-06,-7.154494e-05,-3.665853e-05,-3.6616184e-05
1971-11-01,-6.212189e-05,-1.9477593e-05,-9.282542e-05,-6.822169e-05,-5.974216e-07,-7.462954e-05,-3.810133e-05,-2.3423709e-05
1971-12-01,-5.9136793e-05,-2.1873966e-05,-8.869603e-05,-5.9432234e-05,-7.5497155e-07,-7.448858e-05,-4.2736523e-05,-2.6276135e-05
1972-01-01,-5.3086875e-05,-2.7473594e-05,-8.634824e-05,-5.6244433e-05,-4.7037684e-06,-7.321064e-05,-3.6511858e-05,-2.521215e-05
1972-02-01,-5.622581e-05,-1.2536904e-05,-8.175577e-05,-6.327136e-05,3.6133133e-07,-7.422723e-05,-4.729303e-05,-2.679053e-05
1972-03-01,-6.252152e-05,-1.1324133e-05,-8.320039e-05,-5.2516945e-05,-6.4872584e-06,-5.3743897e-05,-4.450187e-05,-2.5354824e-05
1972-04-01,-4.740647e-05,-1.2224795e-05,-8.99063e-05,-5.6048244e-05,1.6097692e-06,-7.1016955e-05,-4.1247014e-05,-3.4049317e-05
1972-05-01,-4.417836e-05,-8.238705e-06,-9.3339506e-05,-4.9458267e-05,8.517891e-07,-7.596613e-05,-3.0617437e-05,-2.3241399e-05
1972-06-01,-4.6889258e-05,-9.727912e-06,-9.5042735e-05,-6.242421e-05,3.4349068e-07,-8.150385e-05,-2.2930613e-05,-1.8452734e-05
1972-07-01,-4.5159282e-05,-6.8921727e-06,-9.49714e-05,-5.842028e-05,-5.304173e-07,-7.553809e-05,-3.481755e-05,-2.1270647e-05
1972-08-01,-4.6122364e-05,-1.352674e-05,-9.700457e-05,-5.8268684e-05,-4.2133106e-06,-7.933692e-05,-2.6033878e-05,-1.7899856e-05
1972-09-01,-4.5150362e-05,-8.862924e-06,-8.674061e-05,-6.136303e-05,5.551272e-06,-6.832389e-05,-3.3907967e-05,-2.35e-05
1972-10-01,-4.2296782e-05,-1.0280797e-05,-8.372652e-05,-5.881265e-05,-2.3941539e-06,-7.066918e-05,-3.380988e-05,-2.2073214e-05
1972-11-01,-4.076299e-05,-9.47823e-06,-7.9865276e-05,-6.3467545e-05,1.7078637e-06,-7.1088296e-05,-2.94225e-05,-1.8541909e-05
1972-12-01,-5.35595e-05,-1.2215874e-05,-9.9795725e-05,-6.553639e-05,-2.5397458e-07,-7.015197e-05,-4.215659e-05,-3.0045394e-05
1973-01-01,-4.9909417e-05,-7.37534e-06,-8.486172e-05,-6.006899e-05,2.893561e-06,-7.157585e-05,-5.082756e-05,-3.0265077e-05
1973-02-01,-6.268601e-05,-9.12726e-06,-8.1472914e-05,-7.746428e-05,6.373084e-07,-7.914094e-05,-4.767765e-05,-3.5733177e-05
1973-03-01,-5.298854e-05,-1.1569318e-05,-8.95512e-05,-5.827283e-05,1.6282866e-06,-7.077068e-05,-3.681223e-05,-3.0008483e-05
1973-04-01,-4.1017116e-05,-9.330761e-06,-9.105537e-05,-6.481155e-05,-4.067624e-07,-7.424797e-05,-3.7148457e-05,-2.5894136e-05
1973-05-01,-4.70338e-05,-1.1011893e-05,-9.012632e-05,-5.914879e-05,3.787216e-06,-7.278803e-05,-3.544963e-05,-3.052167e-05
1973-06-01,-3.88051e-05,-1.2878838e-05,-8.3861894e-05,-5.481324e-05,1.1016084e-05,-8.312257e-05,-3.079555e-05,-2.6115336e-05
1973-07-01,-3.9521794e-05,-1.3285848e-05,-9.085186e-05,-5.604312e-05,3.0528245e-06,-8.544961e-05,-2.7919927e-05,-2.0594147e-05
1973-08-01,-4.7794732e-05,-4.2785177e-06,-9.823115e-05,-5.2326937e-05,7.2556577e-06,-7.9556805e-05,-3.7873997e-05,-2.7982282e-05
