,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8
1977-06-01,4.9081573,54.358173,24.891228,50.053226,23.95876,35.309196,54.39229,16.169247
1977-07-01,6.8543167,57.215683,26.631075,37.64199,17.527332,18.212875,63.23448,17.152073
1977-08-01,12.895863,54.95924,23.09777,43.615303,16.029537,18.857803,53.00496,15.4804535
1977-09-01,9.328442,52.845757,18.235619,42.143497,36.82161,19.881245,53.963417,10.426609
1977-10-01,6.545662,49.7267,30.789814,36.48209,26.013762,23.151379,57.134457,16.95388
1977-11-01,7.489502,48.39948,39.692116,39.602768,24.455858,37.666355,41.69676,20.389717
1977-12-01,12.793518,47.065758,43.98569,41.03721,31.502974,24.782385,48.661022,59.62158
1978-01-01,16.54744,44.27752,67.81308,44.424835,19.18327,26.899094,58.69539,31.437347
1978-02-01,21.99968,37.32837,59.46998,30.062407,27.526371,32.8313,68.10771,53.75162
1978-03-01,14.776489,47.527954,55.373672,53.19246,32.390938,36.9878,48.59401,39.826385
1978-04-01,13.211464,56.712177,47.38539,44.70996,28.243937,30.201803,66.25281,34.89054
1978-05-01,9.555515,50.998573,31.383492,49.959446,20.539202,36.914932,45.080624,17.22382
1978-06-01,7.315693,57.28718,19.199108,53.214634,26.762867,38.372246,24.770153,9.737679
1978-07-01,5.999363,48.388084,9.501659,33.87201,21.552982,37.230156,45.71582,7.0321503
1978-08-01,9.869156,44.74798,24.89846,40.996986,19.344841,40.387135,30.887688,7.938217
1978-09-01,7.608738,52.896244,13.613808,48.964672,18.776173,33.795975,33.921112,8.692219
1978-10-01,6.6630707,47.181053,29.604622,40.933624,23.990808,28.575,26.556942,17.6721
1978-11-01,5.703148,49.69016,61.34072,39.76144,32.753677,38.7635,46.640896,17.073338
1978-12-01,10.26041,46.491997,50.049736,47.304607,19.243462,35.87739,35.749084,40.865513
1979-01-01,18.535484,34.61635,54.829475,21.737417,37.64031,25.389145,73.840454,66.172966
1979-02-01,10.364803,40.682064,36.32329,41.13833,12.960007,33.168278,71.25496,31.49693
1979-03-01,19.11633,48.655354,40.33744,36.669533,21.074055,30.99698,46.333588,28.343533
1979-04-01,31.262325,49.44168,45.005245,54.858597,27.160807,36.224594,55.669193,17.155365
1979-05-01,9.1626625,48.834946,41.02669,44.968033,28.712427,36.17444,42.107483,15.411209
1979-06-01,6.6257095,58.4181,23.023693,43.854877,28.091131,21.135536,35.86541,14.730049
1979-07-01,7.6288414,42.68995,14.273785,35.83629,29.259296,30.812532,46.97106,8.610939
1979-08-01,9.065586,57.376137,21.99629,45.715527,21.167896,23.839142,50.658382,11.469868
1979-09-01,11.882446,49.93354,30.979183,45.767303,25.183664,29.594212,38.725956,15.739655
1979-10-01,12.392105,57.693256,41.448975,51.590324,36.85398,35.253822,58.128487,23.596449
1979-11-01,6.093399,48.5874,39.30033,38.96865,35.863792,36.383156,65.0323,15.8432045
1979-12-01,11.528114,46.882072,52.824825,36.27799,31.040665,24.301878,55.753326,47.814014
1980-01-01,17.529984,42.110188,47.815636,48.061714,32.57666,33.329563,56.491962,47.16866
1980-02-01,12.464993,33.026447,54.120804,28.56769,18.739193,37.07127,71.11004,34.90219
1980-03-01,19.17757,42.092262,43.730072,34.962486,24.545681,21.345024,62.58853,44.3689
1980-04-01,23.62981,37.240753,39.14257,25.104656,20.58397,20.971832,34.499664,45.609074
1980-05-01,8.633652,50.812588,29.6286,45.074543,18.574596,52.802406,50.204723,23.659145
1980-06-01,6.8996925,49.507225,31.476637,47.289257,24.60272,37.038677,35.22486,15.170231
1980-07-01,10.326874,49.220406,20.494339,45.508034,27.586632,31.03011,54.379917,7.717781
1980-08-01,8.949806,44.264603,31.709679,36.559555,21.089165,17.58702,57.957027,5.6692963
1980-09-01,7.5303726,48.123642,37.35483,38.27722,22.656902,15.926395,58.874527,11.705566
1980-10-01,7.659115,46.40435,57.182938,33.122597,28.626356,29.366224,43.664886,18.788082
1980-11-01,8.970993,58.558372,40.464226,39.608654,44.865948,25.95371,57.137306,31.884052
1980-12-01,16.58152,49.53167,44.575867,32.37784,21.934963,35.09612,38.744934,30.648767
1981-01-01,16.371544,36.548935,52.430004,26.813822,19.16349,23.344738,57.6453,40.528378
1981-02-01,27.230778,30.152815,61.5647,40.6051,18.464672,37.509605,82.61937,54.026115
1981-03-01,16.996983,38.637062,47.96189,29.390617,24.977541,25.973236,25.951553,50.898937
1981-04-01,16.346527,39.64943,52.91868,26.732098,24.322084,41.30225,63.52273,38.810516
1981-05-01,7.743866,51.29588,34.490837,43.493774,20.832989,31.43204,36.3955,17.142082
1981-06-01,6.20446,61.984993,22.44411,50.76551,17.58239,36.672356,36.832466,15.277451
1981-07-01,10.794327,52.3316,13.080917,35.072906,17.589062,22.150574,55.116875,5.0753403
1981-08-01,13.999893,52.97038,19.553764,37.51628,24.443836,21.193237,36.70905,8.34095
1981-09-01,8.857975,48.028603,23.526531,33.293335,42.819973,28.104721,45.815395,10.46743
1981-10-01,9.226566,48.69073,35.117943,47.271408,29.769215,29.986032,42.85166,15.3475
1981-11-01,6.6497726,47.13798,54.808327,49.954945,28.364902,47.18802,46.165638,23.468157
1981-12-01,18.861614,46.949516,56.200966,48.64403,25.100962,28.002983,64.595146,30.528076
1982-01-01,15.484653,39.29647,52.671814,38.75116,24.563482,26.669113,61.12812,38.448746
1982-02-01,22.795652,30.703434,66.124374,33.48467,24.100212,32.017643,67.11526,45.84178
1982-03-01,16.483582,41.88146,40.92596,38.553307,21.803158,37.683064,75.74529,23.3667
1982-04-01,23.599943,48.381733,33.28842,37.810143,36.700222,30.587616,57.975304,17.218704
1982-05-01,7.668564,59.517933,32.151154,47.60318,19.610664,37.568855,54.793533,16.35007
1982-06-01,10.580093,43.903442,27.748472,42.77422,24.002089,25.160265,47.696476,9.291622
1982-07-01,8.348991,47.083607,20.664284,44.792988,36.989765,12.275536,59.550106,5.852474
1982-08-01,8.551674,44.765644,23.905573,29.678768,28.218178,14.685192,53.303986,8.258911
1982-09-01,7.4610558,44.648216,25.158657,49.16511,28.319517,25.86965,49.351707,13.404762
1982-10-01,6.294834,48.322212,38.749554,48.364037,31.399948,21.629433,50.17369,14.591892
1982-11-01,13.59779,54.08576,47.63696,39.027836,52.391922,22.03962,19.385464,44.13669
1982-12-01,18.814415,47.439102,23.004768,40.679848,29.22354,40.687893,54.119537,42.405853
1983-01-01,41.040337,41.816223,41.571457,33.758194,37.405663,37.941586,67.833244,38.091965
1983-02-01,39.848507,46.063606,41.63545,44.943768,37.535244,27.765461,72.64055,46.006016
1983-03-01,47.19144,40.897957,41.381084,33.84298,32.907116,28.94609,56.36451,48.716022
1983-04-01,49.62949,47.807354,19.2435,48.642433,24.030003,43.798332,41.05793,34.460487
1983-05-01,45.77725,49.21835,36.12745,46.505142,29.01328,34.52288,48.492054,16.640675
1983-06-01,25.797747,40.01808,18.646786,35.197983,26.95118,35.89868,57.498745,19.814617
1983-07-01,13.745094,49.175156,6.995674,40.091675,13.4987335,27.959034,48.30968,10.806324
1983-08-01,11.452629,50.9093,23.650858,44.611015,22.041492,23.212523,50.79252,9.550507
1983-09-01,13.773891,54.540775,30.400278,45.870033,21.216011,26.308073,51.942753,11.359844
1983-10-01,12.614059,50.846912,34.164536,50.65654,17.44056,39.779716,47.807354,17.373371
1983-11-01,8.651436,45.978817,38.22634,44.209473,36.50659,46.006016,61.966896,46.676315
1983-12-01,18.5364,43.636757,53.920067,36.18984,18.949142,29.63559,60.24555,34.86843
1984-01-01,14.823551,45.349407,52.21592,36.161774,27.71447,34.78125,33.88169,45.6892
1984-02-01,20.747826,40.063686,43.940975,42.550602,15.6082,29.393753,50.651543,33.648594
1984-03-01,24.511848,37.330544,61.213135,37.89687,14.572395,29.769665,63.306084,50.64826
1984-04-01,32.391182,48.419064,46.3294,39.814175,26.28634,26.430796,53.942806,13.441383
1984-05-01,12.236504,49.128204,24.841797,43.583122,35.50352,41.371986,42.626114,28.561499
1984-06-01,8.792576,54.363037,32.708,46.444305,25.073252,33.476234,50.53335,17.932606
1984-07-01,9.160278,60.06899,32.057953,54.76357,26.545702,40.0801,41.608364,19.634869
1984-08-01,6.921234,68.294685,26.570326,54.148,32.305824,23.571253,31.693535,15.934864
1984-09-01,6.812893,57.058426,33.541893,60.655014,27.49779,31.406267,48.015247,10.041779
1984-10-01,9.820171,46.25553,32.069443,38.891636,30.070063,38.220253,53.53899,14.784153
1984-11-01,9.895683,45.326424,38.011776,44.019768,21.529194,26.729553,61.37893,18.736954
1984-12-01,10.967602,49.937477,56.167076,39.738663,22.061047,42.058144,58.186157,39.18711
1985-01-01,25.734804,46.3075,57.67662,32.66455,20.775372,23.661129,66.58161,55.891685
1985-02-01,15.226978,34.62011,45.570885,37.64695,18.783726,39.581177,56.437992,44.317493
1985-03-01,17.674702,49.24083,50.984753,28.728836,31.448895,30.564629,71.67393,40.595047
1985-04-01,17.154644,52.193848,50.782963,43.423386,19.439953,45.018013,44.753883,30.604002
1985-05-01,9.860687,56.85798,41.0905,47.21309,24.24681,34.65948,41.687664,23.644722
1985-06-01,8.179108,56.994144,27.148972,49.342545,28.279322,34.88588,43.293777,12.41177
1985-07-01,10.321686,39.548367,25.92675,38.964325,18.662323,23.795654,44.59147,9.9049835
