,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12
1975-08-01,1.7683411,1.6669617,-0.62060547,-5.3480225,-1.0948792,0.13845825,-4.955261,0.10217285,2.6532898,2.845642,0.43218994,1.5123291
1975-09-01,1.9335632,1.6671753,-0.9579468,-5.8758545,-2.2936401,0.43569946,-5.915924,-0.3808899,2.893921,3.0919495,-0.123931885,1.3381042
1975-10-01,2.5203247,1.3972778,-1.1212769,-5.786957,-4.3211365,0.068237305,-6.1697693,-0.79599,2.8117065,2.9239197,-1.9081726,1.5076294
1975-11-01,2.842987,1.403595,-0.9844055,-5.390259,-7.451996,-0.48510742,-5.4675903,-0.79959106,2.4865417,2.5403137,-3.931549,1.3790894
1975-12-01,3.070221,1.4384766,-0.8467407,-4.9687805,-9.287415,-1.0353088,-4.807068,-1.3870239,2.118805,2.0914612,-5.518524,0.94436646
1976-01-01,3.006195,1.3945923,-0.65011597,-3.4999084,-11.608154,-1.197113,-3.270172,-1.8201599,2.1096497,1.586029,-6.8887024,0.41400146
1976-02-01,2.1863708,1.314209,-0.3859253,-2.3302002,-11.8750305,-1.7424316,-0.7931824,-1.3789368,1.3828125,0.7672119,-7.85968,0.026306152
1976-03-01,1.9315796,1.6436768,-0.5263672,-2.1230469,-12.536072,-2.1096191,0.2617798,-1.0450134,1.241394,0.7331848,-8.166199,-0.53829956
1976-04-01,1.7987671,2.171692,-0.7471924,-2.700409,-11.691803,-2.1211243,-0.048034668,-0.24047852,1.2850952,0.72717285,-7.5362244,-0.8222656
1976-05-01,1.4567871,1.6885071,-0.4178772,-3.466034,-10.147675,-1.5779724,-0.72369385,0.33099365,1.3369446,0.69699097,-6.270569,-0.74209595
1976-06-01,1.2213745,1.6932678,-0.5383911,-3.7939453,-6.63974,-0.89941406,-1.2042236,1.3337708,1.5858765,1.355133,-3.7412415,0.15826416
1976-07-01,0.88119507,2.0209045,-0.2654724,-4.260437,-3.282837,-0.29382324,-1.6940918,1.8916321,1.7628174,2.2461548,-0.78759766,0.84091187
1976-08-01,0.62789917,1.8914185,-0.37506104,-5.077118,-2.4043884,0.10726929,-2.7325745,1.5105286,2.4284668,2.5552673,-0.6341553,0.8571167
1976-09-01,1.1330261,1.6118774,-0.7381592,-5.785797,-2.7028198,0.2727661,-3.359192,1.5531921,2.8003235,2.4015198,-1.879364,0.84213257
1976-10-01,1.5198059,1.53125,-0.65719604,-5.7341614,-5.719757,0.77838135,-4.134491,0.91015625,2.5605469,1.9921875,-2.9032898,1.1210022
1976-11-01,2.3034668,1.4014587,-0.5378418,-5.826172,-9.53421,0.046936035,-3.8624878,0.6073303,2.2860718,1.591919,-3.5750732,0.7704468
