,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9
1972-04-01,-0.00014094885602612429,-0.00016751818192359578,-0.0001516784356102686,0.0002381043714194675,-7.739078201291917e-05,-0.00033299764052369737,-0.004568042277242057,-5.4489662880800536e-05,-5.656048355764351e-05
1972-05-01,-0.00017976582261771724,-0.00020403620308368571,-0.00016438634536991063,0.0004276058916730108,-7.885867168678326e-05,-0.00016766644977097813,0.006032105738995597,-5.399457410836978e-05,-5.507506199644356e-05
1972-06-01,-0.00017105547677991647,-0.0002702411115428226,-0.00016531977135772732,-0.00012751216900142026,-8.169810344578067e-05,-0.00012569866561938802,0.00360923950211145,-5.141824407599353e-05,-5.5373448943652476e-05
1972-07-01,-0.0001587288463678287,-0.00012704470767251527,-0.0001599091509970921,-0.0006202592885529157,-8.105832876026398e-05,-8.373389795855878e-05,0.007177102816058323,-5.501799525267541e-05,-5.725452589759981e-05
1972-08-01,-0.00017111199166701765,-0.00016624454575422633,-0.00016471997448454863,-0.0006325062258838443,-7.853557503147063e-05,-6.616289990941166e-05,0.002379526267759502,-5.323515857714389e-05,-5.657879190963644e-05
1972-09-01,-0.000161549141179124,-0.00019159439640740555,-0.00015683191039980471,0.0005816680641146377,-7.662712746155995e-05,-2.0002129177656672e-05,0.0037144658563192934,-6.0032967855383095e-05,-5.4269682446143547e-05
1972-10-01,-0.00015192906305726086,-0.00015445203745103854,-0.00015486783178692514,-0.0010493552508705761,-7.680603710682857e-05,-0.00010053730269040292,0.0039721788198221475,-5.908916074108204e-05,-5.6376956770870244e-05
1972-11-01,-0.00015966737065559292,-0.0001987998378657115,-0.00015850150455001062,-0.002192687134083826,-7.477366152135587e-05,-0.0002325107036287793,0.0006210095307324082,-6.127891036408858e-05,-5.677700233927233e-05
1972-12-01,-0.0001470553445183121,-0.0001757830331270169,-0.00015732766107910058,-0.0023583759684697725,-7.876732364392785e-05,-0.00039538362115207646,0.0007529873983003199,-5.873300512481866e-05,-5.538611373192341e-05
1973-01-01,-0.00014013197387055475,-0.00018980978590358671,-0.00014876247653526,-0.001585651989444159,-6.931618773866348e-05,-0.000223696527730984,0.0024357426809729077,-6.150805786781912e-05,-5.5267909631572266e-05
1973-02-01,-0.0001439072306942651,-0.0002110421822483962,-0.0001472911654590544,-0.0017951932022697292,-6.711312942249658e-05,-0.00027816913643619046,0.0005086345936433645,-6.234515930028183e-05,-5.6618168305696425e-05
1973-03-01,-0.00014400573825102528,-0.00016746636093658808,-0.0001559160326988521,-0.002113500886480324,-7.11703344624017e-05,-0.00014871566236251965,-0.003447334165684879,-5.568109843117217e-05,-5.719488227873999e-05
1973-04-01,-0.00015787451530388576,-0.00021345125181445232,-0.0001639763187003237,-0.000960817214945564,-7.455059457082397e-05,-0.0003152049733519865,-0.002483779826434329,-5.813609434347921e-05,-5.5024547877945255e-05
1973-05-01,-0.00016002819875768405,-0.00018846975662098784,-0.0001616403328212486,-0.0006801025392633164,-7.513502249126116e-05,-0.0003227313249630647,0.002304791269125417,-5.4870968220899975e-05,-5.547044744818151e-05
1973-06-01,-0.00015732146828074237,-0.00010577586080115806,-0.0001631916529731825,-0.0010697492143663112,-7.291426647819154e-05,-0.00036512909799865965,0.01055029861163348,-5.8211990108247846e-05,-5.6547630906532535e-05
1973-07-01,-0.00016721760217404486,-0.0001558966586243413,-0.00016225189028773457,-0.0007178421583375894,-7.075548182911007e-05,-0.0002004234273853298,-0.002385566767770797,-5.259602967898586e-05,-5.755460226849165e-05
1973-08-01,-0.0001511437793461872,-0.0001091505509975832,-0.00015508579301901838,0.00044017347136104945,-7.503690807532299e-05,-0.00041486301698670205,0.004008042014902458,-5.587969443977586e-05,-5.765624381802198e-05
