,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8
1973-04-01,0.066764414,0.055267632,0.8118386,0.18838093,-0.009419048,0.3534913,-0.20888118,-0.47039825
1973-05-01,0.019669186,-0.016621847,0.6094677,0.18200922,-0.21816173,0.2861728,-0.04778781,0.013851548
1973-06-01,0.092943825,-0.0037399172,0.27592263,0.12660307,-0.23630723,0.90395147,0.1188462,-0.33493018
1973-07-01,-0.044047892,0.018145513,0.41291437,0.15721497,-0.13449845,0.89383984,0.038645796,-0.0570683
1973-08-01,0.043355312,0.03587551,0.2051413,0.061362315,-0.18311734,0.76058805,0.20666495,-0.026456451
1973-09-01,-0.053189922,-0.013158942,0.03158151,0.23810795,-0.23880053,0.56403464,0.15333652,-0.220932
1973-10-01,0.14197826,0.013990045,0.28935865,0.2583312,-0.065933324,0.62608945,-0.5544771,-0.18450251
1973-11-01,0.51375353,0.076876044,0.6252584,0.2684428,-0.23699984,0.46111768,-0.5972783,-0.054159522
1973-12-01,0.13352884,0.03130448,0.92417467,0.25943932,-0.07022731,-0.37066716,-1.1290389,-0.48785123
1974-01-01,0.08040414,-0.0068757413,1.1610188,0.19897565,-0.11422157,-0.030449724,-1.6009262,-0.37956923
1974-02-01,0.051918887,0.01768049,1.2005894,0.28681684,-0.036343217,-0.27264437,-1.1547043,-0.09008631
1974-03-01,0.042657662,0.026801372,1.0467973,0.21890132,-0.26408476,0.52830994,-1.0970323,-0.06833649
1974-04-01,-0.006595111,-0.0063144565,1.1924509,0.25145584,-0.055847883,0.64982814,-0.300428,-0.2828878
1974-05-01,-0.088262126,0.03592229,0.3207746,0.167684,-0.33073744,0.9807059,0.09022661,-0.21441098
1974-06-01,-0.055426955,0.016698265,0.26927668,0.111274816,-0.22240934,0.7056761,-0.014172447,-0.39191753
1974-07-01,0.02455623,0.00898056,0.64814436,0.2017821,-0.13091981,1.0813162,0.19588861,-0.12558755
1974-08-01,0.01585629,-0.0050515174,0.6098366,0.28864104,-0.109310344,0.91826284,0.113239326,0.05879469
1974-09-01,-0.033396482,-0.042797945,-0.06917844,0.059075285,-0.040272225,0.07942189,0.18957415,0.021609496
1974-10-01,-0.012207961,0.041254498,0.13639234,0.3168456,-0.09275241,0.9814075,-0.24598332,-0.29762155
1974-11-01,-0.04167545,0.017680477,0.72391784,0.37578058,-0.013470841,-0.05430436,-0.27643305,-0.50038594
1974-12-01,-0.032694887,-0.044341553,1.1774365,0.0913492,0.028204584,-0.24668494,-1.2586825,-0.37143064
1975-01-01,0.2457614,0.09623754,1.3204808,0.22160129,-0.010469365,0.043890763,-1.1510922,-0.51621974
1975-02-01,-0.035166312,0.119458035,1.1590111,0.26119694,-0.07717793,-0.28669924,-1.2266594,-0.14415494
1975-03-01,0.10831757,0.0092613455,1.0721693,0.1594563,-0.19932039,0.22294357,-0.5680296,0.007784939
1975-04-01,0.19140124,0.0053689005,1.0602233,0.27918282,-0.16200653,0.91271293,-0.40239906,-0.29354468
1975-05-01,-0.020267582,0.023623133,0.530313,0.22884932,-0.0030871392,0.6395701,0.14375229,-0.4158213
1975-06-01,-0.050064992,-0.019730663,0.5256153,0.1648252,-0.3389118,1.3144408,0.18831417,-0.17985812
1975-07-01,-0.06925881,0.06496372,0.17542878,0.15516119,-0.13475938,1.0905578,0.23394983,-0.13959137
1975-08-01,-0.10643842,0.040803622,0.3193153,0.20146796,-0.26321027,0.8839892,0.14079937,-0.17502613
1975-09-01,0.08107035,0.0037582398,0.024965381,0.12402155,-0.119189546,0.44870576,0.04107208,0.20804486
1975-10-01,-0.028052498,0.0013422013,0.121874,0.20911865,-0.08066769,0.6254767,-0.10039842,-0.036105823
1975-11-01,0.08362062,-0.008321786,0.29461837,0.2834779,-0.056776118,0.2163666,-0.55581534,-0.31918105
1975-12-01,-0.069929935,0.0161067,0.9547246,0.34656245,0.09489532,-0.10388823,-0.80936164,-0.27180055
1976-01-01,0.1056694,0.12001793,1.4753487,0.20584078,0.045593403,-0.30212334,-1.1741642,-0.37681606
1976-02-01,-0.06316028,-0.0044252397,1.4162115,0.334441,-0.16507494,0.06691501,-1.2036657,-0.056053065
1976-03-01,-0.14670348,0.023467189,1.25583,0.2360129,-0.06342847,0.31553313,-0.6029057,-0.5333087
1976-04-01,0.13946216,-0.0528347,0.8617153,0.2381585,-0.16963428,0.97288275,-0.069328785,-0.2901886
1976-05-01,-0.09748942,-0.020651132,0.5846683,0.11881103,-0.2885794,0.1909559,-0.009789174,-0.20677948
1976-06-01,0.08166583,0.022260297,0.32129937,0.17794836,-0.18639655,0.79533666,0.11063105,-0.20235428
1976-07-01,-0.10097597,0.014750791,0.9293008,0.24124274,-0.10607171,1.4036063,0.19417424,-0.14992185
1976-08-01,-0.085956976,0.015823578,0.6932879,0.16185658,-0.3281384,0.79667765,0.037145216,-0.09024811
1976-09-01,-0.13476872,0.055784844,0.5236536,0.17714377,-0.1143858,0.40819502,-0.14415559,-0.24271779
1976-10-01,-0.029233415,0.02373538,0.34543705,0.30923054,0.043850105,0.24204734,-0.29099315,-0.2203234
1976-11-01,0.056455325,0.10097599,0.69851774,0.16185656,0.07268123,-0.041168164,-0.67411184,-0.26940337
1976-12-01,-0.020248836,-0.04626388,0.96832335,0.13101396,0.023333073,-0.09883041,-0.87217504,-0.5355884
1977-01-01,0.15602589,0.047431864,1.1857964,0.1146963,-0.037168812,-0.23674321,-1.2401627,-0.69289345
1977-02-01,0.05727882,0.031205177,1.2832952,0.19777143,0.056446683,-0.048125304,-0.74309903,-0.45212823
1977-03-01,0.18958874,-0.026351023,1.2032713,0.20595412,-0.07974654,0.2088666,-0.4321569,-0.32120523
1977-04-01,0.07919178,-0.0538116,1.0920422,0.30886182,-0.043132473,0.6777763,-0.1712817,-0.36725014
1977-05-01,0.1284266,-0.003883311,0.47390252,0.3076136,-0.24811578,1.415189,0.29027742,-0.32106647
1977-06-01,-0.062965095,0.012343371,0.36087042,0.16226688,-0.19222382,1.2025778,0.047431864,-0.24783845
1977-07-01,-0.09666668,0.045906283,0.84725493,0.25435677,-0.15990914,1.0785892,-0.01955524,0.102352954
1977-08-01,-0.023715919,0.045351494,0.42383552,0.20512196,-0.19901961,1.1110427,0.042716406,-0.21760407
1977-09-01,0.053118132,0.023438549,0.23799141,0.121492125,-0.29110953,0.813276,-0.07267337,-0.018168354
1977-10-01,0.14146343,0.038833104,0.3037303,0.27307987,-0.09999523,0.28348166,-0.082797706,0.043132447
1977-11-01,0.06906743,-0.058527015,0.53839314,0.2924964,-0.044935443,-0.14382115,-0.4578145,-0.251583
1977-12-01,0.20817313,-0.11580585,0.7942755,0.29679585,-0.17280729,-0.3080297,-0.9812292,0.05242467
