,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8
1972-11-01,-0.0077468874,0.18993911,0.16210823,1.5364412,-0.25822526,-0.051071357,0.007173157,-0.6515888
1972-12-01,-0.290073,0.6340868,-0.3810257,0.87997496,-0.10874138,0.022666167,0.053653717,-0.32507706
1973-01-01,-0.60748273,-0.031855393,-0.363789,0.489299,0.12997016,0.07390442,0.5749901,-0.5695747
1973-02-01,-0.60079306,0.08823967,0.48866194,1.5793918,-0.32333222,0.25388756,-0.32810974,-0.954388
1973-03-01,-0.11690941,0.2717268,0.25356904,0.58422816,-0.25611764,0.2312704,0.021661377,-0.31982842
1973-04-01,-0.084098436,0.41730577,-0.19017677,0.1955925,-0.29083997,0.1165905,-0.055428315,-0.43323365
1973-05-01,0.118183516,0.58868825,0.35327643,0.12232475,-0.12710305,-0.09078789,-0.06594048,-0.09206238
1973-06-01,0.0356781,0.34244576,0.93973464,0.26599273,-0.641568,-0.18444291,-0.29338837,-0.01433487
1973-07-01,-0.20196381,0.25484315,0.86869717,-0.20387459,-0.29179534,-0.16819687,-0.14972058,0.6686451
1973-08-01,-0.105760194,0.33766747,0.7463722,0.22935887,-0.08792114,-0.08664665,-0.11340523,-0.04619064
1973-09-01,-0.042686462,0.31504974,0.53771955,0.022298813,-0.14398651,-0.14749031,-0.50713825,0.1423935
1973-10-01,-0.052561186,0.2064228,0.29975948,0.46222228,-0.3504095,-0.061480712,-0.17998314,-0.95247686
1973-11-01,-0.16405526,0.33989716,-0.05702133,0.52688867,-0.42112845,0.022298813,0.5960144,-0.5469576
1973-12-01,-0.12933311,-0.13092574,-0.04969444,0.82155114,-0.26726684,-0.07390461,0.16915207,0.35932884
1974-01-01,-0.23305932,0.31523818,-0.57426584,0.06245594,-0.2176098,-0.25968513,-0.13477325,-0.19262734
1974-02-01,-0.49866143,0.03714485,0.18177967,0.7524296,-0.22714233,0.20709077,0.34580916,-0.7800419
1974-03-01,0.013806152,0.003944588,-0.5443527,1.0091565,-0.23305932,0.2718479,0.16896057,-0.51674044
1974-04-01,-0.3356186,0.46809083,1.0042255,1.2826481,-0.32279855,-0.120967485,-0.41516763,-0.04010334
1974-05-01,0.032214355,0.52462995,0.4536274,0.0009860992,-0.14726448,-0.032542802,-0.002958679,-0.17783508
1974-06-01,-0.10814743,0.31885415,0.8595909,-0.3277294,-0.29354325,-0.099600986,0.43357563,-0.26823196
1974-07-01,-0.49636078,0.61601293,0.020051574,-0.078891374,-0.13411637,-0.31556702,0.4332474,0.6028641
1974-08-01,-0.26987535,0.29354325,0.105846405,-0.3507393,-0.06541443,-0.042733002,-0.17684917,0.17553405
1974-09-01,-0.3826248,0.25245363,0.31622428,0.30734903,-0.25738448,-0.33496094,-0.529232,-0.3011032
1974-10-01,-0.29485816,0.0374733,0.76656455,0.5870857,-0.44113618,0.12655525,-0.10288811,0.10354538
1974-11-01,-0.12819901,0.41122285,-0.6508564,0.48321152,-0.14364854,0.23338814,-0.099271394,-0.021695327
1974-12-01,-0.08513737,0.35271168,-1.043343,0.6459263,-0.59760475,0.5157547,0.5601311,-1.1386703
1975-01-01,-0.1273098,0.5789108,-0.16404572,0.40821457,-0.34360963,-0.08328972,0.18083039,-0.4493843
1975-02-01,-0.33632582,0.050670244,-0.2080658,0.24638557,-0.33537522,0.22865066,0.55325925,-0.57922745
1975-03-01,-0.25715294,0.22865085,0.4972046,0.48200378,-0.36197776,0.18399754,-0.10862503,-0.37971228
1975-04-01,-0.3898464,0.9478558,0.1352272,1.3145835,-0.16056213,0.21186638,-0.19951554,-0.7717754
1975-05-01,-0.077272795,0.8889511,0.49150428,0.9025688,-0.40156403,-0.20964928,-0.45160103,-0.66093385
1975-06-01,-0.21915054,0.48295325,0.95038927,-0.09754105,-0.51367265,-0.19413146,0.22231694,-0.323658
1975-07-01,-0.17006302,0.06523819,-0.42214888,-0.25683594,-0.06523819,0.02248497,0.062704846,1.2813313
1975-08-01,0.0038002015,0.14567757,0.44400063,-0.17196313,-0.035469055,-0.0946907,-0.15739517,0.121292494
1975-09-01,-0.28977203,0.705587,1.1309032,-0.26570338,-0.27298775,-0.20933266,0.038319398,-0.04845352
1975-10-01,-0.33410874,0.4316494,-0.5535755,-0.03610287,-0.35754395,0.037686538,0.058904648,0.26633722
1975-11-01,-0.24100189,0.54375803,0.20901565,0.56180954,-0.32809144,-0.10102463,-0.038319778,-0.6865858
1975-12-01,-0.06872177,0.32144108,0.68531877,0.6115303,-0.3569107,0.119075775,0.2486023,-0.41708183
1976-01-01,-0.09452744,0.64689237,-0.10495605,0.8773247,-0.53487206,0.04440422,0.5015694,-0.27550966
1976-02-01,-0.3252964,0.17189904,0.103946686,0.65900266,-0.105292514,0.55404663,0.22975922,-0.74983007
1976-03-01,-0.15137902,0.048440933,0.13354988,1.0001099,-0.23682404,0.19073734,-0.50560534,-0.46086463
1976-04-01,-0.27685508,0.53251725,0.85175836,0.9153374,-0.28862914,0.43126145,0.0750164,-0.53016245
1976-05-01,-0.12009392,0.0682888,-0.46254653,0.6011421,-0.28896523,-0.16752625,0.49551353,-0.18232766
1976-06-01,-0.051132966,0.26945457,0.21361236,-0.08174477,-0.48474884,-0.002691269,-0.33505172,-0.07064362
1976-07-01,0.055841826,0.39560318,-0.22437707,-0.6095522,-0.24758911,-0.03532181,0.680196,0.74882066
1976-08-01,0.02388382,-0.008746338,0.1967926,-0.38517532,-0.115384676,-0.1113472,0.32731476,0.6711132
1976-09-01,-0.15676117,0.31755906,0.5789402,0.007064438,-0.35893592,-0.06458855,0.36297303,0.27382737
1976-10-01,-0.13085862,0.24657936,0.7060984,0.83594763,0.13657722,0.09082718,-0.16752586,0.071652606
1976-11-01,-0.6368004,-0.02926674,0.3945942,0.16819878,0.24456063,0.4215061,0.9116379,-0.84032094
1976-12-01,-0.23446903,0.21327591,0.8440216,0.75218487,-0.28862876,0.46422845,0.6600113,-0.41881523
1977-01-01,-0.65175974,0.11428795,-0.3495865,1.2578751,0.090581134,0.71934164,0.17514725,-0.66697466
1977-02-01,-0.4656437,-0.35170975,-0.6025772,0.61213034,0.44618303,0.7186344,0.9341186,-0.92704165
1977-03-01,-0.2229147,0.6429142,-0.45927468,0.2696205,-0.12313385,0.122779846,-0.2582985,-0.5473793
1977-04-01,-0.38603172,0.17762414,0.32481843,0.5505638,-0.32411098,0.038921736,0.23600617,-0.92314947
1977-05-01,-0.14790192,-0.04918289,0.6227455,0.5222572,-0.64468306,0.28306618,-0.18222389,-0.77701646
1977-06-01,-0.1387024,-0.06298218,0.73066443,-0.23919067,-0.26395875,-0.1967308,0.6998814,0.13127212
1977-07-01,-0.11428757,0.15285568,0.586655,0.20486908,-0.3510025,-0.3039421,0.2628975,0.78550875
1977-08-01,-0.14401016,0.21583787,0.26749724,0.5367645,-0.111457825,-0.079258725,-0.5707321,0.6482212
1977-09-01,-0.024060821,0.2257454,-0.6889126,0.12879506,-0.3354332,-0.07784309,0.08916588,0.7448181
1977-10-01,-0.19814682,-0.09907303,-0.10508843,0.8803356,0.030075837,-0.23848304,-0.31349602,0.16134796
1977-11-01,-0.124549106,0.07572021,-0.19531593,0.24237557,-0.41893807,-0.18753128,0.59266967,0.4748436
1977-12-01,-0.35489425,0.39487725,-0.0042461394,0.8824585,-0.34038696,0.59585416,0.31986466,-0.6114227
1978-01-01,-0.24825554,-0.24995613,0.74374694,0.8695755,-0.12956925,0.4308769,0.43937913,-0.67403144
1978-02-01,-0.4383587,0.21934891,-0.43257752,0.25811768,0.3615013,0.5866318,1.258963,-0.71144027
1978-03-01,-0.60261536,0.005781555,-0.39652902,0.19656448,-0.15099373,0.72810346,0.61689836,-0.5696281
1978-04-01,-0.26866037,0.40299052,0.0557724,0.59377325,0.21492843,0.08195839,0.034007646,-0.6202995
1978-05-01,-0.24859619,0.37272376,0.19248314,0.6424042,-0.3461979,-0.14997368,0.06087341,-0.3274935
1978-06-01,-0.09692154,0.46726495,0.9080044,0.04352989,-0.24145432,-0.1863617,0.12106724,0.29824716
1978-07-01,-0.19486389,0.43699837,-0.2645794,-0.12956886,-0.061213683,-0.38156587,-0.14487228,1.2161137
1978-08-01,-0.22240981,0.019044494,-0.20608635,-0.17581959,-0.12344742,-0.036048125,-0.48970985,0.30878943
1978-09-01,0.049311064,0.35980073,0.30878943,-0.32103214,-0.08603897,-0.23533288,-0.5845917,-0.547863
1978-10-01,-0.25709838,0.08467903,0.16663761,0.4349579,-0.29518622,-0.3115097,0.2819233,-0.38564664
1978-11-01,-0.3251129,0.23261222,-0.48086816,1.2341378,0.23635331,-0.07515697,-0.22139016,-0.78625697
1978-12-01,-0.35061875,0.43631822,-0.2730816,1.4409039,-0.15575524,0.2553978,0.001020813,-0.36320114
1979-01-01,-0.4156479,0.6832321,0.5518185,0.5360607,0.0026756288,0.33596724,0.29553223,-0.61484945
1979-02-01,-0.4311081,-0.38740292,-0.75458753,0.3579685,-0.16292915,0.5699547,0.608606,0.11179046
1979-03-01,-0.12695427,0.27739564,0.116845325,0.3279396,-0.2999916,0.37164497,-0.15192834,-0.39899826
1979-04-01,-0.14806327,0.12487278,0.45251504,0.5411148,-0.27947712,0.3020729,0.24796143,-0.78194124
1979-05-01,-0.41267434,0.4534069,0.25628644,0.3552925,-0.211689,0.13349457,0.086221695,-0.19384995
1979-06-01,0.025866698,0.03419151,0.26253015,-0.34161606,-0.36629334,-0.04965172,-0.33537236,0.23844738
1979-07-01,-0.099600986,-0.07968064,0.6044434,-0.6686636,-0.3103981,-0.22268982,0.069571875,0.39899826
1979-08-01,-0.11179123,0.33269653,0.26639518,0.13795452,-0.19147149,-0.0996006,-0.15698281,0.36688805
1979-09-01,-0.11654778,0.3392376,0.57530653,0.15430698,-0.134684,0.10049286,0.19801255,0.043408204
1979-10-01,-0.011297989,0.06422043,-0.015163231,1.0212805,0.15014438,-0.051733017,0.26520577,-0.28482857
1979-11-01,-0.116845325,0.26371917,-0.44329795,0.6350668,0.14538746,0.012487221,-0.3511303,-0.47005653
1979-12-01,-0.5063292,0.33983213,0.14092788,0.76767004,0.17987594,0.14152241,0.5387367,-0.9864944
1980-01-01,-0.27720013,0.28023872,0.27686232,0.6580547,0.15227433,0.824172,0.34135133,-0.80019987
1980-02-01,-0.649614,-0.21811351,-0.4861973,1.0595051,0.48788565,1.0584923,0.634758,-1.0473503
1980-03-01,-0.20460816,0.09859009,0.27787533,0.6300308,-0.4409542,0.024647523,-0.017219543,-0.39132136
1980-04-01,-0.20190696,0.002025795,0.2907055,0.068877414,-0.105680466,0.16341667,0.048957445,-0.71376455
1980-05-01,-0.15024833,0.4507454,0.34135133,0.9122955,-0.40043774,0.08204575,-0.5196236,-0.5371807
1980-06-01,-0.2539032,0.24883842,0.88596,-0.37916642,-0.36903724,-0.13201599,-0.16949387,-0.0952137
1980-07-01,-0.16983108,0.14957313,0.29577008,-0.05064583,-0.16442871,0.021270752,0.26403236,0.24546242
1980-08-01,-0.2728111,0.19616738,0.17455825,-0.07090378,-0.06820221,-0.14788513,0.38051683,-0.59154016
1980-09-01,-0.09150009,0.43217546,0.87380487,-0.116147235,-0.10196648,0.21271172,-0.46762735,-0.1272892
1980-10-01,-0.042204667,0.23229447,0.83227575,0.16983128,-0.5858005,-0.13876876,0.3163658,-0.5712818
1980-11-01,-0.33561096,-0.074617766,-0.48113328,0.7262573,-0.14417115,-0.011817169,0.8619873,-0.7353737
1980-12-01,-0.6016695,0.5007156,0.19954376,0.8329508,-0.1279644,0.8241722,0.38051683,-1.1216304
1981-01-01,-0.5531473,-0.08515625,0.21435814,1.2391675,-0.32043687,0.8504593,0.5920547,-1.0270115
1981-02-01,-0.5770054,0.7451153,0.058728408,1.6561387,-0.40559235,0.19196853,0.33181533,-0.3989853
1981-03-01,-0.50873375,0.28776893,-0.9917744,-0.070841216,0.63756907,0.36962128,0.41917342,-0.22683792
1981-04-01,-0.15452881,0.93818474,1.2343957,0.24115296,-0.40816155,0.20187874,-0.086257175,-0.45110664
1981-05-01,-0.033034515,0.29364166,0.68858945,0.31566468,-0.8214623,0.045514297,-0.31346208,-0.053956605
1981-06-01,-0.2980461,0.6107742,0.5248844,-0.39274558,-0.36521682,-0.06423416,-0.14094773,0.15049133
1981-07-01,-0.2708847,0.08368759,0.1670086,0.08111878,-0.10791321,-0.2870346,0.13727722,0.59829444
1981-08-01,-0.21288987,-0.0022026063,0.24629173,0.12663308,-0.22280045,0.20004348,0.49992484,0.15966758
1981-09-01,-0.25106353,0.14571992,0.17288132,0.20444794,0.1310379,-0.11231766,0.10093918,-0.3571415
1981-10-01,-0.18609543,0.17398262,0.19306907,0.4221096,-0.23564759,-0.012112808,-0.39825135,-0.2161934
1981-11-01,-0.29657784,0.12773399,0.22647095,-0.29951438,-0.11452027,-0.014682007,0.16517334,-0.84238434
1981-12-01,-0.3912773,0.16994515,0.2345459,0.6038006,-0.5737022,0.6045345,0.17471695,-0.009910202
1982-01-01,-0.37529868,-0.10256024,-0.1640316,0.44324073,-0.021029662,0.3384161,0.27726823,-0.9343651
1982-02-01,-0.60274297,-0.07861862,-0.20382614,1.1009842,-0.14591332,0.154002,0.17956086,-0.7434799
1982-03-01,-0.33744544,0.21450272,-0.037530135,0.43288764,-0.21385574,0.2455618,0.0016181946,-0.739274
1982-04-01,-0.07311859,0.6101841,0.066000745,0.9333946,-0.42027014,-0.016176606,-0.0032348633,0.25041485
1982-05-01,-0.20285568,0.9159233,-0.007117653,0.5940075,-0.16241379,0.10288353,-0.34715137,-0.73862725
1982-06-01,-0.30476874,0.25365028,-0.07603035,0.17761993,-0.43353462,0.1355606,-0.26497382,0.18732587
1982-07-01,-0.03914795,0.53738916,1.2300745,-0.30929813,-0.2271206,-0.14558983,0.273386,0.48788834
1982-08-01,-0.19670792,-0.14461938,0.6321842,-0.16759053,-0.05920639,-0.13620758,0.5933603,0.33097497
1982-09-01,0.018441772,0.16564941,-0.32385692,0.3384161,-0.23844413,-0.15173721,0.3610634,0.6121254
1982-10-01,-0.12650184,0.056618117,-0.03235359,0.8515402,-0.24264984,-0.16726685,0.20285568,-0.8026867
1982-11-01,-0.40862292,0.47980022,0.6448023,0.71145,-0.2753273,-0.09058933,-0.7195385,-0.44097632
1982-12-01,-0.5632719,0.7664509,0.18797264,1.2828102,-0.5403007,0.39632875,0.0135883335,-0.32903367
1983-01-01,-0.7161461,-0.4402296,0.46625978,0.30389863,-0.11615829,0.79000586,0.8358833,-1.3070238
1983-02-01,-0.50595474,-0.3354599,0.47504464,1.0398926,0.053035736,0.5785133,1.3600597,-0.15845641
1983-03-01,-0.4587761,-0.14414063,0.7239548,0.54044455,0.09696083,0.81148034,0.22483253,-0.3618149
1983-04-01,-0.16301194,0.12884769,0.706385,0.63382685,-0.09045372,0.13633156,-0.1581314,-0.06409855
1983-05-01,-0.25346527,0.83913726,1.4248087,0.51441497,-0.41322404,0.119737245,-0.7041073,-0.25053748
1983-06-01,-0.15748063,0.061820604,0.87069833,-0.086549185,-0.5505312,-0.048480608,0.14218807,-0.10607147
1983-07-01,-0.072883606,0.17862968,1.5504024,-0.6361044,-0.24728394,-0.2450058,0.30487442,0.95106506
1983-08-01,-0.21539688,0.20368347,0.9406536,-0.28405076,-0.1581314,0.006507492,0.45682374,0.3227703
1983-09-01,-0.2567192,0.48708344,-0.5342625,0.7695072,0.028633118,-0.33480912,0.075811766,0.3611641
1983-10-01,-0.10769844,0.19327164,0.95431936,-0.054987717,0.022776032,-0.46593437,0.10639725,-0.7184235
1983-11-01,-0.2378479,0.1717968,0.09077911,-0.3234207,-0.14414024,0.06605072,0.11095238,-0.109976195
1983-12-01,-0.32537308,0.07971649,-0.22743568,0.5960838,-0.18155822,-0.073209,0.44283295,0.117785074
1984-01-01,-0.3348961,0.2674324,-0.0013839721,1.5073776,-0.29165,0.09098931,0.21657562,-0.52621573
1984-02-01,-0.5224098,0.11174698,0.34319916,0.2068882,-0.4078949,0.18474618,0.43868637,-0.38402328
1984-03-01,-0.043937683,0.08234005,0.89121056,0.9496788,-0.4085869,0.2241867,0.23767929,-0.86526316
1984-04-01,-0.21069412,0.23767929,0.17782708,0.10344429,-0.1269699,-0.034942627,-0.18301621,-0.7230705
