,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8
1978-04-01,-0.0023807525,-0.51147497,1.2110119,-0.20030518,0.3577606,-0.5162361,0.08705978,0.70395815
1978-05-01,-0.015303421,-0.12072716,0.4206749,-0.30742913,0.8246853,-0.20438576,0.13228989,0.7668724
1978-06-01,-0.06835556,-0.08705978,0.3217125,-0.08093796,0.790678,1.02397,0.049991228,1.171223
1978-07-01,0.048290633,-0.23907356,0.1788803,-0.19588394,1.4245803,-0.5087544,0.043869782,0.9845215
1978-08-01,-0.020064544,0.2329525,0.10440292,0.35197908,0.60465586,-0.7284439,0.030266572,0.8767174
1978-09-01,0.22751121,0.21424827,0.3342949,0.33361512,0.6689304,0.15405464,0.033327483,0.5461628
1978-10-01,0.18534164,0.8841988,0.60431594,0.061893843,0.17820016,-0.8573326,0.039108656,1.1957089
1978-11-01,0.037748337,-0.46896553,1.0644398,-0.37476426,0.58527184,-0.46998557,0.060193636,0.70667875
1978-12-01,0.089099884,-0.21016732,0.6954559,-0.7668724,0.76959324,-0.07107582,0.046590425,0.5471832
1979-01-01,-0.063625716,-0.95765495,1.2487274,-0.5018692,0.26401633,-0.85329705,0.051138304,0.46589413
1979-02-01,-0.043110657,-0.8622162,1.0997719,-0.53457415,-0.23309574,-0.786401,0.043110657,0.6234716
1979-03-01,-0.24379921,0.17125396,1.7975724,-0.6309044,-0.031218339,-0.31307372,0.0960331,-0.18998489
1979-04-01,0.10376358,0.60533524,0.69512445,-0.3109928,-0.32347983,-0.06778832,0.13765755,0.9799536
1979-05-01,0.1317112,0.082653806,0.7275322,-0.2895859,0.87559545,-0.24260978,0.107033536,1.0055225
1979-06-01,-0.0017837525,-0.4548933,0.26223296,0.10554695,0.35767096,-0.8761902,0.025866318,0.9026516
1979-07-01,-0.15727997,0.3707529,0.46975937,0.11089859,0.35142747,-0.56519777,0.033893965,1.0959065
1979-08-01,-0.09543838,0.6832321,0.21704063,0.2530159,0.67936707,-0.20128289,0.034785844,0.5892803
1979-09-01,0.112385176,-0.54914284,0.80067176,-0.1780922,0.46797523,-0.1688755,0.06659851,1.0037388
1979-10-01,0.22596017,0.2711521,0.64666253,0.19533654,1.3685452,-0.5779823,0.023785401,0.3216961
1979-11-01,0.2622326,-0.16619949,0.072842404,-0.4712456,0.119521335,-0.06808548,0.056490324,1.6361297
1979-12-01,-0.005351639,-0.5461693,0.50573426,-0.9320854,0.7754,-0.7313973,0.0377594,0.49443626
1980-01-01,-0.08812332,-0.6658203,1.1989495,-0.61112326,0.22790489,-0.07765655,0.06651459,-0.92883986
1980-02-01,0.15396233,-0.60876006,1.4957325,-0.37511483,0.58478755,-0.81978303,0.08744812,-0.5348171
1980-03-01,-0.06651459,-0.58748853,1.234401,-0.52603877,0.40212592,-0.87988245,0.080695346,0.8234968
1980-04-01,0.10703125,-0.49227485,0.46526337,-0.4429802,0.0631382,-0.5206364,0.0958889,2.2307687
1980-05-01,0.10331688,-0.79209673,0.6516396,-0.12323761,0.95855176,-0.56284106,0.084746934,1.5960106
1980-06-01,0.19785538,0.84240454,0.4784317,0.3197426,0.94605905,-0.21811333,0.08879852,0.7586708
