,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1978-11-01,4.686199,1.5624847,3.8640862,4.1935654,3.208294,5.063198,2.4321213
1978-12-01,5.121807,1.8159294,4.4929466,4.9919167,3.5504456,5.0457726,2.6475487
1979-01-01,6.5108337,1.9336357,4.994808,6.2115097,3.8137016,6.3555107,2.8283653
1979-02-01,7.523674,1.9061279,5.5610924,7.1418343,4.1275826,7.2372932,3.0111923
1979-03-01,6.690426,1.8236122,4.719757,6.052952,3.4415703,6.548046,2.6147957
1979-04-01,4.640476,1.7378616,3.5451202,4.389694,2.7426147,4.7294617,2.2394295
1979-05-01,3.9285736,1.9433441,3.2263832,3.499817,3.050026,4.5854645,2.6811295
1979-06-01,3.0225182,1.1926117,2.6083221,2.6212654,2.229721,3.9754944,1.7249184
1979-07-01,2.7280502,1.2201157,2.129406,2.1908913,1.938488,3.7635422,1.5776863
1979-08-01,3.0953293,1.2298241,2.153679,2.4788857,1.8317032,3.9366646,1.5032578
1979-09-01,3.6211624,1.0469933,2.4950676,2.8639603,2.069542,4.5531044,1.5485611
1979-10-01,5.339432,1.9239273,3.3574371,4.172886,2.8898468,6.738964,2.3203278
1979-11-01,5.777897,1.2023201,3.2538872,4.4188156,2.3834267,7.28907,1.8074341
1979-12-01,6.085312,1.420742,3.4512787,4.562813,2.5743446,7.6239853,1.9692307
1980-01-01,5.6041107,1.4386902,3.685997,4.6963882,2.892353,6.7481346,2.2763405
1980-02-01,7.398369,1.5381012,4.468235,6.0962677,3.303028,8.328907,2.3953056
1980-03-01,7.558075,2.2111511,5.028839,6.4466476,3.8489647,7.939419,2.9868736
1980-04-01,5.90234,1.7141037,4.668682,5.3449936,3.5816994,5.659519,2.613678
1980-05-01,3.386139,2.110115,3.154728,3.526291,2.602272,2.7163467,2.1932259
1980-06-01,3.0357628,2.1247787,3.7788887,3.5833282,3.2769508,2.4197502,2.7896843
1980-07-01,2.0693703,1.7189941,2.3757477,2.2893753,2.222561,1.8819618,1.9569244
1980-08-01,2.3464127,1.549511,2.421379,2.5973816,2.3953056,1.9944077,2.1410751
1980-09-01,2.5778275,1.199131,2.5256767,2.5810852,2.2274475,2.4001923,1.7026978
1980-10-01,3.4382896,1.1942444,3.3812485,3.5947342,2.65279,3.153099,1.930851
1980-11-01,3.9385948,1.810257,3.6403656,3.8685188,3.1840591,3.857113,2.5778275
1980-12-01,4.308529,2.0090752,3.7495537,4.145561,3.3193245,4.2205276,2.804348
1981-01-01,5.302166,1.8681068,4.6283646,5.2287827,3.679367,5.0736732,2.7854118
1981-02-01,6.4579697,1.9981956,5.6690865,6.429619,4.3248177,6.5847244,3.1223145
1981-03-01,6.0326767,2.0499,4.975273,5.695774,4.0146027,6.021,3.1323204
1981-04-01,4.361511,2.0348892,3.667694,4.081314,3.174015,4.388195,2.7470512
1981-05-01,3.3975067,1.5211983,2.553585,3.0072327,2.0799217,4.0296135,1.7546959
1981-06-01,2.77874,1.9481621,2.2000046,2.3434372,2.1332893,3.4525452,2.0899277
1981-07-01,2.470192,1.6396141,2.0732498,2.069912,1.9414902,3.3157806,1.646286
1981-08-01,2.5769348,1.0358582,2.0432281,2.1899986,1.7313461,3.3524742,1.3344002
1981-09-01,3.0505981,0.93912506,2.261715,2.556919,1.8464241,4.3648453,1.3894386
1981-10-01,4.2447624,1.2977104,2.646984,3.280758,2.2250214,5.9843063,1.7813797
1981-11-01,5.6307297,1.554554,3.387497,4.4148827,2.7887497,7.1918144,2.266716
1981-12-01,6.424614,1.6779747,4.1196747,5.31551,3.1373253,8.094112,2.4551811
1982-01-01,8.389206,1.8664131,5.3345146,7.2567673,3.9302216,9.71307,2.9892044
1982-02-01,8.260521,2.1028748,5.6851845,7.0894737,4.2648087,8.775265,3.2900085
1982-03-01,6.854622,1.9082375,4.2648087,5.59832,3.4106522,7.843899,2.702877
1982-04-01,5.3489914,2.0449677,3.2127953,4.2648087,2.5500603,6.1725845,2.204216
1982-05-01,4.2229843,1.6186905,2.6819649,3.4106522,2.2363853,4.831028,1.9629288
1982-06-01,2.924858,1.3581009,2.2379951,2.5484505,2.028881,3.354351,1.7248573
1982-07-01,2.4149399,1.3339729,1.8052864,2.1141357,1.5511322,2.7350464,1.4047508
1982-08-01,2.0867882,1.0975113,2.0546188,2.0111847,1.913063,2.0867882,1.5221786
1982-09-01,2.01923,1.1682892,2.0546188,2.0867882,1.785984,1.7795486,1.4449654
1982-10-01,2.9988556,0.7709694,2.9039497,3.1388016,2.215477,2.5227127,1.4546165
1982-11-01,3.1500626,1.588131,3.3125267,3.4653435,2.9505959,2.891079,2.4068947
1982-12-01,3.8883972,2.1157417,3.8707047,4.026737,3.367218,3.5377274,2.820301
1983-01-01,4.7224045,1.6364517,4.1768837,4.6776123,3.3754005,4.234478,2.5707169
1983-02-01,5.531887,1.5964584,4.6248207,5.184738,3.6505623,5.085552,2.6699028
1983-03-01,5.146343,1.914814,4.653614,4.9399757,4.045704,4.803993,3.1882286
1983-04-01,4.41045,2.4203415,4.090496,4.2536736,3.7833405,4.3352623,3.3929977
1983-05-01,3.8297348,2.0763893,3.0618477,3.3818016,2.7802887,3.6281662,2.5627174
1983-06-01,2.9978561,1.4940758,2.5915146,2.7690887,2.3963432,3.1306381,1.9804039
1983-07-01,2.7722893,1.572464,2.1003876,2.2283669,1.9196129,3.1338348,1.6796455
1983-08-01,2.5595207,1.4476814,2.0012016,2.1035843,1.7660332,3.2554169,1.5244713
1983-09-01,2.930664,1.3628922,2.252365,2.500328,1.9132118,3.6505623,1.5804634
1983-10-01,3.6185646,1.257309,2.721096,3.0586472,2.3371506,4.437649,1.8316269
1983-11-01,5.023163,1.6108589,3.64896,4.4792404,2.8730736,6.035816,2.3483505
1983-12-01,7.0036736,1.969204,4.8375893,6.0934067,3.720951,7.7043724,2.858677
1984-01-01,7.7173767,1.9194984,5.324028,6.6963463,3.9254456,9.155354,2.8732262
1984-02-01,7.8536224,1.8456306,5.6178627,7.0607643,4.117504,8.902557,2.935604
1984-03-01,9.38681,2.2609367,6.3073044,8.183571,4.632942,10.575275,3.424778
1984-04-01,6.052864,2.400467,4.1569023,5.128685,3.3607597,7.4448814,2.8387527
1984-05-01,4.9563255,2.2970505,3.426422,3.977974,3.1079636,6.461605,2.7517548
1984-06-01,4.3850746,1.671627,3.1079636,3.5249138,2.8880005,5.5702553,2.4234467
