,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1979-01-01,1011.8602,1014.2862,1007.07776,1016.3449,1012.40735,1019.3272,1016.18884
1979-02-01,1011.3693,1014.00165,1009.4603,1019.6181,1014.5829,1020.94586,1015.24963
1979-03-01,1011.5595,1014.233,1009.1671,1017.9867,1013.14813,1017.99536,1018.64307
1979-04-01,1011.6758,1014.49963,1009.66327,1014.207,1016.3594,1012.6629,1015.55786
1979-05-01,1013.1267,1016.1367,1009.9958,1016.0118,1019.04443,1012.75085,1015.3803
1979-06-01,1014.57135,1017.4501,1010.1525,1021.7873,1021.25116,1014.6401,1022.52344
1979-07-01,1014.5586,1017.461,1011.49475,1017.7999,1022.2227,1008.68365,1016.2177
1979-08-01,1013.8195,1017.37427,1011.13794,1016.47327,1018.6379,1013.68823,1010.9558
1979-09-01,1013.9919,1017.91327,1010.3694,1021.97406,1019.6158,1020.40173,1016.46576
1979-10-01,1013.7067,1017.1817,1010.3879,1021.2645,1015.8117,1020.2629,1017.63794
1979-11-01,1012.5542,1015.622,1008.79065,1018.0746,1014.4458,1014.72687,1020.78796
1979-12-01,1012.276,1015.1386,1008.479,1018.30646,1012.3362,1018.00116,1014.83093
1980-01-01,1011.5865,1014.28986,1008.0176,1019.0148,1008.52264,1016.4462,1015.06476
1980-02-01,1011.4981,1013.8996,1008.4532,1018.2766,1011.21796,1015.7868,1014.2193
1980-03-01,1009.7418,1012.2391,1007.3391,1016.85205,1014.7582,1018.4982,1010.16425
1980-04-01,1011.1325,1013.9024,1008.51117,1018.4322,1018.73755,1010.9787,1016.9398
1980-05-01,1013.08624,1016.19257,1009.68726,1019.0647,1019.5474,1018.8851,1018.206
1980-06-01,1013.40424,1016.6604,1009.8583,1018.128,1019.31323,1009.9869,1013.2257
1980-07-01,1013.84735,1017.2498,1010.2773,1021.07874,1018.84485,1011.3489,1008.24774
1980-08-01,1014.4305,1017.85187,1010.84436,1021.23206,1023.0733,1017.82837,1018.84656
1980-09-01,1014.17456,1017.5006,1010.7319,1020.99554,1017.34796,1015.533,1015.6858
1980-10-01,1013.9093,1017.402,1010.3083,1023.2254,1015.5119,1020.49786,1019.133
1980-11-01,1013.5776,1016.5989,1009.22345,1020.0525,1014.3077,1019.66626,1010.8897
1980-12-01,1012.48706,1014.8707,1008.4096,1018.772,1013.5271,1014.8954,1013.057
1981-01-01,1012.7903,1015.2905,1008.3217,1020.91815,1013.7143,1020.9308,1020.6678
1981-02-01,1010.4345,1012.5806,1007.00037,1019.99084,1008.9794,1021.1604,1016.6958
1981-03-01,1011.7419,1014.40186,1008.5354,1017.72095,1015.6853,1016.3117,1019.2533
1981-04-01,1011.7672,1014.64685,1009.5479,1017.90533,1015.7958,1014.6429,1016.098
1981-05-01,1013.6703,1016.0541,1010.56305,1019.0183,1018.3107,1011.1541,1016.79297
1981-06-01,1014.40594,1017.60443,1010.80194,1019.41174,1013.8947,1019.18536,1012.92346
1981-07-01,1014.74005,1018.10767,1010.4911,1021.5465,1019.93024,1018.34,1012.7763
1981-08-01,1014.72815,1017.47064,1011.3245,1021.5971,1015.447,1013.9805,1007.3332
1981-09-01,1014.3147,1017.8361,1010.824,1020.40356,1019.9636,1016.3862,1010.786
1981-10-01,1013.7629,1017.048,1010.3706,1021.3395,1018.0684,1017.7955,1017.1078
1981-11-01,1013.09924,1016.3469,1009.37213,1022.3846,1011.9682,1022.9271,1017.1371
1981-12-01,1011.9137,1014.89984,1008.57,1020.63257,1010.599,1019.5149,1019.38245
1982-01-01,1012.4333,1014.9332,1009.2033,1019.7419,1010.827,1020.1343,1015.1856
1982-02-01,1011.46704,1014.18445,1008.49835,1020.70935,1013.71326,1019.1506,1016.43195
1982-03-01,1011.21216,1014.1135,1008.80725,1019.519,1014.819,1017.97095,1018.3285
1982-04-01,1012.6436,1015.575,1010.08484,1016.1802,1018.4277,1020.424,1012.5715
1982-05-01,1013.38885,1015.9927,1010.0902,1019.28516,1019.8837,1013.0415,1016.43976
1982-06-01,1013.5583,1016.5744,1010.1371,1021.01587,1019.5719,1008.1282,1014.2367
1982-07-01,1013.0913,1016.2775,1009.92017,1018.46735,1019.9348,1010.6262,1016.1513
