,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11,abs_vo500_cluster12
1974-04-01,5.953577e-05,1.3786652e-05,4.996535e-05,0.00010536917,3.2501313e-05,1.8025821e-06,6.3316926e-05,7.367842e-05,5.8239217e-05,2.1714022e-05,9.371461e-05,-4.119084e-05
1974-05-01,6.48098e-05,1.566043e-05,4.9109232e-05,7.792484e-05,4.1740957e-05,4.193258e-06,6.175814e-05,7.0205475e-05,7.2066374e-05,1.6310765e-05,7.993592e-05,-1.5281075e-05
1974-06-01,5.8445432e-05,8.1976395e-06,6.087685e-05,7.85952e-05,3.9390663e-05,-4.6694913e-07,6.536839e-05,8.2918064e-05,7.532933e-05,2.58654e-05,8.5153406e-05,-4.3306914e-05
1974-07-01,6.8686575e-05,1.168673e-05,5.16049e-05,8.654258e-05,3.6927293e-05,-1.3472963e-06,7.3235e-05,7.79671e-05,6.2220985e-05,2.67619e-05,6.2748884e-05,-4.574605e-05
1974-08-01,7.352446e-05,5.596972e-06,5.481132e-05,7.676988e-05,4.6788842e-05,3.2240641e-06,5.7493693e-05,7.8346704e-05,7.115372e-05,2.897489e-05,9.3706534e-05,-4.8855545e-05
1974-09-01,6.704702e-05,8.940682e-06,4.6880083e-05,7.847405e-05,4.876761e-05,-3.8617873e-07,5.8317506e-05,8.3467276e-05,7.610468e-05,2.9839091e-05,0.00010377,-5.5098768e-05
1974-10-01,5.785584e-05,1.2017874e-05,5.015919e-05,9.429613e-05,4.3081676e-05,-2.7311035e-07,7.170853e-05,7.159465e-05,6.091258e-05,3.0897125e-05,0.000102695805,-6.141468e-05
1974-11-01,5.246066e-05,1.6524624e-05,5.4052118e-05,9.8334436e-05,3.7702648e-05,6.672777e-06,6.139469e-05,8.996895e-05,6.301249e-05,2.7690712e-05,9.348847e-05,-2.717792e-05
1974-12-01,5.3769072e-05,5.1850584e-06,3.049264e-05,0.00010911671,2.2502467e-05,-6.5324857e-06,5.4884942e-05,8.420224e-05,5.342556e-05,1.995332e-05,9.4336516e-05,-3.3243457e-05
1975-01-01,6.711008e-05,1.400548e-05,4.032295e-05,9.936128e-05,3.82158e-05,-5.8141813e-07,5.6221877e-05,8.1813916e-05,4.7960853e-05,2.2517754e-05,9.523255e-05,-3.0732128e-05
1975-02-01,6.9848604e-05,1.0714226e-05,4.203976e-05,9.2535905e-05,3.4530934e-05,-9.148731e-06,4.940488e-05,8.9108275e-05,6.193821e-05,2.1822656e-05,0.00010457871,-5.25817e-05
