,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8
1979-10-01,85.727585,85.28588,76.989,39.719383,50.038704,72.70465,73.744995,60.003696
1979-11-01,85.19366,85.29073,70.4832,42.70451,52.166317,70.65147,75.55549,52.48667
1979-12-01,82.891304,80.65529,68.60152,50.638966,64.906105,61.33689,70.39906,77.49704
1980-01-01,83.42703,83.29503,66.243866,41.197575,77.61891,63.695072,63.4604,69.10881
1980-02-01,81.78107,80.946686,64.363235,43.16295,77.33535,62.409267,65.156876,56.565296
1980-03-01,82.05974,79.729324,66.722984,49.00529,87.62341,68.45206,77.87477,65.49911
1980-04-01,85.15936,82.22108,75.1956,25.627777,78.728714,70.704254,81.89841,63.965595
1980-05-01,85.77374,82.78983,83.38629,27.847378,75.91265,81.21394,81.106384,63.124687
1980-06-01,85.74604,84.59224,86.33272,29.222813,75.9208,89.365524,82.54212,74.92996
1980-07-01,85.675964,83.347176,86.81673,39.10183,70.86722,86.70591,84.280975,81.758255
1980-08-01,85.379364,83.33577,84.800835,57.339386,81.443726,82.97072,84.316826,79.611984
1980-09-01,84.81061,83.9583,79.73258,42.574642,76.89697,78.02306,80.824455,67.82953
1980-10-01,85.335365,84.46675,77.48202,41.785885,71.704865,69.72971,85.19684,73.22045
1980-11-01,85.0958,85.22617,69.22941,45.34018,69.025696,68.45695,77.103935,69.317406
1980-12-01,84.46187,86.15019,68.72095,45.558556,58.28622,58.47037,73.58386,49.187813
1981-01-01,81.617004,82.46593,63.87798,52.823612,70.69773,57.144955,67.31037,51.13577
1981-02-01,81.59032,82.59769,66.33302,35.926838,77.46578,63.35595,68.27938,57.997215
1981-03-01,81.485245,82.447586,67.67896,28.518343,79.94084,68.246025,75.06577,59.53996
1981-04-01,83.34321,82.35752,74.87564,30.798264,83.293175,69.421844,85.49304,55.11354
1981-05-01,85.27455,83.69512,81.68872,23.60325,72.7108,79.04688,78.57489,47.43986
1981-06-01,85.85829,82.8979,84.68414,34.91947,76.65188,88.019806,84.36392,64.862
1981-07-01,84.35558,83.44161,89.20729,57.927166,73.45799,83.89026,85.04607,81.26009
1981-08-01,82.579346,80.91652,85.11111,47.20136,72.15708,79.57892,83.77351,77.0605
1981-09-01,83.41993,84.10207,84.987686,48.066963,73.21115,80.319435,81.81381,64.773605
1981-10-01,84.20214,84.06038,74.92234,39.003983,75.379326,70.83783,77.128876,61.838226
1981-11-01,83.89359,85.19784,68.6413,46.575924,79.688995,65.43907,81.78046,61.73649
1981-12-01,83.78519,81.86051,67.24366,50.01332,59.795135,60.564003,76.311646,53.675873
1982-01-01,81.75334,82.847176,67.86646,46.835884,72.11151,59.35064,68.334564,58.56726
1982-02-01,82.06058,84.56996,67.85038,47.92972,82.919556,63.62303,64.7619,65.10132
1982-03-01,81.23216,82.80374,70.13939,32.49861,83.34744,67.81821,74.13188,65.26861
1982-04-01,81.54422,82.25361,79.118484,25.568846,72.29649,68.965126,75.780685,55.48683
1982-05-01,85.36782,83.23484,83.78337,24.539354,76.9646,82.64932,79.06862,55.19407
1982-06-01,85.755486,82.27452,90.956024,36.444458,81.37693,85.99677,81.13725,65.25896
1982-07-01,84.50562,82.59141,87.26755,37.15706,71.71097,88.03485,83.02573,80.75441
1982-08-01,84.65683,84.10669,85.486855,52.354923,75.52653,86.43431,83.41661,82.298645
1982-09-01,85.06541,84.39302,81.09865,47.801033,78.857895,80.31848,81.26594,69.056816
1982-10-01,82.82465,83.8638,74.24127,44.883068,74.30561,71.92974,81.09865,73.33242
1982-11-01,82.16675,83.51795,66.38818,46.137764,78.64556,69.26111,71.86057,71.49864
