,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7
1979-07-01,0.31098402,0.16850545,-0.5007571,0.032868244,-0.1823369,0.03138099,-0.2021173
1979-08-01,0.46208858,0.19720936,0.43055892,0.020970225,-0.12091343,-0.100389406,0.09786101
1979-09-01,0.0062464713,0.051607586,0.107528165,-0.11898001,-0.16731568,-0.22978017,0.23141614
1979-10-01,-0.47383785,-0.15898703,-0.20524052,0.006990075,0.1374219,-0.1329602,-0.10752819
1979-11-01,0.024390912,-0.13995025,-0.58612525,0.36675587,-0.054730795,0.03435545,0.16672072
1979-12-01,0.14188366,-0.000297451,-0.34593436,0.2923934,0.12924203,-0.13786808,-0.08120384
1980-01-01,0.026544273,0.08178866,-0.46566996,0.20103574,-0.028430665,0.0835403,0.106581286
1980-02-01,-0.101730585,-0.10456016,-0.3697333,0.10617707,0.19254698,0.09122066,-0.49949035
1980-03-01,0.1709882,-0.08542671,0.2242115,-0.10415592,-0.097688295,-0.28012958,-0.3000715
1980-04-01,-0.11668696,0.0723567,-0.025735807,0.15010312,-0.40153256,-0.12396316,-0.34224588
1980-05-01,0.18648359,0.11749542,0.09970932,0.18095914,-0.27366194,-0.16802387,-0.10038314
1980-06-01,0.28942683,0.09526292,0.012531042,0.23957212,-0.17327881,-0.23000535,0.0212893
1980-07-01,0.48615083,0.16061303,-0.21572275,0.11116254,-0.14996837,-0.116687015,-0.21141091
1980-08-01,0.09755355,0.14889042,-0.17880324,-0.13891947,-0.31125513,-0.16775438,-0.033685636
1980-09-01,0.21100672,0.10213478,0.08906479,-0.08421405,-0.1855404,-0.18486667,-0.038132094
1980-10-01,-0.027891684,0.055648636,-0.20332637,0.17260511,-0.083809815,-0.101730585,0.31421942
1980-11-01,-0.33133173,-0.19389442,0.34089845,-0.043117594,0.018459702,-0.23512562,-0.15064211
1980-12-01,-0.05969093,-0.10415592,-0.1615562,-0.09822726,-0.073838875,0.06925762,-0.10280851
1981-01-01,-0.21278143,0.0050729276,-0.4882698,-0.051997565,0.019728089,0.3549644,-0.22645016
1981-02-01,-0.24011879,-0.15091977,0.107095286,-0.11681838,-0.27041548,0.24984197,-0.087085344
1981-03-01,0.018178035,-0.15711999,-0.6806186,0.1578246,-0.14274673,-0.25547856,0.046924688
1981-04-01,-0.026210213,-0.075107574,-0.69372356,0.13288268,-0.21503596,-0.0102867605,-0.4173897
1981-05-01,0.13541909,-0.060593367,-0.34411398,0.26999277,-0.454873,-0.16768861,-0.223209
1981-06-01,-0.038187884,0.01085043,0.11259098,-0.11639567,-0.15486535,-0.104136035,0.21644516
1981-07-01,0.4644552,0.07750316,-0.22771835,0.15472451,-0.070457414,-0.21165399,-0.062707044
1981-08-01,-0.065666296,0.16007924,0.33918196,-0.26914722,0.0071866987,0.09272194,0.011273193
1981-09-01,0.14936972,0.08976273,0.006482077,-0.18699399,-0.11625471,0.14302854,-0.061579704
1981-10-01,0.10779981,0.30212134,-0.04326086,0.2622424,-0.13866019,-0.14232397,0.11836843
1981-11-01,-0.08835354,-0.10188141,0.068625495,0.09680843,0.24011883,-0.2302548,-0.054956816
1981-12-01,-0.2642153,-0.21574059,-0.58324635,0.2932438,-0.090326406,0.30367142,0.44359985
1982-01-01,0.054554842,-0.100194596,0.020491313,0.064268254,-0.40437108,-0.05322423,-0.09247713
1982-02-01,-0.08169913,-0.18668398,-0.25733915,0.04976468,-0.021156598,0.24762568,-0.07544532
1982-03-01,-0.1487617,-0.09447303,-0.022354174,-0.30763602,-0.5446169,-0.27769738,0.18814763
1982-04-01,0.3298571,-0.16379754,0.103387974,-0.21888462,0.20065531,-0.15208825,-0.24549675
1982-05-01,0.38654095,0.059877254,-0.300983,0.08063469,-0.17084977,-0.1945345,0.0023950816
1982-06-01,0.05734911,0.19613127,-0.37230343,0.3588643,-0.29313242,0.030337906,-0.3333167
1982-07-01,-0.017430926,0.14796333,-0.24150494,-0.06626415,-0.16180162,-0.30417648,-0.1285365
1982-08-01,0.42978564,0.05761523,-0.17909952,-0.00412488,-0.2010545,-0.16366449,-0.18721619
1982-09-01,0.27503616,0.13159692,-0.48340902,0.19174027,-0.045506693,-0.30723685,-0.1413103
1982-10-01,-0.3680455,0.0883522,-0.17590603,0.33517957,0.021688867,0.22753373,-0.10431943
1982-11-01,-0.09114649,-0.088219166,-0.073582456,0.2919349,0.14051194,0.14862864,-0.0090481285
1982-12-01,0.034994937,-0.14064503,-0.09606967,0.07784047,0.04470835,-0.09088037,0.010777903
1983-01-01,0.37317324,-0.059155066,0.52662766,-0.18725733,0.14647917,-0.21032913,-0.23286441
1983-02-01,0.12139531,0.026827693,0.16512442,-0.14661336,-0.32528582,0.3192496,-0.36203974
1983-03-01,-0.35707662,-0.21690193,0.11066427,0.1314557,-0.1244805,-0.040509798,0.14446715
1983-04-01,0.091080025,-0.17773348,0.106371805,-0.059825756,-0.028705645,-0.19704941,0.10945694
1983-05-01,-0.28330046,0.04225362,0.036485672,-0.3437969,0.019718384,0.037961196,0.01703558
1983-06-01,-0.05674057,0.17303862,0.032327376,0.2810201,-0.1955739,-0.10570116,-0.37451464
1983-07-01,0.14460126,0.25486308,0.08088551,-0.021864604,-0.23313268,0.19356184,-0.013816262
1983-08-01,0.15922233,0.20214668,-0.19235449,0.20724395,-0.13829677,-0.12501708,0.109591104
1983-09-01,0.35385734,0.11884669,-0.09577487,-0.26304555,-0.070825115,0.04560709,0.10677423
1983-10-01,-0.11026182,0.116163924,-0.2465465,-0.07256891,0.24761963,0.09362869,0.2018784
1983-11-01,0.107981466,-0.023205947,-0.20134184,0.061167143,0.23527889,-0.4759233,-0.05513091
1983-12-01,0.10570111,-0.14097956,-0.36002764,0.0843731,0.14272334,-0.16083205,-0.21824332
1984-01-01,0.29767376,-0.18995936,-0.27445945,0.2666329,-0.09073478,0.09763274,0.13411236
1984-02-01,-0.053326607,-0.08423476,-0.19433692,0.09643886,-0.1751022,0.25177574,-0.29356152
1984-03-01,0.054122545,-0.019897986,-0.48498002,0.02401023,-0.068183735,-0.32247987,-0.10691848
1984-04-01,-0.016581655,0.031306148,0.06738782,-0.081979655,0.024806118,-0.12628584,-0.2521737
1984-05-01,-0.41082692,0.18438794,0.4335106,-0.100683786,-0.19951038,0.24806146,-0.242888
1984-06-01,-0.103336856,0.076010264,-0.32699007,0.1873063,-0.1395512,-0.18584709,-0.23837781
1984-07-01,0.04483676,0.026397968,-0.23904105,0.21184714,0.037806153,-0.32579625,0.0924593
1984-08-01,0.028387737,0.06473474,-0.16395931,0.2615921,-0.268888,-0.13437767,0.12509194
1984-09-01,0.27697986,0.15546955,0.027724504,0.049744964,-0.14618382,-0.42303103,0.16674504
1984-10-01,0.11806133,-0.110102154,-0.35259208,0.32765335,-0.17085728,0.02666328,-0.13000011
1984-11-01,-0.3272554,-0.068846986,-0.34184724,0.26769415,-0.05823474,0.23837776,0.048285723
1984-12-01,-0.091796115,-0.04974494,-0.29435745,0.30430642,0.2446125,-0.35803095,0.070704125
1985-01-01,0.07499361,0.009491158,-0.29957348,0.09584747,-0.19837888,-0.25011244,-0.17832708
1985-02-01,0.04317818,-0.047723223,-0.16241936,-0.21669284,0.015640354,-0.09945679,-0.31935787
1985-03-01,-0.26495075,0.07633042,0.45437318,-0.029141903,-0.6244122,0.23113012,-0.2347394
1985-04-01,-0.26468343,-0.11376035,-0.1993146,0.045718025,-0.1616172,0.17097478,-0.2856709
1985-05-01,0.13768883,0.008956457,-0.71718514,0.07833558,-0.25519222,-0.10346715,-0.28700772
1985-06-01,0.23607627,0.34261793,-0.29275584,0.1906255,-0.24596837,-0.0056144954,-0.6322992
1985-07-01,0.3582583,0.09985783,0.09304018,0.04932735,0.19597264,-0.42790478,-0.5421999
1985-08-01,0.009892225,0.07272109,-0.24997874,-0.057080697,-0.39020747,0.029008199,-0.017110849
1985-09-01,0.27671444,0.007218647,-0.4353908,0.13327742,-0.021254921,-0.11402774,-0.059754275
1985-10-01,0.038098358,-0.14383805,-0.04357915,0.019249702,-0.15640382,0.22484717,0.16322145
1985-11-01,0.04986205,-0.12899974,-0.060155295,0.43552446,0.12498937,-0.34595987,-0.05320401
1985-12-01,-0.083415315,-0.13902561,-0.23834872,-0.08154388,-0.1311386,0.109215304,0.22564927
1986-01-01,-0.17522597,-0.07387485,-0.17043057,0.07659655,-0.0041473387,-0.03084599,-0.0828176
1986-02-01,-0.070634745,-0.29873952,-0.29549938,0.284483,0.04406569,0.0029808998,-0.0692091
1986-03-01,-0.40825576,-0.048083454,-0.2045167,-0.14295432,0.29161125,0.22460547,-0.18533507
1986-04-01,0.13712211,-0.045232147,-0.08061431,-0.105109654,0.10666492,-0.035122942,0.11858859
1986-05-01,0.28837115,0.014256549,-0.2776139,-0.06441368,-0.09746297,-0.002721691,-0.18403912
1986-06-01,0.036159795,0.10173993,-0.05417489,-0.041214395,-0.6062922,-0.025532197,0.07154198
1986-07-01,0.36172754,0.1553964,-0.15811805,-0.08826099,-0.22421665,0.24080601,0.13453
