,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7
1973-06-01,-1.1990379,-0.15195008,0.50013006,-0.8413013,1.4551554,-1.4127877,-1.1630411
1973-07-01,1.4000456,-0.23764153,1.264341,-1.2812248,0.8043491,-1.9208815,-2.064868
1973-08-01,-0.20196342,-0.20705986,0.49853724,-1.2261146,0.94960976,-1.8390133,-1.1362827
1973-09-01,0.49981135,0.05702095,0.068489075,-0.7320377,0.4020155,-1.8651345,-0.5835913
1973-10-01,-0.3590103,0.030262375,-0.9792355,-0.4966259,-0.32301387,-0.7020931,-0.7132427
1973-11-01,-0.7654854,-0.071993254,-0.817091,0.25102082,-1.0585554,-0.2940258,-0.4708229
1973-12-01,0.11786499,-0.22649193,-0.6476204,0.39628106,-0.5918735,-0.79638517,-0.71451724
1974-01-01,0.030570602,-0.04306183,-2.0469117,0.3244423,-1.0568203,-0.4473816,-1.7441647
1974-02-01,0.078891754,-0.5072082,-1.5078179,-0.44639587,-1.1251934,0.49964792,0.6538151
1974-03-01,-0.42108458,-0.31721038,-1.6800648,-0.10387421,0.5686779,-1.2520775,-0.50687945
1974-04-01,0.08809586,0.20643349,-0.35829982,-0.35172576,0.26724547,-1.0061982,-1.3681138
1974-05-01,0.31786785,0.25048065,0.10946198,-0.9480156,0.73270684,-1.6258266,-0.97201174
1974-06-01,0.119652554,0.12129593,0.8684662,-0.68701553,0.9105419,-2.2175145,-1.8286442
1974-07-01,-0.8809574,0.32707137,0.28433895,-0.7432259,1.6843382,-2.279971,-0.35665607
1974-08-01,0.8000935,-0.20774765,0.9979803,-1.484808,1.6580412,-2.5265071,-0.9601778
1974-09-01,-0.333646,0.03451538,0.6873442,-0.8609058,1.3664703,-1.9436947,0.09894352
1974-10-01,-0.2103777,0.032542802,-0.20117398,0.13871804,0.61765635,-1.2172337,-0.77839816
1974-11-01,0.45592824,0.14003296,-0.47630882,0.18276596,0.529232,-0.9042965,0.7162712
1974-12-01,-0.052923203,-0.36060104,-1.1373556,0.20281753,0.3540264,-0.6916172,-0.5338341
1975-01-01,-0.94405556,0.23973504,-0.7268055,0.131427,-0.26887074,-0.08804016,-0.4604683
1975-02-01,-0.48263702,-0.18304749,-0.1868475,0.2296009,-0.43671647,-0.5225399,-0.6324314
1975-03-01,-0.5010048,0.04402008,-0.5225399,-0.53457415,-0.55199224,-0.33854255,-0.19286498
1975-04-01,-0.5529423,0.02216835,-0.38477954,-0.7847599,-0.48295364,-0.5016384,-1.2867149
1975-05-01,-0.27425423,-0.08202286,0.8218128,-1.3601872,0.032619286,-1.3525867,-0.9098528
1975-06-01,-0.09817429,-0.26222,0.8632992,-0.78697664,0.75752467,-2.309943,-1.5102987
1975-07-01,0.54090804,0.078855895,-0.17196313,-0.5386909,-0.23878479,-2.1759827,-1.7335656
1975-08-01,-1.3177509,-0.08677292,-0.81959593,-0.49688798,1.1068344,-1.7050636,-0.9003521
1975-09-01,-0.7812761,0.11115875,-0.069038585,-1.3928063,0.535524,-1.4285923,-1.155605
1975-10-01,-0.30370656,0.29958916,-1.2122921,0.78792685,0.45540124,-1.1005008,-0.57162684
1975-11-01,-0.09785728,-0.17322998,-0.2894554,-0.08202286,-0.2406849,-1.3228176,-1.6892288
1975-12-01,0.26253662,-0.17798042,-1.4197251,-0.5529419,-1.6366583,-0.88990134,-0.41391486
1976-01-01,-1.0875733,-0.14566001,-0.9375399,0.369701,-1.0102017,0.35759085,-0.94157636
1976-02-01,-0.47869378,0.09486427,-1.6930885,-0.15676117,0.26407203,-0.052478027,-1.1437515
1976-03-01,-0.6361278,-0.30914918,-1.5077336,0.6102249,0.10731049,-0.16954422,-0.5072876
1976-04-01,-0.19241944,0.113702394,-0.28930187,0.044068146,0.4595192,-1.3711563,0.2627266
1976-05-01,0.72830045,-0.082753755,0.79019773,-0.87833405,-0.6418465,-1.8690246,-0.118748285
1976-06-01,-0.15911599,-0.12547608,1.4323807,-1.3334796,0.6061884,-2.1526077,-0.7101353
1976-07-01,0.118075565,-0.10361099,1.195893,-1.2746102,0.33000603,-2.22056,0.44000798
1976-08-01,-0.68793297,-0.20318452,0.83964807,-1.7237008,1.725383,-2.070863,0.20385666
1976-09-01,0.64352834,-0.34749833,1.7014984,-1.9712893,1.4246433,-2.587233,-0.48979473
1976-10-01,-0.3064583,0.042049788,1.1350054,-1.4444908,1.321706,-1.9860909,-0.14801483
1976-11-01,-0.54900056,-0.13489532,-0.33538836,-0.4645649,1.3021948,-1.9733078,-1.3257427
1976-12-01,-0.47364768,-0.09587326,-0.01715622,-0.48811302,-0.6983612,-1.1955566,-1.2201138
1977-01-01,-0.8714901,-0.48828888,0.20699196,-0.65954435,-0.26148224,-0.3563095,-0.9401333
1977-02-01,0.6400833,-0.40973815,-1.2564602,-0.07961235,-0.39841574,-1.2709675,-1.2157692
1977-03-01,0.005661392,-0.050952148,-1.2235539,0.43521422,-0.38284722,-0.65529823,-1.1800324
1977-04-01,0.42707616,0.015568542,-0.15851708,-1.1304954,-0.34852523,-1.5108658,-1.876375
1977-05-01,-0.22149925,-0.20522308,1.2309841,-1.7911015,0.5261494,-1.8526684,-0.926334
1977-06-01,-0.4716591,-0.14860992,0.78303146,-1.567125,0.926688,-2.001278,-1.791455
1977-07-01,-0.6018696,-0.36020127,-0.29297352,-0.47024384,1.6088775,-2.1799634,-1.7125504
1977-08-01,0.3205723,-0.18222351,1.0742362,-0.8686592,0.80072343,-2.4368458,-2.2432995
1977-09-01,0.34321785,0.14294891,1.8222386,-2.4110165,1.070698,-2.9704258,-0.9468563
1977-10-01,0.6202688,0.12348785,1.1057274,-2.1990707,-0.048474886,-1.9241425,-1.0285915
1977-11-01,0.07501259,-0.0346756,0.5636555,-0.6995274,-0.79435444,-1.0462834,-1.7143196
1977-12-01,0.10154991,0.23282242,-0.9238575,-0.7087269,-0.579224,-0.9146576,-0.12136459
1978-01-01,0.8175438,-0.032307435,-1.169183,0.6400238,-0.9634365,-0.2084671,-0.22138977
1978-02-01,-0.15337448,-0.06359406,-0.542762,0.314571,-0.015303421,-0.24043389,-0.9743191
1978-03-01,0.01496315,-0.06699524,-0.35742036,-0.049991228,-0.6927357,-0.7434071,-1.0416539
1978-04-01,0.49107057,-0.11596604,-0.16425705,-0.828426,0.26491967,-1.3494232,-1.2946708
1978-05-01,1.070221,-0.19724426,0.69987714,-1.1586406,0.29110527,-1.9690425,-1.4555271
1978-06-01,0.12888908,-0.060193636,0.20472603,-0.85971296,2.659738,-2.4669144,-0.38360634
1978-07-01,-1.0576378,-0.10576401,0.94371223,-1.6680752,1.517421,-2.3251026,-2.0210745
1978-08-01,0.66927034,0.099982455,0.85665244,-0.49447098,0.9481329,-2.0482802,-1.3759491
1978-09-01,0.19996491,0.13296966,0.9304493,-1.0596783,0.8328474,-1.8377731,-1.2769868
1978-10-01,0.87569696,-0.40231055,1.2552223,-1.3317394,-0.28056297,-1.8506962,-1.4238999
1978-11-01,0.302668,-0.019044494,0.48256874,-0.82162476,-0.7015778,-0.997784,-0.9253479
1978-12-01,-0.22853127,-0.106444165,0.2193493,-0.32341272,0.35095882,-1.0559372,-0.8685554
1979-01-01,0.26580048,-0.03300209,-1.0646884,-0.3020729,-1.6230478,-0.07195053,-0.36956367
1979-02-01,-0.8999756,0.05827408,-1.0852034,-0.6835297,-0.57560384,-0.31634444,-0.8640003
1979-03-01,-0.4245674,-0.24052887,0.033596803,0.105249785,0.5536026,-0.5761982,-0.82743037
1979-04-01,0.05857124,0.3160469,0.90384066,-1.4244407,-0.4001873,-0.81851083,0.090681456
1979-05-01,0.38145638,-0.16173974,0.8752983,-1.8516839,0.5321957,-1.4170078,-1.3061092
1979-06-01,0.48403034,0.03835373,0.88273126,-1.3786541,0.050840758,-1.9218506,-0.4430008
1979-07-01,0.4337841,0.034785844,2.2307618,-2.465344,0.7795626,-2.4448292,-0.56222457
1979-08-01,1.0212803,-0.05143585,1.2882702,-2.7002234,0.80007744,-2.7017102,-1.3135418
1979-09-01,0.18701191,0.11089897,0.11298008,-1.6441572,0.14627934,-1.8002481,-0.6930437
1979-10-01,0.045786668,0.29672164,0.6184174,-0.25807038,0.6329857,-1.6848898,-0.4171341
1979-11-01,0.081464574,0.11179085,1.1202866,-1.8053024,-0.26252994,-1.1170161,-0.4079176
1979-12-01,-0.60503787,0.096925355,-0.14568481,-0.9356533,-0.9279234,-0.42872962,-0.7905632
1980-01-01,-0.80627745,-0.053346634,-0.71005094,-0.6286808,-0.29374427,0.07833175,-0.74955446
1980-02-01,-0.9318787,-0.36363524,-0.2880043,-0.08305855,0.064488605,-0.753606,-1.5595455
1980-03-01,-0.9220871,-0.35688248,-0.4706661,-0.7394253,-0.45310897,-0.4490574,-1.2850468
1980-04-01,-0.10095348,-0.24883842,0.5071308,-0.51185834,0.46762735,-0.6648075,-1.2890987
1980-05-01,-0.3244694,-0.06651459,-0.20764694,-0.7880451,0.2859787,-1.7395065,-1.6767057
1980-06-01,1.2100914,-0.04423065,1.1884826,-1.8343827,0.21507493,-2.332397,-0.9842125
1980-07-01,0.22115211,-0.15497513,0.36937484,-1.0703094,1.0324943,-2.6166875,-1.3188105
1980-08-01,0.53076553,-0.27179796,0.29982185,-1.5345608,-0.0074281693,-1.9525554,-0.436565
1980-09-01,0.6344204,-0.2859787,1.5646102,-1.9133894,-0.24917641,-1.9927346,-0.6769625
1980-10-01,-0.08069515,0.00405159,-0.7772406,-0.8397034,-0.2542408,-1.6145805,-0.66008073
1980-11-01,0.5982931,-0.18063584,0.042204283,-0.74786603,-0.9082438,-1.0638946,0.1624035
1980-12-01,0.10736885,-0.07664375,0.028699111,-0.27112275,-0.12290001,-1.1118393,-0.87009084
1981-01-01,0.7862255,-0.20371398,-1.3448784,0.38356894,-1.052338,-0.68858945,-0.64491045
1981-02-01,-0.30208358,0.10020523,-1.3474476,0.10938187,-1.0839046,0.27015036,-0.23491326
1981-03-01,0.054323576,-0.27859268,-0.6735401,0.11084976,-0.390176,-0.06643639,-0.7296993
1981-04-01,0.2892372,0.03927498,0.060930632,-0.69482917,-0.043679047,-1.0369221,-1.3514855
1981-05-01,0.6258236,0.22610398,1.8704964,-1.2633927,0.67170525,-1.6719215,-1.8906845
1981-06-01,0.608205,0.0466156,0.61664736,-0.8823929,1.1738322,-2.4049244,-0.25546837
1981-07-01,-0.4037571,0.042945098,0.35750884,-1.0974853,1.0200373,-2.2063491,-1.475549
1981-08-01,0.17178002,-0.18426056,0.8555983,-1.3228554,1.8594853,-2.2731528,-0.051754378
1981-09-01,0.677211,-0.16150284,0.9532337,-2.1204593,-0.6056358,-2.1512916,0.0036705018
1981-10-01,0.9066185,0.08992767,-0.15159264,-0.58251154,-0.40632668,-2.1013725,-0.31052628
1981-11-01,0.28556633,-0.19490471,-0.98333204,-0.6981327,1.1778698,-1.594841,-0.30722237
1981-12-01,-0.4452339,-0.1376442,-0.29878005,-0.18058929,-1.0145317,-0.02385826,-0.06276588
1982-01-01,0.12132492,-0.30444488,-1.0068362,-0.15076676,-1.4914892,-0.53674203,-0.9663946
1982-02-01,0.02976494,0.068265535,-1.781699,0.041088868,-0.92239416,-0.09091301,-0.18991432
1982-03-01,-0.20382614,-0.12585449,0.8188633,0.35297507,-0.2753269,-0.7861866,-0.6541847
1982-04-01,0.29506263,0.21838531,0.6208609,-0.7683918,0.42835826,-0.9715713,-0.8657757
1982-05-01,0.4070053,-0.033000566,0.45715293,-0.93792343,-0.31026858,-1.8826414,-1.5490783
1982-06-01,1.6674919,-0.106442645,1.5345196,-1.3044872,1.7105217,-2.5504146,-1.9674072
1982-07-01,0.44874114,-0.069560245,2.6617103,-2.2841465,1.5235192,-2.2980585,-0.54677165
1982-08-01,1.0162185,-0.17373733,0.8068926,-2.5067375,-0.9780418,-2.089703,-0.47721213
1982-09-01,-0.0970604,-0.19541435,1.4161062,-2.1294978,0.72406787,-1.8033758,0.052412413
1982-10-01,0.56553686,0.40797576,-0.09867744,-1.386988,-0.05953026,-1.9606133,-0.058235932
1982-11-01,-0.25397378,0.079912566,0.11841335,-0.85412824,-1.4238708,-0.09997177,-0.12520733
1982-12-01,0.03526535,0.11323662,-0.9861301,-0.6668026,-1.0427487,-0.62959635,-0.44000548
1983-01-01,-0.7906567,0.072883606,0.10639725,-0.696624,-1.3174355,0.37840882,-0.882737
1983-02-01,0.21734925,-0.24175262,-0.2254837,-0.4587761,-0.7350178,-0.3185402,-0.6162567
1983-03-01,-0.02537918,-0.36279067,-0.17570153,-1.0711281,-0.95724756,-0.10119095,0.6621342
1983-04-01,-0.86777,0.02798233,-0.5436985,-0.83100283,0.5072567,-0.73762095,-0.30975494
1983-05-01,-0.6295969,0.0061820983,-0.9588745,-0.5186447,-0.4102955,-1.349973,-0.03709221
1983-06-01,0.7304627,-0.23589477,1.068525,-1.2783909,0.34749833,-2.2213218,-0.6380564
1983-07-01,0.7620239,-0.1587822,0.15715523,-0.17244796,0.9975937,-2.6979935,-0.5420717
1983-08-01,1.3460684,-0.11225357,-0.029934693,-0.8957523,0.5430477,-2.3908412,0.014641762
1983-09-01,-0.30324784,-0.052710723,1.1547492,-1.378931,0.06930466,-1.972086,-0.83653414
1983-10-01,0.18188342,0.31561202,-0.44413415,-1.350949,0.36474323,-1.6714417,0.70638484
1983-11-01,-0.07581196,-0.030585099,-0.15585366,-0.4893612,-0.0003253937,-1.0174415,-0.7246059
1983-12-01,-0.053686522,0.11322975,0.6419611,-0.01073761,-0.62439096,-0.98230135,-1.0281788
1984-01-01,-0.19131966,-0.4200035,-0.12662391,-0.67013776,-0.43661004,-0.89813006,-0.53209686
1984-02-01,0.12973747,-0.12939148,-0.28507653,-0.5161827,0.2068882,-1.1392689,-1.0078014
1984-03-01,-0.5704994,-0.60025215,-0.292342,-0.31033248,0.14980355,-0.043245696,-1.6032104
1984-04-01,0.13700256,-0.33212814,0.7178814,-1.0520852,-0.29337996,-1.2617413,-0.7054268
1984-05-01,0.15118751,-0.19512482,0.38713685,-1.2835373,0.5099552,-1.626736,-0.3656868
1984-06-01,-0.11762848,-0.106557466,0.12939148,-0.7863827,-0.21173172,-1.2101921,-0.89086455
1984-07-01,-1.4250376,-0.020758057,-0.5248318,-0.53071326,1.505648,-1.468283,-1.3838673
1984-08-01,1.3599956,-0.21034852,1.6395371,-1.5789928,1.0233701,-2.138075,-0.6220484
1984-09-01,0.6493801,-0.11382294,1.4357624,-1.8644154,0.7881123,-2.3975506,-0.23283577
1984-10-01,0.32555467,0.08199425,0.740369,-0.9908489,-0.70957816,-1.6471485,-1.4859276
1984-11-01,-0.21034774,-0.22107276,-1.0029577,-0.12247238,-0.06019821,-0.900552,-0.2971855
1984-12-01,-0.33697206,0.10033035,-1.8761784,-0.37260628,0.12489414,-0.9233856,-1.9688976
1985-01-01,-0.4168438,-0.5536804,-1.1066582,-0.119600676,-0.6915733,-0.7271015,-1.4693295
1985-02-01,-0.98318785,-0.18362197,-1.34797,-0.17166214,-0.007738876,-0.2785988,-1.1210804
1985-03-01,-0.54136884,0.021809768,-0.6764473,0.18291894,-0.39186782,0.30392647,-0.3943306
1985-04-01,-1.4000313,-0.17447624,-1.0007763,-0.091459274,0.7985104,-0.66307986,-1.0007763
1985-05-01,0.9694689,-0.010552978,0.1734211,-0.52976036,0.28598633,-2.3072376,-1.9231083
1985-06-01,0.4509651,0.050302126,1.046154,-1.673706,0.34719354,-1.9294403,-0.2768402
1985-07-01,-0.5980034,-0.13507767,1.3374169,-1.8907459,0.878713,-1.7918994,-1.3198286
1985-08-01,-0.8671047,0.03658371,0.19769287,0.06789093,1.61285,-2.1865819,-0.74011725
1985-09-01,0.006332016,0.07387085,0.57162094,-0.62473756,1.2361081,-2.377591,-1.6170715
1985-10-01,1.0693703,0.19347191,0.6293106,-1.3849052,0.30322304,-1.6093323,-0.04256363
1985-11-01,-0.24201545,-0.10236435,-0.7457455,-0.06859436,0.48227197,-1.1147484,-1.2223892
1985-12-01,-0.31483117,-0.30568543,-0.13331985,0.5540325,0.4861416,-1.1717346,-0.19523048
1986-01-01,-0.49588585,-0.0049957274,-0.7856245,0.12921639,-0.30039558,0.3846531,-1.1313126
1986-02-01,-0.50221366,-0.2590992,-0.6997021,0.4419346,-0.7469927,-0.17151184,-0.8748776
1986-03-01,0.27242088,-0.65041316,-1.4373696,-0.71102524,-0.12988281,-1.2505386,-0.023645401
1986-04-01,-0.12022515,0.36733514,-0.11156578,0.04162941,-0.6840496,-0.7030323,-1.2092422
