,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5
1988-10-01,-6.1780396,1.6373901,-12.222992,-2.4144897,-8.822662
1988-11-01,-5.168579,1.731781,-10.551392,-1.7884521,-7.2289124
1988-12-01,-3.3744812,2.3442078,-9.052185,-1.0515747,-5.3493347
1989-01-01,-1.1281738,2.3952332,-7.0715027,-0.5878601,-4.1632996
1989-02-01,-0.21859741,2.8666382,-6.4148254,0.31246948,-4.739929
1989-03-01,-1.3726501,2.4620056,-7.367035,0.15441895,-4.5624084
1989-04-01,-2.3219604,2.31073,-8.597473,-0.40100098,-5.2890015
1989-05-01,-3.5611267,2.2766724,-10.053528,-0.98895264,-6.366211
1989-06-01,-4.66922,1.82901,-10.930603,-1.388977,-7.591034
1989-07-01,-5.532318,1.6905518,-11.59964,-1.9811707,-8.42688
1989-08-01,-5.791504,1.5072327,-12.61264,-2.4762268,-8.63501
1989-09-01,-5.7739563,1.185791,-12.836334,-2.3804016,-8.969574
1989-10-01,-5.658966,1.382019,-12.476685,-2.0047302,-8.882782
1989-11-01,-4.9638367,2.1982117,-11.615265,-1.1160583,-7.2889404
1989-12-01,-3.5485535,2.6510925,-9.868774,-0.30429077,-6.5924377
1990-01-01,-1.8937378,2.4805908,-7.737549,0.42681885,-5.315399
1990-02-01,-1.7640381,2.6763916,-7.5121765,0.57476807,-4.20047
1990-03-01,-1.7185364,2.7416077,-7.7117615,0.46984863,-4.3872375
1990-04-01,-2.6878662,2.8950806,-9.408386,-0.057128906,-5.5725403
1990-05-01,-3.8597717,2.5032654,-10.498474,-0.78970337,-7.0629883
1990-06-01,-4.5639343,2.1314697,-11.35498,-1.5170288,-7.699585
1990-07-01,-5.3617554,1.7458496,-11.997498,-1.8528137,-8.822388
1990-08-01,-5.9384766,1.611969,-12.404572,-1.9901733,-9.248199
1990-09-01,-5.985901,2.0822754,-12.650726,-1.8882141,-9.0885315
1990-10-01,-5.794647,2.2785034,-12.518127,-1.9380493,-9.37854
1990-11-01,-5.892639,2.2791138,-12.21228,-1.833374,-8.165344
1990-12-01,-4.347412,2.686737,-10.680359,-1.0036621,-6.231079
1991-01-01,-2.7817078,2.9967957,-8.719849,-0.4204712,-4.8627625
1991-02-01,-2.2850952,2.940155,-8.108398,0.02230835,-4.4123535
1991-03-01,-2.308899,2.9902039,-8.674011,-0.19165039,-5.491211
1991-04-01,-2.7452087,3.2372742,-9.39624,-0.36203003,-6.4236145
1991-05-01,-4.1861877,3.06958,-10.429321,-0.8346863,-8.14624
1991-06-01,-5.2606506,3.1283264,-12.005585,-0.81695557,-8.887604
1991-07-01,-5.423218,2.6383972,-12.1362,-1.3326111,-9.101135
1991-08-01,-5.6146545,2.1548157,-12.665527,-1.6755981,-9.556122
1991-09-01,-6.673645,2.0880127,-12.741882,-2.24469,-9.608154
1991-10-01,-6.2709656,2.5121155,-13.321838,-2.1970215,-9.449005
