,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6
1983-10-01,-0.09376279,0.03702222,-0.076727204,0.35533276,-0.9126781,-0.31348163
1983-11-01,-0.122736715,-0.004694843,0.064654745,0.1180418,-0.47431365,0.32528576
1983-12-01,-0.057142995,0.018511105,0.19704942,0.09953074,-0.23460814,-0.29818982
1984-01-01,-0.34741873,0.048551083,-0.025336767,0.18332672,0.25190842,-0.6567658
1984-02-01,-0.2732656,-0.20839815,0.1546736,-0.41759223,-0.47874528,0.19247976
1984-03-01,-0.14804097,-0.087020494,-0.050938822,0.02188773,-0.23002061,0.3856229
1984-04-01,-0.048551083,0.0076938868,-0.041122496,0.3092146,-0.30324516,0.00703063
1984-05-01,-0.14008178,0.0122040985,0.0022551059,0.1911532,0.728266,-0.465878
1984-06-01,0.07189802,-0.13623483,0.059959244,0.4869698,-0.4771536,-0.37235746
1984-07-01,0.022418391,-0.15944913,0.090336815,0.17112255,0.023877572,0.07667351
1984-08-01,0.06725516,-0.21237776,0.11766338,0.31664315,-0.58818424,-0.02997961
1984-09-01,0.0047755004,-0.18505119,0.085163355,0.92804164,-0.54533726,-0.13464303
1984-10-01,0.10917354,-0.08582661,0.05452045,-0.16714302,-0.47317392,-0.45592898
1984-11-01,0.010479641,0.2369186,0.0039795875,0.35007173,0.39955142,-0.6132557
1984-12-01,0.07322459,-0.05186739,-0.079989865,0.25005126,-0.20057163,-0.6473476
1985-01-01,0.21228142,-0.11616659,-0.108814314,0.26909485,0.4133339,-0.50450265
1985-02-01,0.19797786,-0.11376039,0.027003074,0.51466215,-0.4242955,0.15827532
1985-03-01,0.019249726,-0.2859383,-0.058952212,-0.057481766,-0.010293245,-0.5776247
1985-04-01,0.07873659,-0.11028476,0.010560596,0.5929977,0.1475811,-0.5840413
1985-05-01,0.07619677,-0.13501525,-0.07673144,0.55235946,-0.042509746,0.01697712
1985-06-01,0.0077533484,-0.09691689,0.053471398,0.13755517,-0.4507638,0.08528688
1985-07-01,-0.00080206397,-0.11349304,0.1112205,0.21963377,-0.13448055,-0.04758959
