,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6
1992-03-01,0.46177906,-9.183484,-2.8033252,-6.199324,2.415615,-18.94532
1992-04-01,0.7880377,-8.943342,-2.743219,-6.0604935,2.2099266,-17.630182
1992-05-01,1.285062,-7.669423,-1.7704922,-4.697736,1.6296729,-14.358842
1992-06-01,1.8746854,-5.915162,0.08445135,-2.5776734,0.43941697,-8.91973
1992-07-01,2.2517438,-3.8714907,1.6294165,-0.38804626,-0.2669424,-4.7894545
1992-08-01,2.4753027,-2.143707,2.1925452,0.98433244,-0.4834496,-2.5530653
1992-09-01,2.513412,-2.264063,2.3443058,0.7373836,-0.35612252,-3.3722363
1992-10-01,2.584507,-3.9581718,1.5789323,-0.7842195,0.11996106,-7.810653
1992-11-01,2.1756017,-5.676983,0.35562482,-2.5594285,0.4868035,-11.551401
1992-12-01,1.479151,-6.851505,-0.8511212,-3.8101137,0.8262594,-14.44
1993-01-01,0.7687003,-8.143269,-1.9140021,-5.040529,1.0957729,-16.322886
1993-02-01,0.46149594,-8.697848,-2.6767805,-5.8634143,1.6737331,-18.272202
1993-03-01,0.4140118,-9.151422,-3.1266296,-6.324152,1.7772177,-18.898401
1993-04-01,0.8316009,-8.966452,-2.603692,-5.879527,2.2892253,-17.37323
1993-05-01,1.4322145,-8.065608,-1.7625016,-4.761506,1.7917929,-12.583126
1993-06-01,1.9901673,-6.061461,-0.012108117,-2.6650357,1.0494857,-7.9242325
1993-07-01,2.3137848,-3.8541002,1.3674142,-0.764355,0.12664506,-2.7361646
1993-08-01,2.6390235,-2.0231447,2.1697176,0.58081114,-0.036278512,-2.1192937
1993-09-01,2.64738,-2.53814,2.3723457,0.72637844,0.28154427,-2.5335402
1993-10-01,2.5946677,-4.319486,1.6492509,-0.546545,0.684064,-6.8836117
1993-11-01,2.059303,-6.296259,0.47959867,-2.2724814,0.84854364,-10.192641
1993-12-01,1.4399434,-7.6208563,-0.877208,-3.9101732,0.88800114,-12.881271
1994-01-01,0.67844576,-8.656662,-2.145404,-5.222866,1.3860016,-16.151474
1994-02-01,0.28158167,-9.411817,-2.840717,-6.014987,1.7242799,-17.980196
1994-03-01,0.29366517,-9.483403,-3.049415,-6.327524,1.607923,-18.857645
1994-04-01,0.5526439,-8.93936,-2.570881,-5.7615423,1.5465657,-16.05741
1994-05-01,1.2228096,-8.083581,-1.4707824,-4.424833,1.1982095,-12.979785
1994-06-01,1.729832,-5.895508,0.0042868517,-2.2698987,0.30168435,-6.441232
1994-07-01,2.13948,-3.3298695,1.2320054,0.015226595,-0.43009448,-1.2871778
1994-08-01,2.506227,-2.0645866,1.8341912,1.0498567,-0.2728597,-2.0463486
