,zgu50_cluster1,zgu50_cluster2,zgu50_cluster3,zgu50_cluster4,zgu50_cluster5,zgu50_cluster6
1984-01-01,0.055109918,0.33956873,-0.03518412,-0.016877534,-0.3025762,0.15132447
1984-02-01,0.016535137,0.18696511,-0.0041579893,0.12569325,0.044118516,0.118368626
1984-03-01,-0.011515695,0.05905524,-0.029063119,0.13017574,-0.06685107,0.060496174
1984-04-01,0.018107945,0.018620797,-0.0067749317,-0.00320092,-0.02932465,0.094493814
1984-05-01,-0.0033225305,0.05092343,0.0037751924,0.05113948,-0.0032453171,0.00034141145
1984-06-01,-0.007381041,0.021556454,-7.923515e-05,-0.0006608451,-0.0071315295,0.031095726
1984-07-01,-0.027728766,0.039120644,-0.011504846,-0.004663362,0.008776345,-0.023452807
1984-08-01,-0.01166748,0.034936998,-0.0013334756,-0.0035223165,-0.0002030604,0.02537524
1984-09-01,0.004200512,-0.027079556,-0.004956437,0.034136374,-0.03248825,0.0558838
1984-10-01,-0.0028217451,-0.106474526,0.0066261506,-0.0050051585,-0.008329962,0.023770995
1984-11-01,0.0037682494,-0.08366654,-0.0095851,0.06524412,0.052904278,0.11054184
1984-12-01,-0.012794979,0.1251796,-0.00017870298,0.10928884,-0.13347717,0.12436642
1985-01-01,0.013063448,0.21828035,-0.07796082,0.032195278,-0.33719152,0.29866776
1985-02-01,-0.0016502055,0.029098857,-0.03534461,0.040400356,-0.09553992,0.039607834
1985-03-01,-0.0042346516,0.07220751,0.047615215,0.09007693,-0.042857267,0.23078704
1985-04-01,-0.00484319,0.101476915,0.014827372,0.026210567,-0.057668403,0.011031814
1985-05-01,-0.0005601723,0.07507835,0.007519442,-0.0047038817,-0.03846659,-0.015656354
1985-06-01,-0.0019114548,0.016789557,1.9484803e-05,0.012628581,-0.007891236,0.012008509
1985-07-01,-0.00874711,0.039464805,-0.008834543,0.008957623,-0.009122464,-0.015800353
1985-08-01,-0.00920103,0.02528123,0.0065576746,-0.009170277,-0.016285013,-0.003949025
1985-09-01,-0.006391835,-0.023238331,0.006125194,0.0034913747,-0.033465486,0.035837714
1985-10-01,-0.03569392,-0.05613673,0.0403893,-0.006381046,-0.004708877,0.09329841
1985-11-01,-0.049535017,-0.19964889,0.024418263,0.031244488,0.057826117,0.040246274
1985-12-01,0.061561286,0.2856847,-0.08990487,-0.0518235,-0.3123998,0.04920055
1986-01-01,0.08608519,0.36436328,-0.020072035,-0.039390165,-0.1928537,0.13707136
1986-02-01,0.04042758,0.21097754,-0.018568162,0.031814963,-0.06715256,0.15100034
1986-03-01,0.09202187,0.19581151,-0.05485907,-0.012581181,-0.19485798,0.21439792
1986-04-01,0.025459886,0.049707226,-0.005573199,0.062726356,-0.0007558428,-0.021912934
1986-05-01,0.010603105,0.0595906,-0.001780796,0.00033800787,-0.0119005,-0.0078921355
1986-06-01,0.0225283,0.05447469,-0.012547696,0.024488915,-0.012643473,0.008479038
1986-07-01,0.0042065303,0.004941019,0.013111407,-0.004453028,-0.039819803,0.028944533
1986-08-01,-0.011685581,0.008828304,-0.012420869,0.0003307316,0.0016737799,-0.01874981
1986-09-01,0.002255837,0.01000258,0.0059818733,-0.012434987,-0.057115994,0.026369222
1986-10-01,0.00060474133,0.025701668,-0.007351874,0.011949978,-0.112339936,0.1150684
1986-11-01,0.0033413945,-0.032124497,-0.026607022,0.04572574,-0.2277798,0.23323885
1986-12-01,0.04785426,0.27624533,-0.02225,-0.05780968,-0.1646492,0.13459527
1987-01-01,0.0285692,0.23302494,-0.048475027,0.11364774,-0.030016605,0.27761933
1987-02-01,0.022814484,0.13584796,0.0048429435,-0.015835768,-0.097894825,0.16574357
1987-03-01,0.043145996,0.031870957,-0.024345495,-0.03184565,-0.087283075,0.096237496
1987-04-01,-0.0056347596,0.07193847,-0.007604377,0.053553663,-0.033293184,0.037776764
1987-05-01,-0.023931144,0.0901673,0.0021625066,-0.0015129,-0.0022533068,0.038911674
1987-06-01,-0.0054871286,0.047624577,-0.0022504504,-0.0058320416,0.0026869716,-0.005494695
1987-07-01,-0.018814588,0.01810321,-0.011862382,-0.009370252,-0.00867561,0.010190298
1987-08-01,-0.0074912794,-0.0065644,0.0016433126,-0.008496268,-0.030151645,0.014142793
