,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1982-08-01,2.0169163,0.08271846,0.46540186,5.216062,1.3687788,2.1941538,-1.0934057
1982-09-01,1.9054089,-1.0401536,0.8995902,5.85359,1.4551291,2.3374996,-0.2522468
1982-10-01,1.9672942,-5.812992,1.5709988,3.738272,1.9198499,2.5816586,0.92251235
1982-11-01,1.7989062,-10.627099,1.2881255,-1.413323,-0.07542875,1.2235637,0.7161376
1982-12-01,1.3738234,-14.387776,0.21344721,-5.800398,-2.2007556,-0.32314602,-0.36587578
1983-01-01,1.0683951,-16.672081,-0.5604765,-7.904427,-3.5799475,-1.242391,-1.2890785
1983-02-01,1.0192454,-17.871693,-0.4103414,-9.834888,-4.082655,-0.7077449,-1.1884567
1983-03-01,1.4566883,-17.826643,0.18290149,-9.397,-3.4092858,0.14526154,-0.2684094
1983-04-01,1.9202152,-14.937773,0.90883386,-6.277776,-2.5289667,1.2431599,0.6787096
1983-05-01,2.3402858,-9.433056,2.099655,-1.3366015,0.69213855,2.739038,2.0489867
1983-06-01,2.2071235,-4.48811,1.940049,2.0263135,2.1839018,2.8159347,1.1363552
1983-07-01,2.3721342,-0.10586119,1.2893776,4.733431,2.1789248,2.6544118,-0.031150911
1983-08-01,2.3527625,0.017671704,1.0286658,5.628333,1.3249508,2.3457835,-0.3768082
1983-09-01,2.1815352,-2.2087858,0.67752093,4.8540077,1.6932908,2.5203185,-0.6849836
1983-10-01,1.9737033,-5.729755,1.1550317,2.3364224,1.3346714,2.3801382,0.36028415
1983-11-01,1.666879,-9.279342,1.0886507,0.101524085,-0.25623342,1.3569906,0.60820496
1983-12-01,1.3293506,-13.22012,0.1662808,-2.823805,-1.5878626,-0.21798334,-0.5105701
1984-01-01,1.1233011,-16.158976,-0.5688044,-6.2246847,-3.4525769,-0.7781092,-1.3017461
1984-02-01,1.1080472,-17.661003,-0.89677083,-7.4849434,-4.1503253,-0.5693069,-1.8557051
1984-03-01,1.6945807,-18.141562,0.37386394,-6.492923,-2.8254936,0.22567244,-0.8428229
1984-04-01,2.056492,-15.528174,1.654078,-4.447775,-0.24734293,1.4688606,1.0981097
1984-05-01,2.026498,-11.133423,2.3457956,-1.5705223,1.5631297,2.0358458,1.9273765
1984-06-01,1.9342241,-5.058471,0.990356,1.6799984,1.8753576,2.7636983,-0.11681856
1984-07-01,1.7924411,-0.9679373,0.1530549,5.2641897,1.2931201,2.2681427,-1.268025
1984-08-01,1.6556566,-0.29456103,-0.3571802,5.524399,0.89433646,1.9732474,-1.98942
1984-09-01,1.6672938,-1.5257269,0.066543594,5.062515,0.18403864,2.287807,-1.4753699
1984-10-01,1.6465538,-4.202092,0.99605954,3.2187967,0.5499199,2.3212206,0.3839683
1984-11-01,1.7712089,-8.973701,0.9415401,0.3022469,0.10811776,1.4163702,0.5950322
1984-12-01,1.6018577,-13.653929,0.3531639,-3.1620731,-1.0033275,0.21513587,0.05715277
1985-01-01,1.5806273,-15.661472,-0.12868786,-5.4166613,-2.896518,-0.22535819,-0.86043704
1985-02-01,1.6213357,-17.320982,0.13598442,-6.8799067,-2.6110785,-0.12073441,-0.87822056
1985-03-01,2.1061177,-18.254238,0.88583636,-7.1410923,-1.7276824,0.7434095,0.07809599
1985-04-01,2.4154167,-15.650029,2.0657723,-4.1889167,-0.4605111,1.7494444,1.7242717
1985-05-01,2.2953622,-9.599614,2.3370297,-0.05788201,1.2546476,2.6180415,1.8020936
1985-06-01,1.6950186,-3.526007,0.8232122,3.1579704,2.1611187,2.5841355,-0.46319765
1985-07-01,1.8599678,-2.541802,0.4591253,4.4737916,1.2498435,2.1741047,-1.2424848
1985-08-01,1.9013656,0.540349,0.2881317,6.6478467,1.0103124,1.9828482,-1.2215573
