,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1998-09-01,1477.743751415308,1360.9574801184137,1677.5165495325307,1538.697861180161,1373.1102195945946
1998-10-01,1476.171830771626,1359.5600487405409,1677.5698802510246,1542.169004498106,1369.9011725348396
1998-11-01,1472.7539062500002,1357.9139059434558,1672.7255399109888,1539.0811804569128,1366.9754028320312
1998-12-01,1471.9908341117527,1357.3087273157232,1673.6848924980789,1542.4904563210227,1365.4541840424408
1999-01-01,1468.9863122027855,1355.490728130255,1672.9798363857583,1541.9135816169508,1362.5381882126267
1999-02-01,1469.7442096212637,1357.0993466227578,1672.6077220478996,1541.6695334694602,1363.7837590398015
1999-03-01,1471.4258166326995,1355.1249824831839,1672.3524249967982,1545.2726421934185,1363.792336953653
1999-04-01,1476.8460923346922,1358.3482408737389,1672.4513319672133,1546.5562300248578,1369.9887662320523
1999-05-01,1474.8180886973507,1360.441281442685,1671.6308093461835,1541.2289706143465,1371.9585521801098
1999-06-01,1477.98218658005,1361.8359484480102,1670.038842373207,1535.632139263731,1375.0211973448058
1999-07-01,1481.5737516983697,1361.727645258198,1677.6650350601947,1539.8045395359848,1375.3391575168919
1999-08-01,1480.4873259171197,1362.8828792828615,1678.2356637423156,1540.99990382339,1375.7753526842273
1999-09-01,1476.7252161882927,1361.3299314216647,1676.8387090964395,1538.515957919034,1372.756628088049
1999-10-01,1476.6552911288497,1359.7752866189041,1672.6590015849129,1539.8054643110795,1370.009097537479
1999-11-01,1473.1694318246152,1358.2878899681193,1671.6143498655226,1543.819912997159,1367.3629760742188
1999-12-01,1471.5604478034422,1356.8605978927271,1672.78802590292,1544.785655628551,1365.0782404719173
2000-01-01,1467.817090905231,1356.2544613141115,1668.4535792616548,1540.996944543087,1362.5198776657517
2000-02-01,1470.0328882189765,1355.6676753433296,1676.45999095479,1544.2157167376893,1362.1191488729942
2000-03-01,1471.7750438745472,1356.6278431982203,1676.1849325211322,1545.8835486209753,1364.8175213788006
2000-04-01,1475.1494034476902,1357.5721090684558,1673.596591636783,1543.2533032966383,1368.4525773331925
2000-05-01,1478.8266389266305,1360.551993194717,1674.5663502177254,1548.565488873106,1374.2685678842906
2000-06-01,1481.181844075521,1361.548070522702,1674.1568143250513,1540.7920143821023,1375.7144412478885
2000-07-01,1478.456358978714,1361.0339793389153,1677.2657550749232,1534.0610388553503,1373.9242966110642
2000-08-01,1478.614608101223,1361.3177791304652,1675.133777055584,1537.3738606770833,1373.9092027818836
2000-09-01,1475.9574558423915,1361.1316355889153,1672.5389324250768,1535.172988429214,1372.6196701462204
2000-10-01,1476.8346814141757,1359.288072799888,1678.2194043769211,1542.7133271188445,1369.7879275760135
2000-11-01,1471.0174560546875,1356.8472413204177,1668.5009565509733,1534.930050011837,1365.0888803842906
2000-12-01,1468.3281497678895,1356.0476534035174,1669.0531245997695,1538.0456173058712,1363.8982824377113
2001-01-01,1468.1580916694975,1356.2997313358323,1672.141953765369,1541.1884654651988,1362.8143310546875
2001-02-01,1469.2093558933425,1354.993551622057,1670.0514496349897,1540.336007782907,1362.2839025548988
2001-03-01,1472.898002292799,1357.6374413186659,1673.0161573066086,1546.4563543146305,1366.9303275443413
2001-04-01,1475.687795445539,1358.8086594380607,1673.5853351530482,1545.388331557765,1369.8804288297085
2001-05-01,1475.925744098166,1360.347292776065,1672.1585633324796,1539.6273526278408,1372.4425857131546
2001-06-01,1479.8732591711957,1360.6785248213284,1669.58508100666,1539.2324736624053,1374.5272662188556
2001-07-01,1480.4028054942257,1361.601442071889,1674.011730756916,1541.5440414891098,1375.2989897856842
2001-08-01,1479.233407283175,1362.2223584641256,1681.756591796875,1542.8550026633523,1375.3216305294552
2001-09-01,1475.4175158514495,1361.0787840702073,1676.5780089331456,1539.5881421638258,1372.1216150232265
2001-10-01,1476.2376868206522,1359.799317501051,1678.2280593621927,1544.9875340317235,1369.6622281461148
2001-11-01,1474.1525843523552,1358.661873992783,1676.1832315413678,1545.7509358723958,1367.8041612779773
2001-12-01,1469.8963109997737,1359.1026135089687,1670.2610203477204,1542.6978833747633,1365.8249726166596
2002-01-01,1469.9416893115942,1357.6337189952355,1671.22317454854,1543.055771336411,1364.219418087521
2002-02-01,1470.6775609997737,1358.115349329106,1671.1257184138065,1545.696651574337,1364.6669130067569
2002-03-01,1472.772128340127,1358.3431500490472,1669.421286661117,1541.6581587357953,1367.3496968037373
2002-04-01,1474.4513912477357,1358.2488876821749,1670.2853343525871,1541.3998690518465,1368.3593337600296
2002-05-01,1475.0744805819747,1360.2116195610286,1667.804955654457,1533.3400841915245,1371.4585175385346
2002-06-01,1479.0689661882927,1361.2831286785315,1675.2703056960809,1538.1335634173768,1374.8651865366344
2002-07-01,1479.5356197633607,1363.2682492380186,1678.6100794057377,1536.2774473248105,1376.3868177259292
