,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5
1987-05-01,-0.05368347,0.21773453,-0.18905869,0.13670883,-0.095696256
1987-06-01,0.021006774,0.28842315,0.21106568,0.075690076,-1.186702
1987-07-01,-0.48114967,-0.02734146,-0.0050014495,0.20506363,-0.32009926
1987-08-01,-0.12570572,0.2690834,-0.106032945,0.22173576,-0.20406342
1987-09-01,-0.36277923,0.25441208,0.45180702,0.05768471,-0.06468658
1987-10-01,0.40712625,-0.13637619,-0.16671868,0.04801483,-0.51149213
1987-11-01,-0.27275163,0.19672775,0.1250389,0.39512292,-0.811252
1987-12-01,-0.3284355,-0.022340393,0.42279777,0.097363666,0.7539009
1988-01-01,-0.09410171,-0.11145363,-0.24526557,0.23692322,-0.065070346
1988-02-01,0.17151909,0.18987235,0.6290146,-0.17752609,0.059397124
1988-03-01,-0.21590042,-0.008009339,0.11412354,0.10444603,-0.1848671
1988-04-01,-0.1014431,0.025027085,-0.41444892,0.03236847,0.5546009
1988-05-01,0.04671707,0.068741225,0.51856077,0.16784859,-0.95803756
1988-06-01,-0.08442459,-0.08041992,0.28430787,0.28697738,-0.69408494
1988-07-01,0.19187394,0.03637314,0.3560524,0.3490444,-0.45249024
1988-08-01,-0.123133086,0.34403914,-0.094435886,0.29965782,-0.4428131
1988-09-01,0.30099258,0.16351089,0.54659116,0.18787003,-0.61032754
1988-10-01,-0.5015434,0.15650329,0.26795655,0.38508338,-0.37774238
1988-11-01,-0.24860306,0.06139984,0.2786354,0.17085151,-0.26295146
1988-12-01,-0.24726792,-0.06707306,-0.64336336,0.3633934,0.18620186
1989-01-01,-0.27129707,0.14499322,-0.17423324,-0.11695938,-0.43769303
1989-02-01,0.09344711,0.17152023,0.06812553,0.2957142,0.10821686
1989-03-01,0.020799637,0.11183472,0.32073364,0.17785034,-0.14499359
1989-04-01,-0.27340737,0.15735245,-0.008139038,0.107313156,0.1428833
1989-05-01,-0.10128441,0.4343769,-0.3162121,0.29269943,-0.546212
1989-06-01,0.11002655,0.11846618,-0.32435074,0.46934432,-0.411166
1989-07-01,-0.082595065,0.2613495,-0.08591156,0.32224083,-0.31802064
1989-08-01,-0.20829543,0.0135650635,-0.1266056,0.5034069,-0.42684096
1989-09-01,0.3936821,0.16850586,-0.19201812,0.015373612,-0.9037212
1989-10-01,-0.3774044,-0.08711662,-0.22306672,0.2583355,-0.51576614
1989-11-01,-0.49526826,0.056670763,0.027129745,-0.06300125,0.27642173
1989-12-01,0.11153336,0.29752272,0.07686768,0.18116646,0.07505874
1990-01-01,-0.013211059,0.26712418,0.47205925,0.15273437,-0.035122298
1990-02-01,0.36379203,0.005477524,0.3837696,-0.13887863,-0.24521294
1990-03-01,-0.2858135,-0.08506737,-0.020299911,0.2342575,0.045111466
1990-04-01,0.008055878,-0.042211153,0.14661217,0.1421009,-0.014178085
1990-05-01,-0.07250061,0.3660473,0.1340454,0.12373428,-0.5345707
1990-06-01,-0.036411285,-0.055744935,-0.19397965,0.34703597,-0.23619041
1990-07-01,0.018688966,-0.1002121,0.89965135,0.1008564,-0.0879673
1990-08-01,0.14725646,-0.05091095,0.040600587,0.3302803,-0.9901966
1990-09-01,0.123412326,-0.32029113,-0.058966827,0.25906867,-0.65830535
1990-10-01,-0.04833374,0.28903502,-0.044789124,0.119867705,-0.05123367
1990-11-01,-0.16465683,-0.22104606,0.1143898,0.18914604,-0.37571412
1990-12-01,-0.14081192,0.20590171,-0.09312286,-0.13146782,-0.29676896
1991-01-01,0.048166655,-0.33748704,0.7459381,-0.24500656,0.36574402
1991-02-01,0.13550797,-0.47010422,0.83103216,-0.14867325,0.44730607
1991-03-01,0.10692978,0.08413086,0.34133968,-0.19491348,0.056194305
1991-04-01,-0.027936554,0.20069352,0.470747,-0.30023766,-0.5455654
1991-05-01,0.19523506,0.008348847,0.03724861,-0.17821617,-0.43638802
1991-06-01,0.020550538,-0.050414275,-0.13422394,0.13165513,-0.7565346
1991-07-01,0.15959167,0.06004715,-0.013807679,0.289962,-0.72378194
1991-08-01,0.03885422,0.03500061,0.060368348,0.040460207,-0.77837026
1991-09-01,-0.78928834,-0.18849182,0.31372452,-0.04078064,-0.3817997
1991-10-01,0.14289398,-0.15605927,0.405883,-0.06550636,-0.5099224
1991-11-01,-0.2350525,0.06711197,0.5134548,-0.045276262,0.10339737
1991-12-01,0.00032081603,0.14417839,-0.12972832,0.11335182,0.07770844
1992-01-01,0.20159797,0.18276902,-0.33891812,0.12238731,0.07239304
1992-02-01,-0.11849137,0.32398453,0.37657547,0.045448683,-0.37203065
1992-03-01,-0.1772503,0.030840302,0.40579262,0.20451927,0.39118424
1992-04-01,-0.3145706,0.32398492,1.000198,0.22237435,-0.2973648
1992-05-01,-0.22724381,0.0084404,-0.06622543,0.19413109,-0.45286483
1992-06-01,0.046747588,0.40774077,-0.1094017,0.3642395,-0.53467256
1992-07-01,0.07726288,0.07499008,0.16101837,-0.22821808,-0.55122834
1992-08-01,-0.12368546,-0.05681076,0.66549987,0.081158444,-0.7752266
1992-09-01,-0.39248276,0.003895569,0.21912841,-0.24607316,-0.38306826
1992-10-01,-0.17173156,-0.06362762,0.01720581,0.24412498,0.15971985
1992-11-01,-0.32885438,-0.0084404,-0.0068172454,0.015907288,0.28730124
1992-12-01,0.07661362,0.046097945,-0.21198615,0.22691917,0.344112
1993-01-01,-0.047403716,0.09170876,-0.39007226,0.25405806,-0.02261734
1993-02-01,0.14344978,-0.06847153,-0.22121659,0.12547989,-0.2013878
1993-03-01,-0.062274933,0.14035186,0.101623155,0.10874901,-0.45978317
1993-04-01,-0.3095173,0.035010528,0.71260226,-0.16265945,0.19333191
1993-05-01,-0.049882125,0.09697609,-0.8436592,-0.06506386,-0.03191185
1993-06-01,-0.13446502,0.35475197,0.1428299,-0.34081,-0.33244437
1993-07-01,-0.04678421,0.30765837,0.017970275,0.198909,-0.6122181
1993-08-01,-0.07033081,-0.10472183,0.3928604,-0.11277733,-0.94466287
1993-09-01,-0.29185715,0.13880233,0.49386445,-0.13756332,-0.90593415
