,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5
1982-05-01,-1.1521027,0.9922773,1.055043,0.010676575,0.257209
1982-06-01,0.7098328,0.804628,1.2012799,-0.23812103,0.3037979
1982-07-01,0.043353654,0.9951889,0.37821046,-0.3503868,0.06050072
1982-08-01,0.75933343,1.102279,0.20447311,-0.31350404,-0.12423706
1982-09-01,0.31706277,1.3332813,0.58527184,-0.116471864,0.07635422
1982-10-01,0.62377244,0.9363058,0.92757034,0.14914894,0.3138275
1982-11-01,0.3769165,0.88001096,0.991954,-0.03817711,0.95960045
1982-12-01,0.9220707,0.021029662,0.816275,-0.03785362,1.5215781
1983-01-01,1.7202476,-1.0538833,0.21214333,-0.15682983,1.4339192
1983-02-01,1.4752414,-1.919701,0.2677822,-0.2567192,2.4302115
1983-03-01,1.3620113,-1.7937816,0.5088835,-0.22222976,2.148764
1983-04-01,-0.281773,0.8635399,0.65757906,0.18708953,0.2609493
1983-05-01,-1.134901,1.2578924,1.2149429,0.084597014,0.53653985
1983-06-01,-0.8589851,2.3156803,0.7984657,-0.18318482,0.83425677
1983-07-01,0.3292778,2.0752292,0.18448639,-0.38101196,0.04067154
1983-08-01,0.37190133,0.26127473,0.20628624,-0.23231658,0.05889244
1983-09-01,0.51051027,1.5068028,0.6618088,-0.16789246,-0.6455399
1983-10-01,-0.23589516,1.3138565,0.8589851,-0.043600082,0.55736387
1983-11-01,0.24760818,-0.04815521,1.4062622,-0.16008377,2.4513607
1983-12-01,0.8248207,-1.2009522,1.526976,-0.01887169,1.014188
1984-01-01,0.40685692,-0.35807592,0.8514244,-0.1636425,1.4558284
1984-02-01,0.047397234,0.5781105,0.76908416,-0.0041519166,1.4758946
1984-03-01,0.70750237,-0.32071152,0.7358715,-0.169524,1.5724195
1984-04-01,-0.8123299,1.7211853,0.94137573,-0.11659088,1.4008198
1984-05-01,-0.3892128,1.0413601,0.41516036,-0.040132143,1.3451191
1984-06-01,-0.21968918,2.1633308,0.63969266,-0.14669037,0.7801552
1984-07-01,-0.03736458,1.0576206,-0.36880112,-0.18509217,0.23179778
1984-08-01,0.3099865,0.8400074,0.23421936,-0.28265533,-0.13077621
1984-09-01,0.5345192,1.8263592,0.3106781,-0.13873291,-0.061927795
1984-10-01,0.16606446,0.9617878,1.1330414,0.07645874,0.78119314
1984-11-01,0.09064331,0.87391245,1.6620251,-0.18751411,1.7592415
1984-12-01,-0.52033424,0.33212814,1.1960075,-0.06262054,0.7472885
1985-01-01,1.4556103,-1.0964569,1.157312,-0.0805542,1.0616318
1985-02-01,-0.08970032,0.6658939,1.4010864,-0.2800064,0.27648887
1985-03-01,-1.4200821,2.2629151,1.2902801,-0.23990479,0.7193634
1985-04-01,-0.39538574,1.3388237,0.5297607,-0.11045494,0.05909691
1985-05-01,-0.2990017,1.2040974,0.6268482,-0.1818634,-0.08794174
1985-06-01,0.39995843,0.5012676,0.1477417,-0.2149292,0.101660535
1985-07-01,0.62755203,1.2920392,0.20472793,-0.26628724,0.056986235
1985-08-01,0.43232116,0.74257964,0.478051,-0.1794014,-0.3753353
1985-09-01,0.8776577,0.6405674,0.8664013,-0.047136687,-0.6194614
1985-10-01,0.5139313,1.5903374,0.9670063,0.01864357,-0.20296898
1985-11-01,0.9121307,-0.36583748,0.9845951,-0.22266845,-0.20437661
1985-12-01,1.1253014,-0.1322647,0.990575,-0.13578185,0.8931354
1986-01-01,1.4580177,-1.22323,0.8295849,-0.01831665,2.0824544
1986-02-01,2.1440654,-1.9066133,0.81459844,-0.17450905,0.6587391
1986-03-01,1.2119068,-0.1312149,0.8142651,-0.27108842,1.6798176
1986-04-01,-1.023077,1.1193235,0.84990007,0.16551742,0.89918864
1986-05-01,-0.2507736,0.98577726,0.7676407,0.016651154,0.949477
1986-06-01,-0.20215073,1.8743088,0.17917176,-0.17484207,0.54317665
1986-07-01,0.12988281,1.2305565,0.23045845,-0.38365403,-0.13054924
1986-08-01,0.3050583,0.5954628,0.7150215,-0.31738052,0.71269035
1986-09-01,0.84357226,0.77763176,0.625769,-0.1795044,-0.7483246
1986-10-01,-0.0059947968,0.12288914,0.7406651,0.274086,1.205579
1986-11-01,-0.13654366,1.2022483,1.3627701,0.09191704,0.84656984
1986-12-01,0.39164656,-0.025976563,1.1915913,-0.16418533,1.9109424
1987-01-01,0.35410994,-0.36578026,0.76890564,-0.13404159,1.8392378
1987-02-01,0.6728756,-0.65420306,0.6475344,-0.25641328,0.56517565
1987-03-01,0.03934555,-0.24941063,0.049682237,-0.25274506,0.8212549
1987-04-01,-0.27675247,1.3667576,0.43846932,-0.13670921,1.2710617
1987-05-01,-0.43213424,1.9125942,0.5244961,-0.043013383,-0.5618412
1987-06-01,0.75590134,1.6868572,0.72755927,-0.2940918,0.7725731
