,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5
1988-05-01,0.019271791,0.18149605,0.015623629,0.03017664,0.021968275
1988-06-01,0.025616437,-0.03279382,0.020659685,0.019826949,0.026528478
1988-07-01,0.027123272,-0.06570658,0.017725289,0.03017664,0.027440518
1988-08-01,0.022602737,-0.09310743,0.0045601726,0.017130494,0.016020179
1988-09-01,0.029581815,0.11071378,0.0065825284,0.025735378,0.02648881
1988-10-01,0.035886794,-0.0014671981,0.045958906,0.02807498,0.02046141
1988-11-01,0.027638763,0.6264925,0.030097336,0.024426818,0.008565247
1988-12-01,0.036957443,0.59909165,0.049924284,0.005749792,0.023316503
1989-01-01,-0.0029819012,0.42744666,0.052975297,0.0146484375,0.013261378
1989-02-01,0.017240047,0.6458366,0.010779262,0.016291022,0.014392912
1989-03-01,0.024978459,0.5894779,-0.018349111,0.029723644,0.026621044
1989-04-01,0.041148722,0.19887275,0.047500014,0.029942691,0.021802783
1989-05-01,0.05793953,0.24011973,0.0069100857,0.030672729,0.033629358
1989-06-01,0.033665836,0.072503716,0.0030409098,0.020744264,0.022131324
1989-07-01,0.02687651,-0.080438614,0.0074210763,0.025087953,0.03049022
1989-08-01,0.02877462,-0.06149417,0.03687799,0.02651149,0.032680333
1989-09-01,0.017678082,0.097872436,0.021474242,0.011874318,0.024138927
1989-10-01,-0.006814599,0.13776883,0.014502466,0.02461344,0.022240818
1989-11-01,0.016364038,0.38576168,0.015049934,0.021182239,0.024321437
1989-12-01,0.03497994,0.120321006,0.058487058,0.010195255,0.03289932
1990-01-01,-0.033442825,0.6266179,0.054589838,0.022836506,0.016311854
1990-02-01,0.031268388,0.6512443,0.05970916,0.026182503,0.013936222
1990-03-01,-0.0025259852,0.1950539,0.048968583,0.021263897,-0.007712245
1990-04-01,0.019858599,0.09681606,0.0246768,0.014772713,0.029193878
1990-05-01,0.025580227,0.31440488,0.0270859,0.037893414,0.021866173
1990-06-01,0.014337748,0.1501509,0.0038648248,0.016847223,0.024777174
1990-07-01,0.011125594,-0.093369216,0.037558824,0.02865851,0.026082128
1990-08-01,0.03193757,-0.057232708,0.0059393346,0.01915595,0.024241835
1990-09-01,0.015977263,-0.06275353,0.03330943,0.021464676,0.020762026
1990-10-01,0.03488204,0.14131755,0.0020579994,0.012597829,0.021263897
1990-11-01,0.010456413,0.45627427,-0.0074780285,0.018152148,0.029996902
1990-12-01,-0.028791875,0.7682196,0.057032406,0.017784089,0.020025909
1991-01-01,0.03278953,0.19135734,0.009529114,0.0142172575,0.019843042
1991-02-01,0.05727613,0.07721883,-0.0057254434,0.0287866,0.020095468
1991-03-01,0.0033984184,0.6465771,0.048909605,0.031815886,0.018508732
1991-04-01,0.025793374,0.29709324,0.03920871,0.023593545,0.023701727
1991-05-01,0.03152734,0.19572094,0.028245628,0.01883328,0.024819672
1991-06-01,0.009456992,0.05363381,0.030553639,0.020492136,0.0017035007
1991-07-01,0.029616058,-0.07568711,0.018941462,0.030229092,0.017643213
1991-08-01,0.032248616,-0.065481365,0.023773849,0.025288522,0.031743705
1991-09-01,0.025252461,-0.029490769,0.036612213,0.0260458,0.029039025
1991-10-01,0.023773849,0.1280312,0.007365346,0.021213412,0.0252164
1991-11-01,0.060666025,0.14642319,0.04786378,0.022547722,0.0034344792
1991-12-01,0.01926601,0.013459921,0.038415313,0.021501899,-0.07644445
1992-01-01,0.08406198,0.1118235,0.06771052,0.012951136,-0.057396054
1992-02-01,0.047810256,0.02894324,0.015062451,0.005224645,-0.07096231
1992-03-01,0.015287042,-0.014406085,0.047630608,-0.020425558,-0.06561667
1992-04-01,0.03711897,0.051089525,0.053245783,0.005943358,-0.08183336
1992-05-01,0.034288883,-0.046794534,0.025978386,0.01964444,-0.028466523
1992-06-01,0.027191281,0.15854192,0.03734356,0.0324471,0.03514242
1992-07-01,0.022115111,0.0020352006,0.016904235,0.026876807,0.031234205
1992-08-01,0.025035024,-0.06215769,0.011019528,0.013804674,0.01924014
1992-09-01,0.017398357,0.061691046,-0.0544312,0.022654176,0.027909994
1992-10-01,0.016499937,0.037253678,0.023552656,0.016769469,0.03002131
1992-11-01,0.033165872,0.14335841,0.045564175,0.023552656,0.018476486
1992-12-01,-0.03457588,1.0028876,0.035367012,0.019195259,0.020857334
1993-01-01,-0.0055508018,0.62641495,0.113956064,0.020695865,0.024866998
1993-02-01,-0.0029929876,0.7634721,0.051467776,0.0240013,0.0136915445
1993-03-01,0.05166453,0.0008239746,0.07047397,0.022545338,0.017902017
1993-04-01,0.042181134,0.49809366,0.04820174,0.016406715,0.00023370981
1993-05-01,0.039505303,-0.053400755,0.040489078,0.025221169,0.02093196
1993-06-01,0.016800165,0.26679263,0.060006797,0.023135602,0.021443546
1993-07-01,0.021837056,-0.019716859,0.035570264,0.022191167,0.020774543
1993-08-01,0.027857602,-0.11222941,0.0059394836,0.023961961,0.02207315
1993-09-01,0.029431641,0.07629782,0.029825151,0.01975149,0.015659034
1993-10-01,0.0008633137,0.11297232,0.019161224,0.019475996,0.024198055
1993-11-01,0.0011387467,0.5301641,0.04623419,0.031163037,0.029038131
1993-12-01,-0.028413296,0.42659417,0.03840351,0.015973806,0.021207452
1994-01-01,0.00062286854,0.07843727,0.03867644,0.0076315403,0.01032722
1994-02-01,0.013427198,0.7252583,0.027264893,0.023221374,0.018099666
1994-03-01,0.018504024,0.36795,0.018324316,0.02919674,0.027624309
1994-04-01,0.041641653,0.24974579,0.03081417,0.016527236,0.031173587
1994-05-01,0.006598234,0.06626195,0.050177872,0.024119973,0.030499637
1994-06-01,0.0036330223,0.029556155,0.032206893,0.022367775,0.0282982
1994-07-01,0.016796768,-0.06744224,0.0030040145,0.01998663,0.018728673
1994-08-01,0.020346045,-0.09057993,0.0063286424,0.02313155,0.03009528
1994-09-01,0.036340237,-0.010743797,-0.046730697,0.020166337,0.022817075
1994-10-01,0.0121243,0.12138796,-0.0072843432,0.023895323,0.018953264
1994-11-01,-0.0029264092,0.63670623,-0.018426359,0.023670673,0.021289527
1994-12-01,-0.03105098,0.29516748,0.035666287,0.022861958,0.017425776
1995-01-01,0.019803643,0.4351722,0.0221197,0.02370143,0.013081372
1995-02-01,0.015340924,0.39020643,0.027994633,0.016414225,0.027486205
1995-03-01,0.043868244,0.5027338,0.0102568865,0.0105957985,0.02646941
1995-04-01,0.06296176,0.18430156,0.044489622,0.026921332,0.03330469
1995-05-01,0.036807,0.2153709,0.0066415668,0.025509119,0.021554828
