,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1973-07-01,28.828125,18.516571,26.579102,28.850922,28.345123,29.248016,20.511719,25.298065,24.54419
1973-08-01,29.262085,21.743744,27.77182,28.776672,28.778595,28.665497,23.86264,27.099976,27.069885
1973-09-01,29.644135,20.211212,27.690735,28.573761,28.875214,28.098999,22.660706,25.289307,27.70337
1973-10-01,29.581024,18.138916,26.40921,28.506744,28.59317,28.026672,20.811707,22.394684,25.085938
1973-11-01,29.526154,16.43991,24.029144,28.449005,28.032013,28.339294,18.476288,19.344238,22.977203
1973-12-01,29.302368,12.688019,21.937897,27.443176,27.580566,27.499481,16.820984,16.161743,20.221405
1974-01-01,29.03955,10.08667,19.16101,26.538849,26.920624,27.978394,14.228088,14.491913,18.043549
1974-02-01,28.577484,9.0289,18.440002,26.382202,26.857971,27.99649,13.434174,13.562897,16.945648
1974-03-01,28.712585,8.934448,18.055298,26.736115,26.720428,27.919647,13.48996,12.911896,16.47821
1974-04-01,28.749786,9.565369,18.605469,28.331787,26.890778,28.072357,13.516388,14.498779,17.605469
1974-05-01,28.94168,11.672058,20.435608,28.992584,27.639679,28.380249,14.8967285,16.571198,19.475739
1974-06-01,29.338623,14.301514,22.210907,28.278442,27.975433,28.52414,16.36612,19.453217,21.904022
1974-07-01,29.276947,17.076843,25.050354,28.267181,29.009216,29.019989,19.60202,21.777252,24.375854
1974-08-01,29.38562,21.111084,26.97055,28.550568,29.059631,29.142365,22.641663,26.026367,26.774292
1974-09-01,29.320526,21.993103,27.211884,28.801666,29.246124,28.448273,22.820312,23.99408,27.252014
1974-10-01,29.325409,18.112549,25.874146,28.279419,28.95929,28.318573,20.323517,22.231476,25.211884
1974-11-01,29.096344,14.859039,23.557953,28.100739,28.141876,27.83841,17.890839,19.38028,23.018066
1974-12-01,28.626434,11.750885,21.684235,27.695953,27.63623,27.815887,15.490936,17.359253,20.856049
1975-01-01,28.147339,10.482361,19.337006,27.098328,26.837616,27.593842,13.610107,15.404968,18.393616
1975-02-01,28.072845,9.919434,18.562866,26.921051,26.567932,27.50238,12.602081,14.136261,17.34317
1975-03-01,28.3779,10.093872,19.031036,27.199219,26.924835,27.171875,13.183411,13.709106,17.192322
1975-04-01,28.566498,10.291901,19.645355,28.008728,26.823944,27.811188,14.113159,15.015533,18.095642
1975-05-01,28.971008,12.761932,21.315765,29.096893,27.566956,27.809784,14.920319,16.604858,19.154572
1975-06-01,28.919617,14.2847595,23.033813,28.42456,28.155823,28.004486,15.706726,20.369995,21.803284
1975-07-01,28.952606,18.172485,25.811707,28.68811,28.75412,28.047394,18.016907,24.178986,25.870636
1975-08-01,28.967712,22.180908,27.077118,28.473602,28.795135,28.146393,22.180908,27.00592,27.51651
1975-09-01,29.251526,21.031006,26.6344,28.505676,28.734802,27.668793,21.857025,26.88852,26.70465
1975-10-01,29.37033,18.37146,25.458557,28.428345,28.946472,27.160553,19.687805,23.856049,25.197845
1975-11-01,29.26944,15.423828,24.501007,28.392517,28.522156,26.978577,17.683594,20.097504,22.468506
1975-12-01,28.890839,14.02829,22.621277,27.88379,27.664093,26.8909,15.4973755,17.986267,20.593018
1976-01-01,28.389893,11.419525,19.876373,26.194489,26.858826,27.296417,13.827728,15.075348,18.489502
1976-02-01,28.049255,9.609009,18.040497,26.467987,26.329742,27.38144,13.235016,13.857086,16.797363
1976-03-01,28.427185,8.813904,18.86444,27.142761,26.49533,27.576355,13.624359,13.477173,17.199646
1976-04-01,28.713593,10.214691,20.019562,28.14325,26.588806,28.054718,13.943115,14.947052,17.723755
1976-05-01,28.53012,11.901855,21.78482,28.989075,27.203918,28.142242,15.26532,16.614868,19.703827
1976-06-01,28.771759,14.652679,22.605804,28.686737,27.753387,28.448547,17.032562,19.575531,21.803223
1976-07-01,28.53656,18.230957,25.89914,28.324738,28.025879,28.380432,19.066833,22.276123,24.341217
1976-08-01,28.691711,19.454193,27.186523,28.22876,28.328217,28.512695,21.622223,26.055756,27.182037
1976-09-01,28.845856,19.007172,26.7211,28.07611,28.275513,28.649445,22.580444,23.59085,26.138794
1976-10-01,29.280975,17.111115,25.87973,28.732483,28.214844,28.443085,19.648132,21.795776,24.338745
1976-11-01,28.963715,14.658173,24.05481,28.342651,27.736969,28.458008,17.599426,18.358246,22.47055
1976-12-01,28.541534,12.125641,21.727142,27.489838,27.131317,28.522156,14.917725,15.748627,20.15384
1977-01-01,27.930115,10.075104,19.078766,27.022217,26.41742,28.63269,12.738983,13.716461,18.154785
1977-02-01,28.039093,8.505005,17.773804,26.496246,26.279236,28.43274,12.229553,11.864624,16.92868
1977-03-01,28.38211,9.097137,17.935852,26.794495,26.674316,28.241516,11.998444,12.282593,16.71994
1977-04-01,28.369476,10.518829,18.759094,28.28482,26.544403,28.84726,13.589478,14.098877,17.598175
1977-05-01,28.93097,12.09671,20.634735,29.69046,27.069397,28.725616,14.673981,16.509766,19.21109
1977-06-01,28.990326,15.88501,22.828125,29.85736,28.078522,29.518707,15.573639,19.663116,21.317383
1977-07-01,29.26474,18.391754,25.67688,28.895447,28.61325,29.752747,18.28421,24.267365,24.467804
1977-08-01,29.338684,23.719482,26.511322,28.669678,28.78888,29.114868,22.815948,25.70169,26.295776
1977-09-01,29.847137,23.125397,26.425201,28.499878,29.110992,29.329926,22.796509,24.570953,26.447113
1977-10-01,29.611633,19.779388,25.168945,28.83899,28.608368,29.220947,21.150482,22.894775,25.085236
1977-11-01,29.207794,17.414734,22.901123,28.298431,27.876587,29.07788,18.755676,20.342316,22.565887
1977-12-01,28.90567,14.007416,20.439636,27.949585,26.90738,29.082275,15.149841,17.121338,20.205597
1978-01-01,28.345673,11.919128,19.159515,27.432709,26.437592,29.082214,13.830109,14.787048,18.637054
1978-02-01,28.0112,10.903717,17.940613,26.749298,26.103119,28.613892,12.229889,13.383057,17.302155
1978-03-01,28.021362,9.993652,17.471313,27.602325,26.375702,28.013153,12.341522,12.640228,16.768127
1978-04-01,28.618744,10.071442,17.905823,28.743408,26.918457,28.223877,11.964081,14.370453,17.03537
1978-05-01,29.162445,12.442535,20.419952,29.659271,27.036377,28.70813,13.26947,17.27945,18.682007
1978-06-01,29.331604,14.894836,24.373383,29.237854,27.802917,29.46643,16.379547,19.900879,21.88919
1978-07-01,29.123291,21.03714,26.269867,28.86618,28.103516,29.5607,21.649475,25.337097,25.755157
1978-08-01,28.957031,23.297546,27.191528,28.342773,28.371765,29.16391,23.431427,27.238403,27.757477
1978-09-01,29.446136,19.819214,27.347626,28.263489,28.792725,28.947388,22.537811,25.584076,27.246155
1978-10-01,29.677643,17.35147,25.736298,28.047943,28.767578,28.521576,19.980164,22.497192,25.457916
1978-11-01,29.5578,14.188721,23.053955,28.15863,27.869598,28.765167,17.661743,19.644745,23.09311
