,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1974-07-01,-0.38742724,0.10874903,0.16768399,-0.09457655,-0.66680706,0.319652
1974-08-01,0.07086225,0.2245142,-0.15926473,-0.13961978,-0.16796465,0.29116678
1974-09-01,-0.335789,-0.08405249,-0.11141519,-0.15659861,-0.507823,0.123482786
1974-10-01,0.14621484,0.1588438,-0.02834491,0.007717675,-0.44608158,0.18718866
1974-11-01,-0.23812532,0.1689469,0.028344918,-0.5313969,-0.4429945,-0.065951034
1974-12-01,0.17077112,0.37339506,-0.18368073,0.042797994,0.10510073,-0.05500593
1975-01-01,-0.16308041,0.6974201,-0.24629822,-0.42400885,0.14334965,-0.04375658
1975-02-01,0.024025917,0.34146205,-0.18616657,-0.17005987,0.007516384,-0.014630223
1975-03-01,0.11690779,0.6292351,0.56480825,-0.17945549,-0.0036240101,-0.043622304
1975-04-01,0.40642565,0.8409039,-0.16120121,-0.24160048,-0.12791404,-0.15985899
1975-05-01,0.22925203,0.5560838,-0.27690095,0.16495943,-0.180395,0.10429089
1975-06-01,-0.050736092,-0.024696922,0.11690779,0.049662303,-0.11247845,0.12603489
1975-07-01,-0.13999406,-0.041608952,-0.057178687,-0.223212,-0.20938706,0.02536807
1975-08-01,-0.08523126,0.008858681,0.21113198,-0.1493896,-0.4066941,0.077446364
1975-09-01,-0.12066598,0.039864086,0.2912628,-0.08737886,-0.17609987,0.07503039
1975-10-01,0.21301107,0.1527452,0.5461513,0.16764387,-0.66507244,0.120934464
1975-11-01,0.24911699,-0.015569782,0.006979561,-0.3656221,-0.61796033,-0.09006333
1975-12-01,0.1677781,0.39609057,-0.1480474,-0.37676257,0.09019756,0.045501422
1976-01-01,-0.06369667,0.5271402,0.3765478,-0.1235045,0.09668479,0.5216421
1976-02-01,0.21643452,0.4462789,0.051761914,-0.23252635,0.08112941,0.08448191
1976-03-01,0.14911725,0.7718695,0.4334055,-0.293541,0.013677979,-0.2594801
1976-04-01,0.12819791,0.569247,0.28951806,-0.120956615,0.07536321,0.07066977
1976-05-01,0.08944353,0.290725,-0.053371143,0.041838646,-0.08139763,0.08609104
1976-06-01,-0.07777698,0.04049766,-0.0069730757,-0.27557188,0.039156675,0.25344563
1976-07-01,-0.18733521,-0.16775689,-0.65506995,-0.095880225,-0.054578017,0.2836178
1976-08-01,-0.17781425,-0.120688416,-0.27221948,-0.29327288,-0.31593543,0.21455722
1976-09-01,-0.0403636,0.079520226,-0.83637065,0.1633317,0.020382881,0.5720631
1976-10-01,-0.07361992,-0.052566506,-0.13423237,-0.22434635,-0.32290855,0.08515239
1976-11-01,0.46384582,0.061551094,0.091052726,-0.41583863,-0.30976695,0.197929
1976-12-01,0.18867627,0.06825602,-0.6226182,-0.42629832,0.06584225,0.1657454
1977-01-01,-0.12565279,0.42799622,0.074476436,-0.24728365,0.3703014,-0.024686718
1977-02-01,0.24520326,0.23008613,0.124820665,-0.27432808,0.16906266,0.3443664
1977-03-01,0.23688193,0.29318985,-0.08168821,-0.18958874,-0.20567675,0.0037446022
1977-04-01,0.6213296,0.7672311,-0.487078,-0.0042993785,0.18223819,-0.02621231
1977-05-01,0.118579626,0.55434245,-0.31024876,0.2879197,0.12204685,-0.22786708
1977-06-01,0.06795792,0.25075084,-0.9892732,-0.107345775,-0.044796754,0.13161644
1977-07-01,0.15990916,0.017890966,-0.5471306,-0.25075087,-0.08390723,0.34505978
1977-08-01,-0.14548545,0.03675275,-0.10512676,-0.32924923,-0.25754666,0.3544907
1977-09-01,-0.098885715,0.07128646,-0.27099955,-0.08695841,-0.37002394,0.46960306
1977-10-01,0.11164518,0.014839793,-0.038000964,0.2847298,-0.68873274,0.03273076
1977-11-01,0.102768995,0.07974653,-0.4119082,-0.18820183,-0.35976094,-0.042439032
1977-12-01,0.30289817,0.73782885,-0.48791012,-0.14895272,0.09333811,0.6657102
1978-01-01,0.17617364,0.2514108,0.6515518,0.05197992,0.12442627,0.19850054
1978-02-01,0.22966532,-0.10512276,-0.24920139,0.15140466,0.035699893,-0.06546917
1978-03-01,-0.19687262,0.17535962,-0.19431433,-0.05116596,0.06581801,0.05639887
1978-04-01,-0.12023996,0.50665915,-0.19640744,-0.5361959,0.07453947,-0.010698366
1978-05-01,0.1996634,0.7283007,-0.61282843,-0.102099314,0.2048963,-0.15047435
1978-06-01,-0.15582354,0.30478626,0.07814445,-0.2519923,0.25013176,-0.032327555
1978-07-01,-0.09047067,0.28397098,-0.96285,-0.16687074,0.06070137,0.06442256
1978-08-01,-0.19745404,-0.07419062,0.05279398,-0.26117888,0.015233517,0.22443242
1978-09-01,-0.15210232,-0.008023751,-0.17035942,0.10361104,-0.29897192,0.1000061
1978-10-01,-0.18815114,-0.0632597,-0.5802684,-0.11244879,-0.08337723,0.034769583
1978-11-01,-0.031629898,0.123961106,-0.7717917,-0.43479428,-0.026396979,0.0860518
1978-12-01,-0.34688187,0.40618777,-0.2538528,-0.3374626,0.08907528,0.101983026
1979-01-01,0.14991474,0.6963304,-0.43680543,-0.09265566,-0.068562225,-0.11422081
1979-02-01,0.4060192,0.3636326,0.4565858,-0.18070087,0.2770747,-0.19482975
1979-03-01,0.0035694123,0.61393684,0.018144418,-0.10455368,0.13058056,-0.22383113
1979-04-01,-0.05592061,0.17103375,-0.06737242,-0.36214542,0.13162163,-0.12463155
