,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6
1975-11-01,2.6635665562935174e-05,9.250607802981443e-05,5.691633223767991e-05,0.00012173843156472828,9.91669892136622e-06,5.9711432763057335e-05
1975-12-01,2.4181588742067106e-05,0.00010163791327602623,4.19999847005924e-05,0.0001371737916518836,1.2107766357900997e-05,5.140264409242153e-05
1976-01-01,2.238285742350854e-05,9.983034624931325e-05,3.766800523962735e-05,0.0001431487506028804,1.4304798016907916e-05,5.6998605276287606e-05
1976-02-01,1.759334008966107e-05,9.936555281719081e-05,4.3352299802406595e-05,0.00012432444093160724,1.089361999735966e-05,7.217433182920171e-05
1976-03-01,2.202450741606299e-05,9.020255368023393e-05,5.278033779354812e-05,0.00012627436885132308,1.2183885438698968e-05,6.201435764257729e-05
1976-04-01,2.491530540282838e-05,8.723192044578672e-05,5.639245441633966e-05,0.00012236532232858926,1.1248756113063699e-05,6.604795777182118e-05
1976-05-01,2.6503899789531715e-05,8.810739347105285e-05,6.592670660011652e-05,0.00012221894154974602,4.1564451692597075e-06,6.415304996175464e-05
1976-06-01,2.412671165075153e-05,8.344239133118416e-05,6.739919774737815e-05,0.000129183392441758,3.2192856545491654e-06,6.379597790527907e-05
1976-07-01,2.2865891878609546e-05,8.403838868813971e-05,6.87707956157231e-05,0.00011373714713906673,2.617990344099115e-06,7.17774904531813e-05
1976-08-01,2.2038520910427906e-05,7.488121908348817e-05,6.870832294225693e-05,0.00011049555484389298,3.6117450418742853e-06,7.199933173890203e-05
1976-09-01,2.662887709448114e-05,8.007412263001485e-05,6.829277703129664e-05,0.00011678838697997363,1.289237688885721e-06,6.896615803537028e-05
1976-10-01,2.5409470254089683e-05,8.577004030167339e-05,5.9719587159456644e-05,0.00011990804954333918,5.660713307491082e-06,6.141009823583839e-05
1976-11-01,2.7065481845056638e-05,8.270461799531996e-05,5.560653564346031e-05,0.00012226370783633014,6.227659018945487e-06,5.401977055376714e-05
1976-12-01,2.4280128855025396e-05,9.790431260669897e-05,3.8481572651440596e-05,0.000137679049466418,1.3171239450307487e-05,5.1810182013446694e-05
1977-01-01,1.7367541659041308e-05,0.00010093863238580525,2.7573059924179688e-05,0.00014708379910045646,1.5156597000145901e-05,5.949482661757119e-05
1977-02-01,1.8153408746002242e-05,0.00010079311323352158,2.9253574692534388e-05,0.00014285477319438207,1.392849974097809e-05,5.744095244331331e-05
1977-03-01,2.251906153105665e-05,9.164122088969382e-05,4.5162975093410386e-05,0.0001302508903073,1.60343128318908e-05,6.409286359529488e-05
1977-04-01,2.378686622250825e-05,8.87694267180176e-05,6.63794574992186e-05,0.00012288239400061828,6.2024172592893746e-06,6.054397977650075e-05
1977-05-01,2.401756682957057e-05,9.340092438800507e-05,6.008796948500402e-05,0.00012999957298712902,4.5013208720549825e-06,6.421186543132247e-05
1977-06-01,2.277560270158574e-05,8.998120677691088e-05,6.614176142862355e-05,0.00012876934258536878,4.765180755825474e-06,5.982453841148172e-05
1977-07-01,2.2518124751513824e-05,8.482977618878506e-05,6.731446537594274e-05,0.0001172786907868852,3.5944397955203966e-06,7.277921679083304e-05
1977-08-01,2.111032881657593e-05,8.361908314042692e-05,6.395791824320256e-05,0.00011427281079752567,3.3947250728685046e-06,7.552152965217829e-05
1977-09-01,2.19953763007652e-05,8.363637888063509e-05,7.193427550894155e-05,0.00010594139894237742,2.307991887870024e-06,7.224694943543888e-05
1977-10-01,2.4877572286641225e-05,8.567170091310001e-05,6.80567609379068e-05,0.00011017259806210764,4.524354528594935e-06,6.381726008130056e-05
1977-11-01,2.4351440515602008e-05,8.73023745076484e-05,5.9079409366837e-05,0.00012309830804281918,8.879462407047371e-06,6.22479646841473e-05
1977-12-01,2.1811067199450918e-05,0.00010176873148744365,3.947834335210756e-05,0.00013090043227604933,1.449276619355588e-05,6.17446370065076e-05
1978-01-01,2.133889756805729e-05,0.00010438074767365155,3.242930244773672e-05,0.00014224728817536838,1.415953483581351e-05,5.8869795239155704e-05
1978-02-01,1.597095797478687e-05,0.00010036268336025169,2.7941173098449466e-05,0.0001426325979991816,1.656435884309683e-05,6.277699778765077e-05
1978-03-01,1.7425682017346844e-05,9.945848345173052e-05,3.55818343909109e-05,0.0001404743096301038,9.43819125580179e-06,6.751096651253359e-05
1978-04-01,2.2376647393684834e-05,9.490965117969697e-05,4.706364895200084e-05,0.00012825499939744507,1.0295256869699423e-05,6.583487425459459e-05
1978-05-01,2.2698424800182693e-05,9.137940914257913e-05,6.282103803516101e-05,0.00011529576256993766,4.105916644024096e-06,6.829990658244664e-05
1978-06-01,2.111001049343031e-05,8.1426144580368e-05,7.042326319421362e-05,0.00011716998223595223,2.3537392369633514e-06,6.676646302278131e-05
1978-07-01,1.7999851479544304e-05,8.294337459963309e-05,6.730981881927123e-05,0.00010429542415199409,4.196857206779052e-06,8.038682941199712e-05
1978-08-01,1.9162622265866958e-05,7.965956837028624e-05,7.223947531149943e-05,0.00010279486320398159,1.5607706137819422e-06,7.716859350117242e-05
1978-09-01,2.2361504306900315e-05,7.719476321566267e-05,7.278026529773313e-05,0.00011467528613713129,2.9623571517919287e-06,6.569304631983226e-05
1978-10-01,3.001169716299046e-05,8.113587770263205e-05,6.760293934910702e-05,0.00011939529557773647,5.309243768107953e-06,5.560228689829251e-05
1978-11-01,3.0025541491340846e-05,9.111359123566963e-05,5.457566258860979e-05,0.00013197249676235706,8.893135769146293e-06,5.2025346277088564e-05
1978-12-01,2.415245216980111e-05,9.659060777770916e-05,4.080500922447858e-05,0.0001260411744097885,1.5875177512535846e-05,6.094901104139664e-05
1979-01-01,1.9490771592245437e-05,0.00010050852686245309,3.4755427575844334e-05,0.0001279800064941427,1.5923003807121447e-05,6.539577464913814e-05
1979-02-01,1.5778357919771224e-05,0.00010191157694445946,3.953905619029713e-05,0.0001267271536083794,1.260410762060741e-05,7.116034727759386e-05
1979-03-01,1.77008787431987e-05,0.00010029014293945967,3.680633960719546e-05,0.00013511003329001956,1.4199424148285187e-05,6.34229608538856e-05
