,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1970-12-01,-0.059037447,-0.043410182,-0.044757366,0.047075093,0.4814046,-0.024325192,-0.0383358,0.02583462,0.4132375,0.032705247,0.019682527,0.014608204
1971-01-01,-0.023004353,-0.10787481,-0.049157977,0.037630737,0.08965719,-0.023799717,-0.051263332,0.026495576,0.41079876,-0.0047109127,0.03023851,0.078802764
1971-02-01,-0.06431675,-0.03736776,-0.0417189,0.02162981,0.19614294,0.05526918,-0.11330205,0.026448786,0.43662483,0.011383593,0.024203062,0.040297568
1971-03-01,-0.048081875,-0.011494935,0.0138632655,0.031080663,0.112488925,-0.057485938,-0.05566126,0.025466323,0.30613768,-0.017998219,0.0085296035,0.030846715
1971-04-01,-0.045555413,-0.053368747,0.016530097,1.4483929e-05,0.12048939,-0.039192438,-0.08691454,0.028039515,0.17761555,0.013769686,-0.0075649023,0.037630737
1971-05-01,-0.06155634,-0.031004846,-0.02763623,0.022050917,-0.0006405115,-0.0032605529,-0.03170663,0.026823103,-0.13360733,-0.0756858,-0.007471323,-0.025109768
1971-06-01,-0.08289093,-0.11409742,-0.081768036,0.0110093355,-0.07961589,-0.04026854,-0.040689647,0.02317375,-0.08382666,0.019524455,-0.04036212,-0.032314837
1971-07-01,-0.056503415,-0.08523023,-0.016828597,-0.012571037,-0.13613379,0.002213478,-0.065065324,1.4483929e-05,-0.10548872,-0.073346496,-0.037133873,-0.005365908
1971-08-01,0.009699285,-0.012617826,-0.034279883,0.009512126,-0.12916261,-0.00789237,-0.032548785,-0.00227803,-0.06263244,-0.0750308,-0.011260986,0.007734239
1971-09-01,-0.019822896,-0.008547366,-0.027449071,-0.04176569,-0.19494426,0.015032947,0.0059563518,0.027150631,-0.031145215,0.015734732,-0.07446939,-0.037882447
1971-10-01,-0.057532728,-0.0038687587,-0.04195285,-0.06455064,-0.02487582,0.034776807,-0.084668815,0.022050917,0.05260241,0.0118047,-0.00934273,-0.022910833
1971-11-01,-0.10941881,-0.07942873,-0.03900534,0.025279164,0.21467033,0.009231448,-0.081955194,0.0027281046,0.24353752,0.011711121,0.026729524,0.074451625
1971-12-01,-0.04181248,0.034683228,-0.01495713,0.053163826,0.25326908,0.08932966,-0.02758944,-0.0063952208,0.27577332,0.022518754,0.031221032,0.02439022
1972-01-01,-0.008172572,-0.027592242,-0.023379505,0.040530622,0.107266426,0.06565291,-0.0120770335,0.003181219,0.5228878,0.0327217,0.020340383,-0.004062593
1972-02-01,-0.0613454,0.0005097389,-0.026924372,0.033132672,0.15463388,0.020237625,-0.054152966,0.008883834,0.6040599,0.004927993,0.0091920495,-0.020091534
1972-03-01,-0.04721737,-0.018858492,-0.01634115,0.012171805,-0.043312907,0.049829483,-0.077014685,0.019569755,0.35016605,0.018079877,0.017412007,0.089850366
