,abs_vo850GLB_cluster1,abs_vo850GLB_cluster2,abs_vo850GLB_cluster3,abs_vo850GLB_cluster4,abs_vo850GLB_cluster5,abs_vo850GLB_cluster6,abs_vo850GLB_cluster7,abs_vo850GLB_cluster8
1976-06-01,7.044151e-05,-8.9623936e-05,-4.6897185e-06,2.8122753e-05,-5.1670635e-05,5.3105407e-05,9.932214e-05,-3.2269807e-05
1976-07-01,7.446397e-05,-8.373651e-05,-6.3261323e-06,3.3589655e-05,-4.4073662e-05,5.115817e-05,0.00010664485,-3.1136206e-05
1976-08-01,7.7919634e-05,-7.673376e-05,-4.333182e-06,2.8278168e-05,-5.774091e-05,4.8772115e-05,0.000105401545,-2.9938605e-05
1976-09-01,7.809333e-05,-8.531807e-05,-4.1046296e-06,2.7775355e-05,-5.9825274e-05,5.2694024e-05,9.6899515e-05,-3.049627e-05
1976-10-01,6.923477e-05,-7.677033e-05,-7.2037583e-06,2.9201508e-05,-4.866293e-05,4.164138e-05,9.1085225e-05,-3.0770523e-05
1976-11-01,6.557797e-05,-8.685392e-05,-3.5378325e-06,2.5499006e-05,-5.8399128e-05,4.669689e-05,8.506067e-05,-3.3129156e-05
1976-12-01,6.386843e-05,-8.311486e-05,-2.5870686e-06,2.3652332e-05,-5.4221244e-05,4.90738e-05,8.791296e-05,-3.143789e-05
1977-01-01,7.184789e-05,-8.233791e-05,-2.9953153e-06,2.7783432e-05,-5.5158005e-05,4.6179368e-05,9.4874704e-05,-2.8572937e-05
1977-02-01,7.515405e-05,-7.613886e-05,-3.862373e-06,2.8958415e-05,-5.7516078e-05,4.603351e-05,9.545004e-05,-2.598797e-05
1977-03-01,6.574608e-05,-7.668989e-05,1.2427299e-06,2.7791533e-05,-6.0854654e-05,4.5369034e-05,8.9818226e-05,-3.0234121e-05
1977-04-01,7.478941e-05,-8.6648884e-05,1.5668666e-06,3.3123535e-05,-6.2361876e-05,4.402388e-05,8.953461e-05,-2.8329836e-05
1977-05-01,7.435992e-05,-9.0327805e-05,-2.7927308e-06,2.5303807e-05,-5.977691e-05,5.0125695e-05,9.434799e-05,-2.9115861e-05
1977-06-01,7.480561e-05,-9.061142e-05,-1.011815e-05,2.7353954e-05,-5.5182318e-05,4.9842078e-05,9.990689e-05,-2.819208e-05
1977-07-01,7.4862335e-05,-8.4744606e-05,-2.6225607e-06,3.100856e-05,-4.9307397e-05,5.826145e-05,0.00010424217,-3.028274e-05
1977-08-01,7.9019344e-05,-9.010902e-05,-2.5172194e-06,3.0003745e-05,-5.364268e-05,4.7678488e-05,0.00010499578,-2.75114e-05
1977-09-01,7.999985e-05,-8.433133e-05,-2.6063535e-06,2.5903455e-05,-5.3934404e-05,5.1649124e-05,9.113907e-05,-2.9974814e-05
1977-10-01,7.11348e-05,-8.52227e-05,-6.309583e-06,2.7913085e-05,-5.2654075e-05,5.5344248e-05,9.50854e-05,-2.9958606e-05
1977-11-01,6.2107676e-05,-7.4461466e-05,2.166511e-06,2.2151607e-05,-5.6535573e-05,4.9347775e-05,9.1779235e-05,-3.1384796e-05
1977-12-01,6.3858e-05,-7.944502e-05,-1.2855126e-06,2.6300519e-05,-5.147909e-05,4.8059344e-05,9.063666e-05,-2.914017e-05
1978-01-01,6.7045694e-05,-7.716967e-05,-2.4239525e-06,2.7971679e-05,-5.3646345e-05,4.1944877e-05,8.721238e-05,-2.4512658e-05
1978-02-01,7.025301e-05,-8.37204e-05,-3.7426034e-06,2.7018848e-05,-5.7500212e-05,5.2783347e-05,8.85991e-05,-2.7303096e-05
1978-03-01,7.382613e-05,-8.0938466e-05,-3.1811105e-06,2.8933018e-05,-5.9542e-05,4.317845e-05,9.246998e-05,-2.885145e-05
1978-04-01,6.908749e-05,-7.625087e-05,-2.764249e-06,2.5334373e-05,-5.6530367e-05,5.0579918e-05,9.1610724e-05,-2.9353389e-05
1978-05-01,7.384314e-05,-7.982399e-05,-4.865582e-06,2.507915e-05,-4.8082486e-05,4.182577e-05,9.8654884e-05,-2.8358016e-05
1978-06-01,7.730567e-05,-7.1852526e-05,-1.081228e-05,3.2820913e-05,-5.5152163e-05,5.3072596e-05,0.000100628604,-3.5002326e-05
1978-07-01,7.626775e-05,-8.0606675e-05,-4.865582e-06,3.2429576e-05,-4.262922e-05,5.5607812e-05,0.00010041592,-3.0391293e-05
1978-08-01,7.772252e-05,-8.571114e-05,-7.990311e-07,3.2812408e-05,-5.1111132e-05,5.52505e-05,0.00010561396,-2.974473e-05
1978-09-01,7.912626e-05,-7.853937e-05,-4.8060283e-06,2.7699441e-05,-4.6168312e-05,5.4723037e-05,9.023253e-05,-3.1386662e-05
1978-10-01,7.446419e-05,-8.158503e-05,-5.6908066e-06,2.5240794e-05,-5.3790973e-05,5.164335e-05,8.668493e-05,-3.0612486e-05
