,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8
1974-09-01,0.2348979,0.32442293,-0.09836526,0.030449737,-0.17834845,-0.1643163,-0.10916996,0.11815059
1974-10-01,0.8499263,0.20992069,0.53504527,-0.053743076,0.6398654,-0.057251118,-0.16796467,-0.14396963
1974-11-01,0.5871045,0.4472041,0.09990881,-0.12558761,0.18311936,0.16600017,-0.28499264,-0.12067636
1974-12-01,0.21427071,0.23335437,-0.07324781,-0.22086577,-0.10061045,0.28527325,-0.065810725,0.06342526
1975-01-01,0.23851328,0.38696343,-0.20173645,0.17207317,-0.61151767,0.4994418,-0.10375404,-0.13784656
1975-02-01,0.42602214,0.24388227,-0.011274624,-0.01731472,-0.42548528,0.16589908,0.22710438,-0.16844921
1975-03-01,0.51460916,0.21462175,0.03932724,-0.018791104,-0.18549547,0.025502205,-0.17032833,0.11046505
1975-04-01,0.416224,0.11382067,0.01731472,0.24280843,0.77943003,0.339046,0.12321625,0.08120451
1975-05-01,0.6606431,0.18965636,0.205092,0.11744471,-0.1974413,0.114760205,-0.04093788,0.21864843
1975-06-01,-0.19287772,-0.12952471,0.34709936,0.2964975,-0.3530051,0.12576649,-0.22683601,0.25005645
1975-07-01,-0.3156913,0.095566414,0.14120206,-0.08885531,-0.0985193,-0.47420806,0.039327193,-0.042682745
1975-08-01,-0.32132864,0.02805252,-0.09449263,0.053017903,-0.13140383,-0.46749696,-0.131538,-0.07543306
1975-09-01,-0.013690758,0.13556471,-0.055031203,-0.15153718,-0.12871937,-0.16764387,-0.00899291,-0.1092571
1975-10-01,0.51313263,0.16214076,0.2935446,-0.06657436,-0.13918869,-0.17583147,-0.022280931,-0.075701475
1975-11-01,0.12603489,-0.08549972,0.09623752,0.07086949,0.57460654,-0.24602985,0.00899291,0.056104995
1975-12-01,0.2994504,0.27824324,-0.11395486,-0.16536209,-0.06482954,0.063621424,-0.040803622,-0.09798241
1976-01-01,-0.07268123,0.5449753,-0.3902259,0.059673738,-0.18478736,0.28670198,-0.29139543,-0.12471142
1976-02-01,0.09722118,0.08112944,0.06879239,-0.25693217,-0.020114744,0.24070635,-0.123504475,0.030038023
1976-03-01,-0.89108276,0.31915382,0.011130142,-0.19524708,-0.01863966,-0.00026817323,0.13892579,0.022260332
1976-04-01,0.38513017,0.23212405,0.28576335,0.051493693,0.5642854,0.099098586,-0.08702976,0.12591824
1976-05-01,-0.49817497,0.34932595,-0.03821802,-0.061014693,0.30480537,0.0134098055,-0.16695228,0.17607097
1976-06-01,-0.088907145,-0.06543994,0.21737322,0.17821655,-0.41570455,-0.20812044,-0.3638085,0.06678095
1976-07-01,0.22595553,-0.20248833,0.345303,0.17177987,-0.24620438,-0.544707,-0.26658735,-0.13101406
1976-08-01,0.9427106,-0.012873459,0.2506296,0.20087914,-0.048275363,-0.3705134,-0.26377124,-0.3392685
1976-09-01,0.36313802,-0.40940195,0.08220215,-0.15300617,-0.5038071,-0.31982428,-0.42991894,0.04277735
1976-10-01,0.115994975,0.40336746,0.19122407,0.11693368,0.14804447,-0.40256292,-0.37346357,-0.15635855
1976-11-01,-0.61618143,0.5343815,0.08461599,-0.051761914,0.9584001,-0.39022583,-0.1975267,-0.18076444
1976-12-01,-0.8193402,0.53009033,-0.07187667,-0.096550725,0.05390749,-0.0056322096,-0.043045543,-0.09775762
1977-01-01,0.85543764,0.52216655,-0.06795792,-0.044103242,0.39928752,0.077666186,0.04923482,0.015533209
1977-02-01,-0.25505024,0.28708753,-0.15782881,0.054782487,0.120521285,0.22481585,0.23285994,-0.22398376
1977-03-01,-0.15061693,0.18958874,0.24950266,0.06310372,-0.44963178,-0.062687874,-0.27113825,-0.21247253
1977-04-01,-1.0892684,0.1686466,-0.03911047,0.073228166,0.526882,-0.062271643,-0.26739362,-0.00013866424
1977-05-01,-0.9027308,0.03772359,0.07835965,0.17793879,-0.73699677,0.24964137,0.010124302,-0.015394556
1977-06-01,0.93754196,-0.17183647,0.15838353,0.14104736,-0.2722478,-0.35116214,-0.12052126,-0.01054039
1977-07-01,0.29318985,0.12925872,0.31954098,0.2232903,-0.1926399,-0.50885224,-0.24936399,-0.16753712
1977-08-01,0.37099475,0.120659925,0.12981348,0.15380678,-0.08473934,-0.47931138,-0.09957914,-0.11164518
1977-09-01,-0.43049258,0.27016744,0.10082741,-0.018307114,0.033840276,-0.23799141,-0.16934004,-0.119689085
1977-10-01,-0.077804886,0.37099475,-0.16088,0.031898618,-0.3246724,0.08182688,0.2734959,-0.28805837
1977-11-01,-0.22675753,0.31732187,0.003605932,0.032037307,0.16115737,-0.11192255,-0.07558586,0.011095178
1977-12-01,0.8860882,0.29110956,-0.235495,0.16670494,-0.51204216,0.29568624,-0.0011095523,-0.0714252
1978-01-01,0.26245803,0.3478121,-0.028606415,-0.14314838,-0.43432897,0.2775753,-0.2854827,-0.18396477
1978-02-01,-0.04581678,0.30780965,0.037676763,-0.13884568,-0.38769826,0.09256382,-0.42281675,-0.0636086
1978-03-01,-0.55468535,0.052328803,-0.24780592,-0.07465573,-0.24338707,0.19733772,-0.075818636,-0.07174864
1978-04-01,-1.0751824,0.31211224,0.05314281,0.23385163,0.22303696,-0.56875587,-0.12558913,-0.1410552
1978-05-01,-0.76330286,0.043142177,0.35444042,0.14779983,0.7010896,0.11489077,0.34467238,-0.20373349
1978-06-01,-0.09372673,-0.36711568,0.32385713,0.020466376,-0.21245494,-0.107099615,-0.0911684,0.05802684
1978-07-01,0.42502612,-0.062445737,-0.06558542,-0.15745154,-0.1554747,-0.20315203,-0.16640559,0.025931835
1978-08-01,-0.6246897,0.03523474,0.4044435,0.09268012,-0.13384543,-0.58480346,-0.3383929,-0.3174615
1978-09-01,-0.07221377,0.28408727,0.33222976,0.3174614,-0.26117888,-0.10058761,-0.25199223,-0.12640314
1978-10-01,-0.041049004,0.38909373,0.15861444,0.01895461,0.08279579,-0.197454,-0.13942719,-0.11291392
1978-11-01,-0.5341026,0.13326402,0.02186181,0.079539776,0.045700453,-0.2310607,-0.13303141,-0.22606044
1978-12-01,-0.3845585,0.30304193,-0.086517,-0.10116903,-0.30420476,-0.23327017,0.11151852,0.12535653
1979-01-01,0.36660713,0.45093417,-0.06276198,0.27618232,0.15467405,0.07525482,0.22383118,-0.072875306
1979-02-01,0.13028316,0.35515532,-0.15080717,0.010559464,-0.55176985,0.04699707,0.06350555,-0.037032533
1979-03-01,0.92730045,-0.049227975,0.071834184,0.08090639,0.34548825,0.03301697,0.02662177,-0.020672703
1979-04-01,-1.1472647,0.18679862,0.38147965,-0.19735809,-0.18397284,-0.08715286,0.019780422,0.022011304
1979-05-01,-0.08090649,0.14485817,0.1754955,0.039412122,-0.49689025,-0.40007025,0.06514156,0.09072224
1979-06-01,0.4826126,-0.043427657,0.39337766,-0.11362591,-0.35842732,-0.31351233,-0.15943325,0.062613204
1979-07-01,0.18129578,0.20524044,0.24167815,0.16448987,-0.21267676,-0.33210295,-0.24911432,-0.17237225
1979-08-01,-0.14991483,-0.056961726,0.118533805,-0.05131016,0.11451825,-0.46476564,-0.221749,-0.3087532
1979-09-01,0.0431303,0.2242773,0.20910737,0.02097022,-0.027365398,-0.28168517,-0.13415003,-0.047443293
1979-10-01,-0.08194747,-0.1259701,-0.013534022,-0.2782645,-0.12671371,-0.5919255,-0.029893732,-0.074065015
1979-11-01,0.17832127,0.25714555,0.03941212,0.012492901,0.9568968,-0.35664263,0.046550892,0.0034206747
1979-12-01,0.69082767,0.22130282,-0.43561554,-0.018888067,0.22740054,0.5505799,0.068710946,-0.0001487732
1980-01-01,-0.079363324,0.21464474,-0.19214268,-0.16479006,0.1421533,-0.13029595,0.035033084,-0.052684404
1980-02-01,0.47658414,0.009970939,0.1589962,0.020615578,0.040961694,0.21302783,-0.057804488,-0.14767781
1980-03-01,-0.14673457,0.18769625,0.14444394,-0.13757205,-0.31839645,0.13797632,-0.09324181,-0.08421407
1980-04-01,1.3156254,0.18580985,-0.08987323,-0.09714933,-0.03099079,-0.54530275,-0.054840196,-0.0024253607
1980-05-01,-0.5475935,0.14296179,0.37364087,0.075994745,0.61119187,0.16061302,-0.07222195,0.174222
1980-06-01,0.33106226,-0.18257599,0.12773587,0.12948754,-0.23539504,-0.4538126,-0.21127625,0.13649411
1980-07-01,-0.25857082,-0.21383628,0.2822855,0.034494065,-0.1402669,-0.61887217,-0.043387078,-0.09027739
1980-08-01,-0.4000504,0.13676357,0.42888528,0.08731313,-0.20197897,-0.37323666,-0.11412692,-0.03853645
1980-09-01,0.040153313,0.48103052,0.40180212,-0.066562794,-0.08246239,-0.093780756,-0.11035409,-0.13150863
1980-10-01,0.45718116,0.44950086,-0.012261557,-0.059151936,-0.15535808,-0.04877677,-0.15118106,-0.017920732
1980-11-01,-0.15966983,-0.014821673,-0.067640685,0.101191595,0.55028826,-0.42740306,0.05039368,-0.19726297
1980-12-01,-0.50218517,0.3119288,-0.051471613,-0.13986267,-0.18540573,-0.5087875,-0.29724187,0.06305945
1981-01-01,1.1181589,0.26562443,-0.16402474,-0.07975779,-0.4410634,0.01831894,-0.34143656,0.019305324
1981-02-01,-0.27591115,0.21940431,0.052420236,-0.12175045,-0.021137238,0.056365967,-0.07088013,0.20432635
1981-03-01,0.32325858,0.32213125,-0.09483576,-0.066934586,-0.19939442,0.45557755,0.10272694,-0.052561186
1981-04-01,-0.12090492,-0.4913699,-0.100190446,-0.055097677,0.25547847,0.63200295,0.109208964,0.10977268
1981-05-01,0.17586164,0.2966257,0.21221772,-0.087367155,-0.111040875,0.2160224,-0.12386413,0.13415089
1981-06-01,0.27957496,0.25632405,0.36201018,0.12414594,-0.48136503,-0.053406715,-0.22391367,-0.17698899
1981-07-01,-0.4682599,0.07947588,0.15246983,0.055520393,-0.110477164,-0.49165177,-0.031423997,-0.053688575
1981-08-01,-0.113013744,-0.100190446,0.05115204,0.22391367,-0.17078876,-0.22306815,-0.072289325,-0.17191601
1981-09-01,-0.6713182,0.065102674,0.3961115,0.06369348,-0.20714474,-0.1519061,-0.04847469,-0.072571136
1981-10-01,-0.68639594,0.31663555,0.112168215,0.13570094,-0.14838333,-0.10498152,-0.20559463,-0.21926346
1981-11-01,0.100049496,-0.023110008,-0.059466027,0.031846713,-0.56915486,-0.35552806,-0.08553533,-0.20742655
1981-12-01,0.08412609,0.12499142,0.14260578,0.09244003,-0.05270214,-0.056788635,-0.16388397,0.08539438
1982-01-01,-0.23738007,0.51747257,-0.18628474,-0.094339944,-0.2872778,0.0051893233,-0.2573391,-0.046837233
1982-02-01,1.1248939,0.16739015,-0.3486187,-0.05388956,-0.0775743,0.467974,-0.0027942657,-0.028741073
1982-03-01,-1.1576269,0.10232358,0.09513831,-0.05655074,-0.47010297,0.33158693,-0.04790182,0.22500543
1982-04-01,-0.7540542,0.090481184,0.24429917,-0.21209855,0.21223164,-0.25361347,-0.17909952,-0.16020492
1982-05-01,0.003858757,0.14995924,0.005721569,-0.030870056,-1.2383946,-0.039119817,-0.19679657,-0.051760577
1982-06-01,0.6511984,0.13824992,0.33544564,0.09700112,-0.39199638,-0.032732915,-0.26412526,0.12361331
1982-07-01,0.44202718,0.09686804,0.28315282,0.18841381,-0.2144936,-0.51427907,-0.15554781,-0.51401293
1982-08-01,-0.23764615,-0.0019960403,0.096468925,0.12933484,-0.16353145,-0.47688898,-0.23591638,-0.17351098
1982-09-01,0.01570115,-0.076909065,0.33624402,-0.096868135,-0.28634632,-0.08662243,-0.19466758,-0.31029734
1982-10-01,0.34276402,0.43178153,0.20038919,-0.24762568,-0.46810713,0.081566095,-0.12387943,0.036990833
1982-11-01,0.6635731,0.25175056,0.48048168,-0.07877185,0.33544564,-0.29938626,0.11376681,-0.1100411
1982-12-01,0.013039922,0.0123746395,0.013306093,-0.15701146,0.91612196,-0.3052408,0.06346989,-0.01876154
1983-01-01,-0.116163924,0.2166336,-0.07458105,-0.14460126,-0.52206695,0.07793446,0.084373094,-0.24694891
1983-02-01,-0.26089936,-0.041180514,0.22280402,-0.065325454,0.51254314,-0.04024153,-0.093896866,-0.010060382
1983-03-01,0.33896792,0.24225411,0.4956417,-0.029510498,-0.013011431,0.16472206,0.009255504,-0.06264267
1983-04-01,-0.038095333,0.30637226,0.016364884,0.03702221,-0.4164999,0.42763346,0.08517792,-0.09242139
1983-05-01,-0.55372363,0.19530559,0.061837833,-0.062776804,-0.8083183,0.23004751,-0.0749834,0.06116712
1983-06-01,0.8009408,0.14956436,0.17451414,0.25271687,-0.51053107,-0.32340783,-0.30744535,0.026022887
1983-07-01,-0.25150967,-0.31804237,0.47310638,0.20254906,-0.3207251,-0.49269062,-0.010999394,-0.17438002
1983-08-01,0.38162392,0.021328067,0.21609709,-0.016499043,-0.13118744,-0.3982571,-0.116566375,0.0009389877
1983-09-01,0.07364203,0.39101362,0.39168435,-0.056069873,-0.35640594,-0.17612383,-0.07136164,-0.1079814
1983-10-01,0.33011478,0.4273652,0.030181145,-0.13199225,-0.64788884,-0.048155714,0.13440675,-0.0004023552
1983-11-01,-0.49872684,0.20617084,0.22266987,0.028571486,-0.16445379,0.03970499,-0.09725039,-0.14688163
1983-12-01,0.50959206,0.3730391,-0.21113393,0.010462808,-0.35050383,-0.26774034,-0.17692864,-0.0072434666
1984-01-01,0.14273472,0.3766024,-0.19393888,-0.15905118,-0.15241852,-0.12986755,-0.038204096,-0.14591852
