,r600GLB_cluster1,r600GLB_cluster2,r600GLB_cluster3,r600GLB_cluster4,r600GLB_cluster5,r600GLB_cluster6,r600GLB_cluster7,r600GLB_cluster8
1984-07-01,67.71851,10.527672,42.06307,74.71799,20.101063,39.78955,25.188158,56.37391
1984-08-01,68.64269,13.745068,38.560047,72.51998,26.764027,43.65699,24.29845,51.08819
1984-09-01,57.96455,21.218945,43.07589,69.26155,31.045132,53.653896,38.172646,52.058334
1984-10-01,53.68837,13.249325,48.548744,75.084045,49.116714,27.630753,31.503117,61.152397
1984-11-01,39.868343,15.847862,37.39128,76.38906,51.95656,17.085575,25.431105,71.40538
1984-12-01,48.77035,17.579678,39.27247,68.637764,56.909046,17.35971,34.295357,55.93234
1985-01-01,61.85514,22.340473,31.604748,61.531948,56.846493,14.400135,28.602512,74.950134
1985-02-01,39.627113,21.592373,37.289307,75.420975,65.91882,17.295734,28.597591,47.016224
1985-03-01,43.707203,15.792976,31.914814,75.68183,47.342697,18.855911,32.648148,69.8086
1985-04-01,36.477226,29.134056,43.38237,80.288536,39.110336,23.526602,34.004898,65.43157
1985-05-01,66.43232,12.928547,46.5421,75.780266,22.514374,15.692902,27.368807,72.64842
1985-06-01,62.51301,12.633244,45.101685,76.85976,20.343903,34.13614,25.941515,40.672157
1985-07-01,73.02083,13.112289,41.446503,73.951035,21.215046,45.84322,27.17358,49.027557
1985-08-01,76.61039,16.613258,56.234562,75.353714,30.472757,42.09945,25.014595,42.95418
1985-09-01,65.07229,16.091557,36.57894,78.57743,28.410566,53.7327,28.30557,48.36149
1985-10-01,43.741653,21.160908,45.506905,78.17877,35.983418,53.99519,34.4823,52.98624
1985-11-01,44.36999,26.520634,36.552696,71.30316,60.076767,28.139874,34.703777,50.815773
1985-12-01,49.58863,23.011463,34.206688,71.27855,62.880493,18.842785,32.59729,67.66766
1986-01-01,30.453365,11.644794,34.75898,69.8764,56.495373,19.03733,25.365356,70.09128
1986-02-01,46.709732,16.034061,38.823483,68.22305,59.575733,13.340797,30.819138,70.15689
1986-03-01,32.544662,19.903374,33.879814,68.4412,49.749084,16.52285,33.05642,76.72603
1986-04-01,68.03114,20.382324,41.93829,73.965515,32.423286,28.366987,32.36588,69.06613
1986-05-01,71.28537,16.294857,43.62445,71.37558,20.636559,30.75845,26.234682,66.84197
1986-06-01,65.99889,12.568245,45.340134,70.13393,21.446835,33.612457,25.842665,45.87321
1986-07-01,68.07051,15.233627,53.910362,74.244354,17.1445,48.000595,32.260902,40.304615
1986-08-01,70.70309,26.02145,42.454964,64.41934,24.476349,51.25318,40.503082,17.441383
1986-09-01,67.91305,11.76289,36.153183,76.20935,24.984823,46.811424,26.794,32.73329
1986-10-01,55.886845,15.605961,46.41777,77.74297,42.327026,62.09841,28.719637,34.516228
1986-11-01,46.870476,9.830692,40.096306,73.11423,40.389908,17.315086,25.17837,58.324234
1986-12-01,41.644688,11.543098,47.19032,73.99011,59.257526,16.342426,29.316683,69.09566
1987-01-01,42.27791,20.255085,34.423973,73.10568,70.43416,16.508846,35.71556,52.122234
1987-02-01,45.031364,14.1537895,36.37581,73.59244,40.653786,12.2132,31.346016,74.31695
1987-03-01,13.925674,17.365082,38.0176,69.531334,48.135025,24.8913,35.053703,65.10556
1987-04-01,42.877113,23.24469,32.89303,65.29673,39.375053,18.149029,29.02791,67.66785
1987-05-01,67.86384,27.407001,46.917336,70.2703,31.76048,39.037697,34.685825,62.17861
1987-06-01,60.470955,15.418064,49.861958,72.655876,18.61972,45.44422,24.22141,60.625175
1987-07-01,65.587494,17.421307,41.497173,66.030876,26.987719,39.49875,23.24469,40.92849
1987-08-01,73.80289,10.900726,42.976715,68.13051,21.861536,47.04746,27.558008,34.289032
1987-09-01,68.8759,14.254997,37.831253,72.37796,31.848835,50.795307,38.36781,46.274757
1987-10-01,57.023514,12.070225,45.587196,72.461494,40.825676,38.62645,25.840714,48.33583
1987-11-01,37.556553,16.415672,37.00072,77.9411,51.876446,27.617447,25.81019,45.537395
1987-12-01,22.210136,17.279942,40.07386,65.52966,55.262844,17.62854,32.692223,59.58259
1988-01-01,41.96444,17.068295,36.736687,71.1291,63.57573,19.112164,31.14902,71.218666
1988-02-01,53.976864,31.004076,31.774395,69.256226,64.772736,23.595654,37.13406,65.450226
1988-03-01,25.66558,21.012722,37.059147,68.83931,57.458775,23.309023,31.816738,64.883484
1988-04-01,40.58503,16.377773,31.893282,72.68276,38.974358,16.928234,35.209076,72.70231
1988-05-01,59.70459,20.31406,41.707123,67.37033,30.3901,22.620132,34.244957,69.68943
1988-06-01,68.16996,11.814484,38.523243,62.39012,19.809196,39.176304,23.419765,61.83803
1988-07-01,69.94349,11.993629,43.438305,75.08004,21.327038,40.257683,23.90834,33.443695
1988-08-01,80.19216,13.592899,48.7198,74.75107,17.63504,44.013195,25.800755,24.320372
1988-09-01,67.60322,14.074959,46.035892,72.0183,34.47947,48.72957,25.771439,43.85848
1988-10-01,52.481823,11.387798,36.590115,75.566986,40.850487,39.510162,34.292183,59.0841
1988-11-01,35.479424,22.867676,37.795265,74.65661,48.59928,30.035069,28.04494,60.352764
1988-12-01,41.40909,17.680641,35.19279,71.785416,64.62779,10.265705,26.3903,71.94827
1989-01-01,31.538963,20.462006,42.277397,58.70567,63.877956,15.7340355,24.802624,57.499672
1989-02-01,41.55152,18.940266,37.92213,73.48526,62.593838,17.641499,27.450611,64.906555
