,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8
1978-10-01,19.841919,27.287231,27.593628,18.961823,23.566254,23.544037,13.615051,16.513397
1978-11-01,20.993652,27.461212,26.550201,16.993347,24.696716,22.364777,15.346222,17.490662
1978-12-01,22.84903,27.436096,25.198883,14.844574,25.334686,20.5896,16.612976,19.473175
1979-01-01,24.237152,27.437164,24.179138,13.181213,26.08957,18.56195,18.015076,20.852417
1979-02-01,24.718262,27.555145,23.053467,13.023102,26.65094,17.970581,17.97638,21.372711
1979-03-01,25.125397,27.4628,22.752716,12.765381,26.928497,17.961395,17.751556,20.974274
1979-04-01,23.325684,27.77707,23.075714,13.05838,27.18814,18.562897,16.82074,20.737823
1979-05-01,22.240173,28.098633,24.172852,13.420074,26.582275,19.772705,15.169983,19.990295
1979-06-01,21.304535,28.633911,26.046051,15.873993,25.598785,21.356262,14.381805,18.591919
1979-07-01,20.6745,28.122803,26.819214,19.89795,24.44989,23.360016,13.464569,17.072662
1979-08-01,20.444824,27.805115,27.48117,22.610077,23.79181,24.697968,12.910919,16.431519
1979-09-01,20.563751,27.638306,28.154724,21.739716,23.930115,25.238556,13.641998,15.965393
1979-10-01,20.534271,27.457947,27.551758,18.940552,24.528229,24.220703,13.847504,16.539825
1979-11-01,21.615448,27.976776,26.150482,16.972565,25.192596,22.564606,15.023468,17.637909
1979-12-01,22.892944,28.141174,25.117676,14.685944,25.944489,20.919159,16.371552,19.57251
1980-01-01,24.749573,28.131134,23.806793,13.56958,26.401001,19.989746,18.085419,20.997345
1980-02-01,25.367188,27.643646,23.735046,12.714905,27.030975,19.116272,18.055725,21.532318
1980-03-01,25.601257,27.62088,23.396545,12.592682,27.17746,18.786194,17.34259,21.6669
1980-04-01,24.412537,28.067291,23.678131,12.17746,27.206665,18.968292,16.485962,21.056213
1980-05-01,23.360413,28.34787,24.671875,13.507233,26.54898,20.168884,15.370483,19.633911
1980-06-01,22.417175,28.168243,26.611328,17.423767,25.330078,22.242462,13.941742,18.129974
1980-07-01,21.154205,28.420135,27.12204,20.823639,24.297241,23.843933,13.321655,16.903625
1980-08-01,20.232239,28.146942,27.641174,22.733887,24.009216,25.531982,12.109161,16.5112
1980-09-01,20.112976,27.784698,28.030151,21.79065,23.713776,25.5018,12.406097,16.77298
1980-10-01,20.781067,27.598114,27.29477,17.917664,24.465485,23.810272,13.613129,16.849182
1980-11-01,21.004272,27.698578,26.627167,15.526855,24.73175,22.278595,14.730103,17.581635
1980-12-01,23.010529,27.666412,25.362732,13.5651245,25.087555,20.586578,16.103394,18.945038
1981-01-01,24.508118,27.717834,24.315338,12.295166,26.080414,19.734802,17.617523,20.48941
1981-02-01,24.480927,27.485596,23.429993,11.875305,26.465424,18.759216,17.99945,20.63144
1981-03-01,25.016144,27.877258,23.456665,11.911713,26.632019,18.873535,17.961517,20.566833
1981-04-01,24.167206,27.936737,23.479736,12.882172,26.426971,18.558777,16.647095,20.171051
1981-05-01,22.848663,28.241241,24.741882,13.245117,25.899445,19.4841,15.68277,19.245209
1981-06-01,21.238403,28.407349,26.45517,14.219666,24.828522,22.231415,15.022491,18.496216
1981-07-01,20.441223,28.011566,27.425629,19.068848,23.852936,23.188019,14.637482,17.348389
1981-08-01,20.304352,27.78653,27.730133,21.865906,22.995789,24.203583,13.379425,16.428192
1981-09-01,20.090057,27.746033,28.32431,21.15332,22.994232,24.67215,12.999054,15.90271
1981-10-01,20.60785,27.94339,27.512756,19.817322,23.460236,23.823212,13.133881,16.394867
1981-11-01,21.587006,27.992096,26.31778,16.673218,24.590118,21.724915,14.275543,17.834381
1981-12-01,22.83789,27.878296,24.96283,14.876892,25.208405,20.076233,15.5156555,18.64386
1982-01-01,23.905792,27.726044,23.687988,13.342285,25.5961,19.070648,17.379333,20.368439
1982-02-01,24.740936,27.49472,23.217346,12.884674,25.89502,18.617035,18.81131,20.878632
1982-03-01,24.831055,27.7706,23.27243,12.786041,26.284058,18.532928,18.978516,20.244263
1982-04-01,24.173157,27.835175,23.678986,13.810944,26.62854,18.452301,17.163544,19.237885
1982-05-01,23.062134,28.302338,24.39096,15.207367,26.12033,19.960388,15.9904175,18.7417
1982-06-01,21.84848,28.56018,26.182404,16.330902,25.205566,22.489838,14.504395,18.205963
1982-07-01,21.295715,27.550781,27.154236,19.370056,24.403473,23.869232,13.63269,16.865143
1982-08-01,20.429535,27.527252,27.594849,22.720673,23.378082,24.581207,12.994812,16.238281
1982-09-01,20.196716,27.178284,27.759583,20.228241,23.652954,24.590729,13.116974,15.973419
1982-10-01,20.879639,27.193298,26.986023,18.39624,24.317352,24.228241,12.947266,16.70993
1982-11-01,21.35379,27.619385,25.557068,17.18808,24.77948,22.438782,13.528564,17.598145
1982-12-01,21.777863,27.9133,24.383942,14.9635315,25.859985,20.682861,15.29248,19.619415
1983-01-01,23.117828,27.828552,23.465576,13.021149,26.870667,19.49472,17.278015,21.655945
1983-02-01,24.03952,27.891235,22.6008,12.108643,26.967133,18.68396,18.356964,21.415283
1983-03-01,23.943054,28.35907,22.880524,11.485474,27.410858,18.282196,17.210968,20.714966
1983-04-01,22.926819,28.82547,23.030518,12.1467285,27.26184,18.467896,17.097626,20.160309
1983-05-01,21.504028,28.622894,24.040955,13.407013,26.53305,18.986359,15.241241,19.104523
1983-06-01,20.885223,28.662445,25.8284,15.322754,25.798004,20.83554,13.884979,17.824493
1983-07-01,20.090363,27.581604,27.227112,18.46112,24.886932,22.451752,12.854767,16.742645
1983-08-01,19.49231,27.557953,27.140778,22.75705,23.914124,23.768951,12.78241,16.535278
1983-09-01,19.477356,27.532898,27.66986,22.736328,23.706726,24.559448,12.3927,16.125793
1983-10-01,19.743103,27.644287,27.143646,19.30371,23.76944,23.270233,12.709106,16.348602
1983-11-01,20.48587,27.554108,26.357025,16.27771,24.876312,21.282623,13.5512085,17.54425
1983-12-01,22.334564,27.579681,24.93518,13.848816,25.75412,19.72284,15.652649,19.663513
1984-01-01,23.975647,27.430359,23.840515,12.49884,27.12796,19.081116,16.982544,21.74591
1984-02-01,25.467896,27.236359,23.23471,12.244446,28.17279,18.264954,17.3107,21.492493
1984-03-01,25.252106,27.455109,23.248077,12.015778,28.201996,17.897217,17.56363,21.500916
1984-04-01,24.109283,27.71347,23.674713,12.011322,27.426422,18.544617,16.99591,20.683258
1984-05-01,22.644745,27.911469,24.40921,12.689392,26.39743,19.527557,15.062653,19.564697
1984-06-01,21.318268,27.724365,25.658966,15.049774,25.542145,20.964874,13.536255,18.210022
1984-07-01,20.369476,28.201508,25.842102,18.86087,24.700745,22.823425,12.854706,17.25528
1984-08-01,20.298706,27.982239,26.804749,21.834991,24.275085,24.121155,12.795807,16.613312
1984-09-01,20.293732,28.20694,27.593689,22.956055,23.8331,24.561676,12.851227,16.513336
1984-10-01,20.174957,27.863953,27.287811,18.661896,24.10434,23.850433,12.721558,16.656372
1984-11-01,21.259369,27.896118,25.998505,16.138184,24.921478,22.406677,13.421417,17.262207
1984-12-01,22.941223,28.279205,24.821014,14.684998,25.690125,20.718414,16.390106,19.54538
1985-01-01,25.147095,27.776917,23.834686,12.943787,26.72519,19.839539,17.40683,20.81311
1985-02-01,25.404724,27.199127,23.203949,12.196075,27.687164,18.865936,18.06128,21.688873
1985-03-01,24.419037,27.03424,23.564453,13.013367,27.317108,18.67688,17.484467,20.575134
1985-04-01,23.574524,27.434082,23.681915,13.448486,26.976776,18.86847,16.708527,19.82843
1985-05-01,22.652893,27.780945,24.769958,14.82489,26.465546,19.843567,15.760162,18.790833
1985-06-01,21.66217,28.127838,26.954102,16.38385,25.814117,21.869873,14.485077,17.794037
1985-07-01,20.400696,27.866669,27.581299,20.775787,24.32074,23.643097,13.275024,17.04837
1985-08-01,19.96054,27.961456,27.235931,23.074371,23.449493,25.01297,12.860596,16.623322
1985-09-01,19.747253,27.845978,27.989166,23.04715,23.673859,25.169281,12.768829,16.37326
1985-10-01,19.767426,27.818268,26.886536,19.88086,24.64038,23.34967,13.010834,16.678802
1985-11-01,20.203033,28.219604,25.10321,18.183289,25.401184,21.217468,13.600739,18.185303
1985-12-01,21.222504,27.906982,24.32779,14.948944,25.977997,19.96054,14.598511,20.048248
1986-01-01,23.957947,27.473724,23.931732,13.564331,26.325409,19.469086,16.581238,21.189728
1986-02-01,23.981049,27.145355,23.259216,12.492615,27.387177,18.770325,17.90213,21.614105
1986-03-01,24.445312,27.336304,23.459076,11.686859,27.689331,18.765594,17.47461,21.802948
1986-04-01,23.978943,27.609589,23.614868,12.833588,27.34311,18.668549,16.439606,20.685059
1986-05-01,22.414642,28.383362,24.592194,13.998169,26.880432,20.530853,15.06308,20.206635
1986-06-01,21.10315,27.95163,25.997559,16.394989,25.67334,21.881653,14.3591,18.369537
1986-07-01,19.900818,27.840424,27.160553,19.916534,24.50772,24.179321,13.429535,17.437347
1986-08-01,19.30487,27.604889,27.583374,22.66748,24.006226,25.276764,12.991486,16.712372
1986-09-01,18.90094,27.573944,28.050262,20.922699,23.978943,24.883331,13.160919,16.283783
1986-10-01,19.340546,27.793732,27.377747,17.703857,24.529236,23.579193,13.710693,17.223328
1986-11-01,19.919708,27.79898,26.132904,15.414032,25.100494,22.416718,14.188599,18.05951
1986-12-01,21.057526,27.664154,24.935791,13.326172,25.70639,20.745392,16.248108,20.060822
1987-01-01,22.974518,27.239746,23.980042,12.448822,26.210663,19.611969,18.549622,21.805206
1987-02-01,24.709778,27.09134,23.567078,11.710388,27.197784,18.76709,18.641205,22.126587
1987-03-01,24.496887,27.525269,23.262604,11.216583,28.0672,18.59259,18.404297,21.812378
1987-04-01,23.578339,27.864563,23.784576,12.0512085,27.924438,18.971283,17.22116,21.354889
1987-05-01,22.033447,28.586609,24.539368,14.355011,26.97107,19.647766,16.25708,20.071472
1987-06-01,20.94757,29.158203,26.076569,17.390045,26.461914,22.26474,15.23465,19.531616
1987-07-01,20.09143,28.731934,27.624542,19.06186,25.416443,24.508148,13.846344,17.96933
