,mgv850GLB_cluster1,mgv850GLB_cluster2,mgv850GLB_cluster3,mgv850GLB_cluster4,mgv850GLB_cluster5,mgv850GLB_cluster6,mgv850GLB_cluster7,mgv850GLB_cluster8
1971-08-01,0.38552016,-1.45441,-0.062477876,-0.4367693,0.033254363,0.41949424,-0.31771582,0.1285547
1971-09-01,0.3560087,-0.50730884,-0.061614133,-0.5129232,0.013244152,0.26776233,-0.2074438,0.114878654
1971-10-01,0.1065291,-0.2477521,-0.07888911,-0.5209848,0.06319766,0.3731397,-0.18685777,0.11257534
1971-11-01,0.08205618,0.43590546,-0.17894009,-0.4256845,-0.0048945905,0.7816933,-0.022745395,0.11041598
1971-12-01,0.18297093,0.4733347,-0.30835855,-0.33686227,0.0067660334,0.5696427,0.07226703,0.13604052
1972-01-01,0.0046033384,0.22372296,-0.2719924,-0.51833755,0.06760354,0.701551,-0.029724503,0.11429467
1972-02-01,0.01525681,0.37418684,-0.2714663,-0.5188636,0.02775166,0.58304757,0.085359335,0.14454529
1972-03-01,0.09509213,0.48453584,-0.32184014,-0.53793466,0.09101486,0.6619622,-0.10508795,0.1196872
1972-04-01,0.017624259,0.31197587,-0.19031577,-0.43179455,0.065762185,0.44599915,-0.16598375,0.07773092
1972-05-01,0.49216422,0.20636177,-0.023805905,-0.30881923,0.024068927,0.4736193,-0.26738906,0.097064994
1972-06-01,0.37602818,-1.0049778,-0.09588127,0.12507968,-0.05260973,0.39062738,-0.27107173,0.06891878
1972-07-01,0.47256708,-1.652867,-0.10679779,-0.33920136,0.04064102,0.5710789,-0.32197168,0.06865573
1972-08-01,0.31250194,-0.63421065,-0.08457017,-0.021570016,-0.0101273535,0.2651531,-0.283172,0.009732795
1972-09-01,0.25739318,-0.70352393,-0.07852006,-0.077599406,0.013283944,0.29316783,-0.18492329,0.02459507
1972-10-01,0.29856035,-0.11902957,-0.12547426,-0.28803837,0.03248651,0.25449964,-0.10811305,0.06576216
1972-11-01,0.08917353,0.47651282,-0.22793174,-0.29579833,0.045902014,0.3828675,-0.036432244,0.08720064
1972-12-01,0.08812134,0.5755507,-0.27935776,-0.4168008,0.03906274,0.47940636,0.03130281,0.1175828
1973-01-01,0.12854227,0.3479506,-0.32828146,-0.48064843,0.03615252,0.48244914,0.071750976,0.09252827
1973-02-01,0.09405195,0.30888933,-0.22023945,-0.37939364,0.03213557,0.36845094,-0.057345368,0.08629508
1973-03-01,0.044878982,0.30736566,-0.30916634,-0.6900836,0.054298032,0.3422715,-0.11192044,0.13546804
1973-04-01,0.10790348,0.4652732,-0.23118217,-0.4699827,-0.012050843,0.38368765,-0.30833524,0.11095083
1973-05-01,0.33783904,-0.08310922,-0.22107056,-0.41097516,-0.005263579,0.22979708,-0.26955095,0.08948094
1973-06-01,0.48480383,-1.4699253,-0.14239381,-0.17245165,0.03158152,0.29212895,-0.4357694,0.07396722
1973-07-01,0.36498803,-1.2782199,-0.010665685,-0.38770455,0.016621828,0.4256578,-0.41374546,0.052220304
1973-08-01,0.3619407,-0.89771825,-0.16718806,-0.3169232,0.044047914,0.23575318,-0.38978228,0.12383275
1973-09-01,0.19336747,-0.7309457,-0.1116434,-0.3367309,0.0004155457,0.08657211,-0.28922015,0.06717996
1973-10-01,0.188935,-0.18477955,-0.15195139,-0.33520722,0.028811201,0.6316301,-0.18782686,0.0666259
1973-11-01,0.006371708,0.32384896,-0.19115123,-0.34130192,0.017037392,0.6029574,-0.056237243,0.08449438
1973-12-01,0.067179956,0.52857465,-0.34518036,-0.35362977,0.019807702,0.72166514,-0.009973112,0.10956566
1974-01-01,0.16024698,0.39795133,-0.2995861,-0.49786013,0.041535128,0.5043149,-0.10285555,0.13428752
1974-02-01,0.06847682,0.3503824,-0.31881008,-0.6172736,0.038588367,0.41928014,-0.06777521,0.15758087
1974-03-01,0.10089104,0.38714656,-0.20136113,-0.31249565,0.035781942,0.5452887,-0.060197867,0.123342454
1974-04-01,-0.017540168,0.0827896,-0.18101454,-0.39219818,0.02413528,0.24345753,-0.14747775,0.13077949
1974-05-01,0.37830633,-0.12937626,-0.09247176,-0.34897918,0.016557932,0.3900933,-0.18536451,0.09275242
1974-06-01,0.46081534,-0.71072763,-0.1589841,-0.13555042,0.0023854494,0.4860731,-0.2465446,0.07942189
1974-07-01,0.40693188,-1.1827686,0.013611173,-0.08784117,0.017680477,0.54725325,-0.3411212,0.073247746
1974-08-01,0.32891324,-1.0011928,-0.0524802,-0.3484179,0.031431984,0.26632988,-0.34434858,0.060899474
1974-09-01,0.1761033,-0.68224233,-0.030169081,-0.26983795,-0.018382097,0.100049116,-0.3247036,0.080123484
1974-10-01,0.038307726,-0.30112958,-0.048972152,-0.4215253,0.025819134,0.2814846,-0.19813375,0.04869151
