,mgu200GLB_cluster1,mgu200GLB_cluster2,mgu200GLB_cluster3,mgu200GLB_cluster4,mgu200GLB_cluster5,mgu200GLB_cluster6,mgu200GLB_cluster7,mgu200GLB_cluster8
1973-09-01,-0.7498768,1.7335716,-1.2942855,1.0639709,-2.7618642,-0.031855393,2.4729362,0.5463203
1973-10-01,-0.11563492,0.45139122,-1.1098427,1.859082,-2.7287345,0.3504097,-1.5089909,0.81645393
1973-11-01,0.19877777,-0.118183896,-0.8107201,3.082011,-2.080477,0.04300461,-1.6727276,1.2799504
1973-12-01,0.90851593,0.7304443,-0.16086999,3.394513,-1.3736054,-0.28956565,-2.053081,2.7360616
1974-01-01,1.0354538,-1.9275879,-0.5548714,3.5596604,0.61371154,0.40234756,-3.1497512,1.9933307
1974-02-01,0.91415787,-0.76229113,-0.7198868,3.6260605,-0.19459915,0.03057022,-2.8207078,1.9358056
1974-03-01,0.29452896,0.84216917,-1.1067848,1.8809102,-0.80896837,-0.08152161,-1.0101429,1.5301704
1974-04-01,-0.032543182,0.78694457,-0.8809574,2.3644505,-2.7848778,-0.16008453,-0.5860996,0.93815386
1974-05-01,-0.64132386,0.96445143,-1.7415345,1.4230095,-3.3318603,0.014792251,-1.4460194,0.9966652
1974-06-01,-0.5413948,1.640619,-1.7957729,1.3135468,-3.3630881,-0.0013145447,0.4914295,0.9845028
1974-07-01,-0.4565857,3.4547997,-1.1413002,0.7958199,-3.3502681,0.061469268,1.9374491,0.5469826
1974-08-01,-0.6209442,2.6895504,-1.6363456,0.46020126,-3.299646,-0.5203568,3.4968758,0.6584171
1974-09-01,-0.54796904,2.0281746,-1.5880245,1.5140632,-2.3598485,-0.16797371,-0.47302133,0.55191344
1974-10-01,-0.2521248,1.1705558,-0.87076724,1.5045307,-2.467667,-0.1403614,-2.5748286,0.5433666
1974-11-01,0.33627623,1.3079588,-1.433857,2.5077705,-2.6257794,0.11209221,-1.7398914,0.53843576
1974-12-01,1.2316967,0.5680202,-0.7521011,3.5629475,-2.1971345,-0.5837986,-2.8562088,1.9193695
1975-01-01,1.2493458,1.6844784,-0.55769235,3.2343636,-0.83891374,-0.14694443,-3.2201123,0.6869024
1975-02-01,1.1223519,0.16721268,-1.0111939,3.9101818,-0.21693344,-0.17069626,-2.373598,2.2187362
1975-03-01,0.29008943,0.40916443,-0.7119209,3.5558047,-1.4266922,0.15391159,-1.7037964,1.3706379
1975-04-01,-0.2872387,-0.1349102,-0.6539669,2.2982254,-2.3393953,-0.025968552,-2.4657547,1.3085667
1975-05-01,-0.55199164,0.7553074,-1.1242527,2.3910155,-3.0117297,0.41074792,-1.8947613,1.1473709
