,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8
1973-07-01,1.2493707e-05,4.3092514e-06,4.3269465e-06,9.731123e-05,-1.0847478e-05,-8.715098e-06,-3.571938e-05,1.7484017e-05
1973-08-01,1.1431941e-05,1.7433122e-06,4.424277e-06,8.2588056e-05,-3.9990773e-06,-7.5206044e-06,-4.1700667e-05,-3.7391663e-05
1973-09-01,7.140632e-06,1.8671853e-06,2.9201037e-06,0.000113476635,-5.538641e-06,-6.8105874e-07,-3.2480988e-05,-7.556002e-06
1973-10-01,4.654328e-06,5.4418015e-06,-2.0082662e-06,8.967535e-05,-5.750997e-06,3.804911e-06,-7.9809266e-05,9.88353e-06
1973-11-01,8.09622e-06,1.5398109e-06,-2.6630223e-06,8.2765015e-05,-9.493728e-06,3.4775367e-06,-4.8080125e-05,8.3941806e-05
1973-12-01,7.3175906e-06,-2.5037589e-06,-8.4319545e-06,7.297021e-05,-9.414092e-06,7.9657184e-07,-5.5397468e-05,7.7668534e-05
1974-01-01,1.0816078e-05,3.4340555e-06,-1.0659627e-05,2.148528e-05,-7.857045e-06,3.8540384e-06,-5.7374746e-05,0.00023096029
1974-02-01,6.890845e-06,4.29825e-06,-6.072114e-06,4.9365743e-05,-1.4714089e-05,2.052955e-06,-3.3112614e-05,0.00015336827
1974-03-01,3.3290635e-06,4.0559535e-06,-9.8196615e-06,4.6030105e-05,-1.0506177e-05,1.7137354e-06,-6.3666426e-05,0.00017941534
1974-04-01,3.668276e-06,3.539055e-06,-7.695511e-06,7.727044e-05,-6.669783e-06,-1.4119141e-06,-3.102077e-05,0.00015523397
1974-05-01,7.375442e-06,1.3664467e-06,6.0024176e-06,9.97638e-05,7.122362e-07,-2.9545408e-06,-9.003925e-06,0.00015617892
1974-06-01,1.4426325e-05,-5.504262e-08,1.2856763e-06,9.037877e-05,-1.3575285e-05,-5.902504e-06,-5.7915888e-05,8.810117e-05
1974-07-01,1.0969536e-05,1.8187347e-06,-6.9120797e-06,8.255254e-05,-9.504678e-06,-1.1556134e-05,-3.6819773e-05,1.5710506e-05
1974-08-01,1.33844405e-05,5.186681e-06,3.649402e-07,8.394172e-05,-4.174115e-06,-7.2270705e-06,-4.1746505e-05,3.7380054e-05
1974-09-01,6.0266466e-06,2.820234e-06,5.103211e-07,0.00010411709,-2.2922613e-06,-5.8378937e-06,-3.9468905e-05,3.621702e-05
1974-10-01,9.838808e-06,1.253371e-06,3.7894279e-06,8.827886e-05,-1.0950389e-05,1.6168196e-06,-5.891738e-05,5.275792e-05
1974-11-01,5.45321e-06,2.922534e-07,-2.9949297e-06,8.277061e-05,-6.815164e-06,2.674853e-06,-3.9791965e-05,6.527667e-05
