,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1969-05-01,-6.899383e-06,-2.7557253e-06,-9.851392e-06,-1.2667995e-05,6.8377267e-07,-2.3573288e-05,1.4143872e-05,-3.4632052e-05,1.0514788e-05,-3.4418263e-06
1969-06-01,-5.608439e-06,-5.4549673e-06,-5.1299794e-06,-1.5647092e-05,2.7330316e-06,-2.4864232e-05,1.9100004e-05,-2.4846173e-05,-6.709801e-06,4.3099863e-07
1969-07-01,9.666201e-06,-2.2501845e-06,-1.09256725e-05,-1.806648e-05,5.2697724e-06,-1.1656906e-05,1.4432753e-05,-2.0332394e-05,-1.3101315e-05,-3.8147846e-07
1969-08-01,1.2230026e-05,-3.279325e-06,-7.829221e-06,-9.029885e-06,7.5356947e-06,-8.686839e-06,1.715005e-05,-3.4975106e-05,-1.653179e-05,3.136447e-07
1969-09-01,1.2852928e-05,-1.7446437e-06,-1.598111e-05,-6.502167e-06,6.2086438e-06,-1.0239579e-05,1.7520179e-05,-4.6404e-05,-1.4455451e-05,-1.6453414e-06
1969-10-01,-5.1841416e-06,-9.5021824e-07,-5.5723285e-06,-1.4807527e-05,2.5073386e-06,-8.614617e-06,2.1934658e-05,-4.7722024e-05,-3.2161333e-06,-4.841095e-06
1969-11-01,-8.948635e-06,5.212787e-07,-1.0627766e-05,5.5947676e-06,9.816795e-07,-1.0374992e-05,1.4387613e-05,-7.484082e-05,-5.951486e-06,-4.536996e-07
1969-12-01,-9.31877e-06,-2.0154694e-06,-1.9203952e-05,-7.386865e-06,-2.05158e-06,-9.436124e-06,6.7141846e-06,-5.6090576e-05,7.355142e-06,6.669048e-06
1970-01-01,-6.5828463e-06,3.2785065e-06,-1.3243516e-05,9.153184e-06,-3.5928388e-06,-1.0253509e-05,2.5978552e-06,-5.2048796e-05,-1.0901749e-05,1.0222779e-05
1970-02-01,-6.372171e-06,-7.10144e-06,-8.681527e-06,-2.246473e-05,-2.0578591e-07,-1.4912734e-05,1.1697526e-05,-4.5639325e-05,1.4711843e-05,-6.676564e-07
