,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7
1973-06-01,0.20546722,0.64602774,1.4035492,0.5431347,2.7857559,-0.50904924,-2.1642566
1973-07-01,2.8042328,0.4128464,1.1901184,-0.5530098,0.84161985,-0.82664794,-2.6752174
1973-08-01,1.2694381,0.5115982,3.3148746,0.52147293,-1.183747,-0.55778885,-2.362079
1973-09-01,0.75433654,0.6571773,4.7598357,0.008919525,0.69285506,-0.61130524,-1.9387203
1973-10-01,0.7731308,0.42590675,3.2244048,1.0136391,0.75815886,-0.1634182,-2.51817
1973-11-01,-0.42240256,0.86614877,-1.1270447,1.3207254,4.4036922,-0.50841254,-0.91552466
1973-12-01,-1.3318748,1.8383758,0.35901183,0.7323559,4.625406,-1.0556881,-0.51064223
1974-01-01,-2.12909,1.5827652,-6.884946,0.18013611,5.7028856,-1.004226,-0.22155419
1974-02-01,-0.62127244,1.5439765,-2.6925087,1.1850197,4.4337144,-1.1307815,0.3287155
1974-03-01,0.4463955,1.5610695,-4.8781385,0.9845028,3.569193,-0.45428467,-1.7556694
1974-04-01,2.9068313,0.9549187,2.8614693,1.4867802,1.1090863,-0.3569851,-1.437144
1974-05-01,1.1777874,1.1810749,3.472879,1.3792902,1.0081704,-0.555529,-2.3470283
1974-06-01,3.3045769,0.74092484,0.8010796,1.139328,1.5505512,-0.33923417,-3.0116913
1974-07-01,1.8092499,0.1475933,1.1800888,0.0956562,1.1675972,-0.5683487,-2.3802288
1974-08-01,2.2063384,0.5742661,2.7953963,-0.5252876,-0.2044609,-0.72580415,-2.8262959
1974-09-01,0.8260624,0.3612587,2.7714005,0.22023925,0.8217888,-0.6048363,-2.5429428
1974-10-01,0.56111753,0.48880005,3.4949028,1.5505508,1.7162235,-0.18177947,-1.1935661
1974-11-01,1.2563508,0.79680634,1.6274704,1.155106,3.796664,-0.5818264,-2.1221871
1974-12-01,0.73237836,1.8043194,-2.8716583,1.3825772,4.847567,-1.2073715,-2.153744
1975-01-01,0.21344948,1.3015995,-4.118247,0.4383003,5.0885887,-0.82498014,-0.5393246
1975-02-01,1.0229114,2.0008526,-3.6523957,0.7144545,4.1869698,-0.6926033,-0.48643723
1975-03-01,0.2910389,1.3402355,-1.813372,1.8064047,3.4766319,-1.1480042,-0.73757327
1975-04-01,1.1435709,1.3136333,-0.15549469,1.2515621,1.4460106,-0.6029793,-1.9970526
1975-05-01,1.1882244,0.90098536,2.3447795,1.6220906,2.2887244,-0.35944444,-2.6085825
1975-06-01,2.4540374,0.57922745,1.944165,0.42278212,2.2003682,-0.34835967,-2.362514
1975-07-01,2.6801543,0.69418603,2.452454,-0.77399254,-0.3116234,-0.4763031,-2.641835
1975-08-01,0.8731171,0.6726513,2.869536,-0.12667617,-1.1758732,-0.5523087,-1.8719597
1975-09-01,1.2876648,0.5703598,3.2197957,0.6232475,0.39839706,-0.49752122,-1.6718109
1975-10-01,-0.14156075,0.48232,2.908488,1.1464207,1.727232,-0.937088,-0.9725574
1975-11-01,0.91143644,0.9548229,2.4366195,1.7072804,1.9140794,-0.3043396,-1.817172
1975-12-01,-2.1915004,1.183157,-1.4773636,0.80914515,4.6243196,-1.0229114,-0.563393
1976-01-01,-1.70419,2.096093,-3.9768906,1.2039669,5.238719,-0.90860975,0.012110138
1976-02-01,-1.4158971,1.7896347,-1.9611969,0.03834915,3.546639,-0.3713829,-0.40905914
1976-03-01,1.3206966,1.9215027,0.47398376,-0.07972641,3.2489269,-0.45413628,0.0057186126
1976-04-01,1.1545162,1.3523182,1.6806427,1.5164797,2.1566443,-0.33236083,-1.825293
1976-05-01,2.1663997,0.58499527,1.819238,1.6947705,1.8360577,-0.3427887,-2.4321542
1976-06-01,3.4305816,0.7864975,2.5805054,1.0098652,0.54059064,-0.4988777,-2.923631
1976-07-01,4.3435655,0.2479248,2.1953301,0.25734407,0.6260357,-0.96377945,-2.9357414
1976-08-01,4.123561,0.34144324,3.7198837,-0.56615674,-0.87160647,-0.33236083,-2.5361009
1976-09-01,6.006377,0.33976135,3.941906,-0.27214584,0.21293983,-0.7091255,-3.0511253
1976-10-01,2.4483013,0.42251548,3.2152874,1.5464195,2.3157604,-0.67313117,-2.5858877
1976-11-01,1.5854416,0.50695115,3.7286294,2.0254493,3.7626064,-0.9069279,-2.532064
1976-12-01,1.6099987,1.4764484,-3.3185608,1.8814714,4.8306684,-1.151152,-2.5623398
1977-01-01,-0.7179264,1.1361568,-5.752612,2.0341842,5.7660584,-0.7635704,-1.5246651
1977-02-01,0.032906722,0.90475047,-3.389717,1.9680176,5.675477,-0.960656,-1.7153813
1977-03-01,0.95782506,1.5607561,0.022644807,0.6977581,3.30409,-0.7607399,-1.0041771
1977-04-01,2.5136275,1.2263839,1.8753135,1.1658787,1.5168808,-0.31668013,-1.8767288
1977-05-01,2.4188004,0.36515504,-2.1038895,1.391978,2.631454,-0.5013809,-2.9785638
