,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8
1976-04-01,2208.189989172894,1899.7481016355139,1438.4157852387764,1358.0106608072917,1106.2106070039574,2608.7364783653843,2081.3959861288267,1342.1419936998757
1976-05-01,2212.7205226732335,1898.3584965500875,1428.9179412411972,1361.8626302083333,1106.7545795024223,2593.159993489583,2068.716866629464,1346.188111431831
1976-06-01,2209.0014913807745,1899.5221574729846,1431.5625687720071,1360.0145670572917,1107.0931647021698,2598.0091584034453,2074.1981973453444,1346.323631084071
1976-07-01,2204.189400050951,1898.4329366238317,1433.472195477553,1361.91259765625,1107.3472335349004,2593.1438739483174,2068.0272939253828,1347.2872573717507
1976-08-01,2200.5497144616165,1902.1281875182533,1444.5900500660211,1355.2062174479167,1108.306271748772,2591.362586388221,2071.598722496811,1346.320363272608
1976-09-01,2198.980314835258,1894.945319345064,1437.644851039833,1355.2207845052083,1107.7431358104188,2592.634152143429,2060.0796446508293,1344.7848159655007
1976-10-01,2198.7564750339675,1899.7162720867404,1433.7802940691022,1349.2425130208333,1107.1620358129776,2591.815968048878,2068.978819555166,1342.4418491599836
1976-11-01,2197.4631931470785,1901.384528329439,1438.532439755722,1346.0106608072917,1105.9708507821028,2597.7592272636216,2078.2126913265306,1340.220304506015
1976-12-01,2195.125148607337,1895.2400564033294,1430.259511168574,1345.410888671875,1103.8701752908364,2593.3779985476763,2070.0987523915815,1338.6322021484377
1977-01-01,2198.133783755095,1895.5653680819216,1432.9594142000442,1348.1344401041667,1104.1575336039848,2597.489733573718,2074.4488151705996,1337.391108960177
1977-02-01,2210.324892790421,1902.7625538478387,1440.1576082471393,1352.2637532552083,1105.3351389789166,2606.821539463141,2078.5503776705996,1339.1111120713497
1977-03-01,2210.735553243886,1895.6831031870618,1434.9981603488118,1352.0176595052083,1104.012888279544,2599.668219150641,2071.342873086735,1339.3556577969443
1977-04-01,2202.41526728091,1896.8814457688375,1433.6868501045335,1358.484619140625,1105.2384555600095,2601.114752353766,2075.497747927296,1342.8864065524751
1977-05-01,2202.063917077106,1896.8876633688667,1429.8430966659332,1353.68017578125,1106.3501482967727,2596.365904196715,2076.639105349171,1344.0505846411781
1977-06-01,2202.876613451087,1899.8312691661797,1433.6850448393486,1357.3126627604167,1106.9737197009756,2593.050130208333,2067.096943757972,1345.9034337406665
1977-07-01,2207.542087720788,1904.9914778950058,1443.5658629511445,1360.7527669270833,1107.0468686033023,2598.1805263421475,2075.352633729273,1345.973003016109
1977-08-01,2211.0071596891985,1903.4159152307243,1441.875017193002,1358.6534830729167,1108.2588562278247,2602.3758325821314,2074.3515326052297,1346.5461393373205
1977-09-01,2196.7339557150135,1897.661383798189,1436.869704555458,1357.4961751302083,1108.2600156292644,2587.1109400040064,2070.6642617984694,1346.2222209018944
1977-10-01,2208.3874246348505,1903.3436998028621,1436.1464809363997,1358.0335286458333,1107.6281151917303,2607.77102739383,2077.742097815689,1346.364411210592
1977-11-01,2212.360547936481,1904.1119441807825,1439.1360860475352,1353.5487467447917,1106.6637730494338,2609.1715494791665,2080.9764628507655,1343.647293495921
1977-12-01,2201.8923552139945,1901.0344032929322,1436.9937520631602,1350.1161295572917,1105.2985711909798,2607.2209284855767,2077.7310118383293,1340.4226117429482
1978-01-01,2217.184713612432,1905.1468608535338,1440.7908265019807,1351.998291015625,1106.5454607967727,2610.889454377003,2079.909344108737,1340.500715137583
1978-02-01,2208.0033012058425,1898.0362081082067,1437.8502214458626,1351.9352213541667,1104.810343246793,2603.554906600561,2075.961365991709,1339.7946788146435
1978-03-01,2217.5822382387905,1902.388128833236,1441.4313517825706,1356.074951171875,1106.3899943922283,2612.996575771234,2079.1750538105866,1342.464183706098
1978-04-01,2204.366800059443,1898.467561240508,1434.9966129786533,1353.635498046875,1106.100930293054,2604.4497758914263,2072.637316645408,1342.398989517077
1978-05-01,2209.9390444548235,1900.790148583528,1432.4943435024209,1355.4676106770833,1106.6064559736626,2606.7902393830127,2067.2496562101405,1343.4623785778485
1978-06-01,2194.0722921620245,1901.3819043881424,1436.3524530974912,1350.731689453125,1107.4569102458038,2590.1321802383814,2069.7630590322065,1342.6796972224145
1978-07-01,2193.304443359375,1896.924455589223,1428.8345551826585,1350.1448567708333,1107.3395175184226,2587.2974884815703,2060.88755082111,1343.5701893494195
1978-08-01,2211.002250339674,1905.6880772670852,1444.7207168794014,1358.7810872395833,1108.7724310862445,2611.219357221554,2075.2663125797194,1346.1269412420493
1978-09-01,2212.2191055961275,1906.6385714807243,1437.0437836982835,1353.5653483072917,1108.3982509296534,2614.511499649439,2075.0042350924746,1345.0955281215433
1978-10-01,2212.388279127038,1899.4360237478095,1435.4896223041374,1359.158203125,1107.2797483752388,2606.6334259815703,2072.070935307717,1345.0522903847484
1978-11-01,2215.1050070057745,1904.5986852913259,1435.713045362016,1354.6546223958333,1106.0329920339793,2612.209222255609,2080.3712183115435,1343.3807913181001
1978-12-01,2199.678503948709,1902.777213693779,1439.393465283891,1347.9302571614583,1106.1041952741198,2609.251521183894,2083.551648198342,1339.8363501624724
1979-01-01,2207.4424411939535,1898.1330657673773,1433.9131959727113,1350.6437174479167,1104.8021208250887,2604.60940630008,2077.7620276626276,1338.0522061238248
1979-02-01,2207.1019711701765,1903.8582204658294,1438.7706487951145,1353.3865559895833,1105.6282010140899,2610.080816806891,2082.9632194674746,1340.4773813433353
1979-03-01,2206.639828889266,1901.8629983206774,1435.231211487676,1351.9124348958333,1105.3646437465884,2616.0555326021636,2078.4843600526146,1340.7365106903349
1979-04-01,2211.998052182405,1894.6555449583818,1430.575604505942,1355.4161783854167,1105.1203165512418,2599.586995442708,2068.046102718431,1343.5886889432386
1979-05-01,2206.4836585003395,1897.2405264310746,1428.206065003301,1358.8404947916667,1106.3685254759143,2601.0111490885415,2063.9772999043366,1345.028443463081
1979-06-01,2220.0203273607335,1905.263569199036,1440.8237511003522,1361.25244140625,1108.0079057851733,2607.589330428686,2069.9654715401784,1346.4889931467783
1979-07-01,2211.9266675866165,1895.9027727073596,1424.6293188820423,1361.1283365885417,1107.8522128309226,2600.0485151241987,2056.7394023038905,1348.43253076604
1979-08-01,2196.6828719429345,1895.7256566698304,1428.3546985035211,1355.14892578125,1107.4228345046397,2599.37994541266,2068.9698511240435,1346.2950579888
1979-09-01,2207.95142132303,1906.6782158111857,1440.1758328290055,1356.3477376302083,1107.7798901687022,2610.695393880208,2081.6157126913267,1346.3832348848866
1979-10-01,2209.730065387228,1906.3150851525993,1443.0229079555459,1353.5743001302083,1107.4714893857465,2612.1525691105767,2082.575085698342,1344.9890136718752
1979-11-01,2215.6979768172555,1899.395751953125,1432.0706219740318,1352.88330078125,1105.4819964946098,2611.7156199919873,2070.040831273916,1343.3458446401412
1979-12-01,2202.8829823369565,1900.2321047203561,1434.0239189040494,1350.1436360677083,1105.370320815707,2607.5354942908652,2075.7219587053573,1341.5760411625415
1980-01-01,2204.410055409307,1900.245794848861,1436.6473130776849,1346.5401204427083,1105.1574973560316,2602.503693409455,2072.6842763472578,1339.4561227444
1980-02-01,2202.761575450068,1898.566244250146,1434.2604946082747,1349.8094075520833,1105.0005650416213,2604.5687161959136,2071.7296366788905,1338.5379757501385
1980-03-01,2200.499161430027,1895.9382529570676,1432.829521071743,1353.8680826822917,1103.5021919350436,2592.2378931290064,2077.518136160714,1340.046219277171
