,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8
1977-04-01,-0.5049198,-1.1832168,0.37435514,-0.6170845,1.9018509,0.86193657,-1.3753475,0.020168304
1977-05-01,-0.43556824,-0.48192024,-0.51765746,0.9185497,2.2125163,-0.9404869,-2.9980247,1.8830974
1977-06-01,-0.061566927,-0.99922407,-2.0950437,1.9032665,2.29319,-2.4931061,-3.312582,1.1170502
1977-07-01,-0.48581237,0.49430388,-2.9060283,1.8370994,1.5533257,-2.6335769,-3.3026748,-0.6015156
1977-08-01,-0.41929245,0.8619369,-3.9243588,0.96207124,0.3824936,-2.8731213,-3.5942326,-0.09518127
1977-09-01,-0.620269,-0.679005,-2.001278,1.4103771,2.7305272,-1.9655403,-3.5415123,0.5661322
1977-10-01,-0.14082566,0.17302437,-0.45396727,0.96525574,1.2741516,0.004599762,-2.7595417,0.009553527
1977-11-01,-0.19743805,-1.3459797,-0.6928047,0.23317567,1.1680015,-0.5127037,-2.6597607,0.39558524
1977-12-01,-0.70625037,-2.931504,-0.8046154,-1.3650863,0.24272938,0.30500412,-2.2567449,-0.62769926
1978-01-01,-0.23703308,-1.8449148,-0.886919,-1.0644392,0.30674896,-1.983326,-2.6760616,-1.0913051
1978-02-01,-0.27682227,-1.4912354,-0.3944885,-0.41115227,-1.295351,-1.7143252,-1.2793678,-1.8615786
1978-03-01,-0.5988747,-2.1101747,-0.3166111,-1.8449147,-1.3191563,0.72946393,-0.19962463,-0.47644693
1978-04-01,-0.50705373,-1.5017773,-0.55806524,-0.69341546,0.0397892,0.1686779,-0.9705784,1.1923081
1978-05-01,-0.30708924,-0.71382064,-1.7711178,1.2188339,3.1338048,-1.820089,-3.4711602,0.36014098
1978-06-01,-0.6801529,0.05271225,-3.0940156,2.8767066,3.8251796,-1.9244919,-3.9074783,-0.008501435
1978-07-01,-0.63084185,0.9481331,-3.9207408,2.3077588,2.844059,-2.971248,-4.211507,2.3009567
1978-08-01,-0.6141785,-0.6713108,-3.0460649,0.20880699,3.7738285,-2.5318687,-4.2485747,-0.3880272
1978-09-01,-0.65396726,0.5536442,-2.3863163,0.794759,2.9940326,-2.327823,-4.0836377,-0.29620665
1978-10-01,-0.51555634,-0.70905954,-1.2181542,-0.11426582,1.413358,-0.8484909,-3.0399437,-1.129734
